Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,MINE,402,,101,VENTLTN&OCC HLTH,"Arduini, Andrea",38,71.58,6.72,84,50,36,0,1,0,1,0,0,0,0,0,0,1,1,1,4,7,13,7,2,0,0
UBC,2016,W,MINE,304,,201,ROCK FRAGMENTATN,"Arduini, Andrea",49,73.98,11.04,92,45,45,4,0,0,0,0,0,0,0,4,4,0,1,0,6,7,6,10,9,4,2
UBC,2016,W,MINE,310,,101,SURF MIN DES,"Arduini, Andrea",55,73.11,11.19,93,24,53,1,1,0,0,0,0,1,0,0,1,2,1,2,6,11,9,6,11,3,2
UBC,2016,W,MINE,491,,001,MIN PLANT FEAS,"Arduini, Andrea",31,77.93,8.51,93,59,30,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,8,7,4,4,3
UBC,2016,W,MINE,590,C,101,SPEC ADV TOP,"Arduini, Andrea",10,75.3,5.27,87,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,1,0
UBC,2017,W,MINE,291,,101,INTRO TO MINING,"Arduini, Andrea;Scoble, Malcolm",54,77.6,4.04,84,67,53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,11,20,19,0,0
UBC,2017,W,MINE,304,,201,ROCK FRAGMENTATN,"Arduini, Andrea",53,71.21,9.93,93,47,52,1,0,0,0,0,0,0,0,1,1,2,3,3,9,8,8,9,6,3,1
UBC,2017,W,MINE,310,,101,SURF MIN DES,"Arduini, Andrea",49,73.76,14.92,99,8,48,1,0,0,0,1,0,0,0,0,1,1,2,4,9,5,7,4,2,7,7
UBC,2017,W,MINE,491,,001,MIN PLANT FEAS,"Arduini, Andrea",42,79.83,8.14,90,57,40,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,4,8,10,11,3
UBC,2017,W,MINE,590,C,101,SPEC ADV TOP,"Arduini, Andrea",8,84.5,9.7,95,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2
