Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,CPEN,432,,201,RL-TIME SYS DES,"Alahmad, Bader",35,74.74,14.11,100,51,35,0,0,0,0,0,0,0,0,0,0,2,1,6,5,3,3,0,7,3,5
UBC,2018,W,CPEN,432,,101,RL-TIME SYS DES,"Alahmad, Bader",9,65,18.94,95,50,8,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2
UBCV,2015,W,CPEN,221,,101,Principles of Software Construction,Arabelle Hou;Bader Alahmad;Bader Naim Alahmad;Carlos Antonio Sanchez;Hootan Rashtian;Jay Dahiya;Jordan Schalm;Nabil Al-Rousan;Nabil Mashhour Al-Rousan;Nam Giang;Nam Ky Giang;Rudolf Plesch;Sathish Gopalakrishnan,192,76.291666667,10.009855527,98.0,25.0,,,,,,,,,,,,,8,7,12,25,38,34,28,24,12
UBCV,2016,W,CPEN,221,,101,Principles of Software Construction,Bader Alahmad;Bader Naim Alahmad;Bo Fang;Cinnie Hsiung;Hootan Rashtian;Jennifer Ashley Lam;Jennifer Lam;Junwei Clarence Su;Nabil Al-Rousan;Nabil Mashhour Al-Rousan;Radu Ripeanu;Sathish Gopalakrishnan;Scott Sallinen;Si Yan Zhu;Siyuan He;Tal Schwartz;Yuqing Du,185,73.97297297,10.04740526,98.0,40.0,,,,,,,,,,,2,5,11,9,22,36,24,22,36,12,6
UBCV,2016,W,CPEN,321,,101,Software Engineering,Bader Alahmad;Bader Naim Alahmad;Farshid Agharebparast;John Deppe;John Henry Deppe;Nicholas Mulvenna;Sathish Gopalakrishnan;Theresa Louise Mammarella;Theresa Mammarella,105,82.62857143,6.606024556,93.0,51.0,,,,,,,,,,,0,1,0,2,0,3,3,10,51,22,13
UBCV,2016,W,CPSC,319,,201,Software Engineering Project,Alexandra Kim;Bader Alahmad;Bader Naim Alahmad;Jerry Jim;Jerry Yick Jim;Julin Song,78,84.65384615,6.201857541,93.0,65.0,,,,,,,,,,,0,0,0,0,2,0,6,9,7,39,15
UBCV,2016,W,CPSC,421,,101,Introduction to Theory of Computing,Bader Alahmad;Christopher Liaw;Devon Graham;Giorgio Gori;Nicholas Harvey,84,76.91666667,17.4681868,100.0,4.0,,,,,,,,,,,1,7,4,9,5,6,6,7,9,4,26
UBCV,2017,W,CPEN,221,,101,Principles of Software Construction,Amar Shah;Bader Alahmad;Erick Velasquez Freire;Herman Dhak;Ingyu Shin;James Asefa;Joey Li;Nishchay Khanna;Sathish Gopalakrishnan;Scott Sallinen;Tanuj Aasawat;Theophilus Ko;Yung-Huei Lin,194,75.68556701,13.621420876,96.0,0.0,,,,,,,,,,,8,3,1,7,12,17,46,24,31,27,18
UBCV,2017,W,CPEN,432,,201,Real-time System Design,Bader Alahmad;Faizan Mansuri;Mehdi Karimibiuki,35,74.742857143,14.111619862,100.0,51.0,,,,,,,,,,,0,2,1,6,5,3,3,0,7,3,5
UBCV,2018,W,CPEN,432,,101,Real-time System Design,Bader Alahmad;Nusrat Mehajabin,8,65.0,18.935982377,95.0,50.0,,,,,,,,,,,0,4,1,1,0,0,0,0,0,0,2
UBCV,2019,W,CPEN,432,,101,Real-time System Design,Bader Alahmad;Nusrat Mehajabin,10,65.9,8.211780156,78.0,50.0,,,,,,,,,,,0,1,1,3,0,2,2,1,0,0,0
UBCV,2020,S,CPEN,533,,941,Error Resilient Computing Systems,Bader Alahmad;Kumseok Jung;Sathish Gopalakrishnan,13,86.846153846,9.668213846,97.0,63.0,,,,,,,,,,,0,0,0,1,0,0,0,2,2,2,6
UBCV,2020,W,CPEN,432,,201,Real-time System Design,Bader Alahmad;Geetika Batta,12,82.5,8.618162639,97.0,62.0,,,,,,,,,,,0,0,0,1,0,0,0,3,3,3,2
