Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2014,W,THTR,372,,001,INT BFA ACT II,"Anderson, Bart;Drover, Stephen",8,84.88,3.31,88,79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,,,
UBC,2016,W,THTR,372,,001,INT BFA ACT II,"Anderson, Bart;Drover, Stephen",9,84.67,2.6,88,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,,,
UBC,2017,W,FIPR,131,,001,INTRO SCREEN ACT,"Anderson, Bart",77,79.19,12.66,92,0,73,2,0,1,0,1,0,1,0,0,2,0,0,0,2,6,6,13,22,19,5,,,
UBC,2017,W,FIPR,469,H,001,SPECIAL PROJECTS,"Anderson, Bart;Scholte, Tom",9,87,2.29,90,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,,,
UBC,2017,W,THTR,371,,001,INT BFA ACTING I,"Anderson, Bart;Bertoia, Susan",13,84.85,2.12,88,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,,,
UBC,2017,W,THTR,391,A,001,REHEARS&PERFORM,"Anderson, Bart;Forsyth, Keltie",14,84.85,2.12,88,80,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,,,
UBC,2017,W,THTR,491,A,001,AD REHEARS&PERF,"Anderson, Bart;Forsyth, Keltie",9,84.89,1.76,87,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,,,
UBC,2018,W,FIPR,131,,001,INTRO SCREEN ACT,"Anderson, Bart",79,76.7,10.49,92,37,70,3,1,0,4,0,0,0,2,1,3,1,1,1,1,7,8,16,24,7,4,,,
UBC,2018,W,FIPR,330,,001,INT DIRECTING,"Anderson, Bart",24,82.75,4.59,91,77,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,2,,,
UBC,2018,W,FIPR,469,G,001,SPECIAL PROJECTS,"Anderson, Bart",15,87,2.73,93,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,,,
UBC,2018,W,FIPR,469,H,001,SPECIAL PROJECTS,"Anderson, Bart",12,86.42,1.44,88,84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,,,
UBC,2018,W,THTR,372,,001,INT BFA ACT II,"Anderson, Bart;Drover, Stephen",16,83.63,2.36,87,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,,,
UBC,2018,W,THTR,391,B,001,REHEARS&PERFORM,"Anderson, Bart;Burnett, Cathy;Langston, Sheila;Murphy, Gayle",16,83.63,2.36,87,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,,,
UBC,2018,W,THTR,491,B,001,AD REHEARS&PERF,"Anderson, Bart;Burnett, Cathy;Langston, Sheila;Murphy, Gayle",13,85.31,4.94,91,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,1,,,
UBCV,2014,W,THTR,372,,001,Intermediate B.F.A. Acting II,Bart Anderson;Stephen Drover,8,84.875,3.313931631,88.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,,,5,0,,,
UBCV,2016,W,THTR,372,,001,Intermediate B.F.A. Acting II,Bart Anderson;Stephen Drover,9,84.66666667,2.598076211,88.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,5,0,,,
UBCV,2017,W,FIPR,131,,001,Introduction to Screen Acting,Bart Anderson;Frank Zotter;Joe Perry;Tom Scholte,76,79.157894737,12.58258334,92.0,0.0,,,,,,,,,,,2,0,0,0,2,6,6,14,22,19,5,,,
UBCV,2017,W,FIPR,469,H,001,Special Projects,Bart Anderson;Tom Scholte,9,87.0,2.291287847,90.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,3,,,
UBCV,2017,W,THTR,371,,001,Intermediate B.F.A. Acting I,Bart Anderson;Stephen Heatley;Susan Bertoia,13,84.846153846,2.115268062,88.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,9,0,,,
UBCV,2017,W,THTR,391,A,001,Rehearsal and Performance,Bart Anderson;Keltie Forsyth,13,84.846153846,2.115268062,88.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,9,0,,,
UBCV,2017,W,THTR,491,A,001,Advanced Rehearsal and Performance,Bart Anderson;Keltie Forsyth,9,84.888888889,1.763834207,87.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,6,0,,,
UBCV,2018,W,FIPR,131,,001,Introduction to Screen Acting,Bart Anderson;Frank Zotter,78,76.871794872,10.239164655,92.0,37.0,,,,,,,,,,,3,1,1,1,1,7,10,17,25,8,4,,,
UBCV,2018,W,FIPR,330,,001,Intermediate Motion Picture Directing,Bart Anderson;Tom Scholte,24,82.75,4.58968598,91.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,9,5,8,2,,,
UBCV,2018,W,FIPR,469,G,001,Special Projects,Bart Anderson;Tom Scholte,15,87.0,2.725540575,93.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,10,2,,,
UBCV,2018,W,FIPR,469,H,001,Special Projects,Bart Anderson,12,86.416666667,1.443375673,88.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,10,0,,,
UBCV,2018,W,THTR,372,,001,Intermediate B.F.A. Acting II,Bart Anderson;Stephen Drover,16,83.625,2.362907813,87.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,7,9,0,,,
UBCV,2018,W,THTR,391,B,001,Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Sheila Langston,16,83.625,2.362907813,87.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,7,9,0,,,
UBCV,2018,W,THTR,491,B,001,Advanced Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Sheila Langston,13,85.307692308,4.939376064,91.0,71.0,,,,,,,,,,,0,0,0,0,0,1,0,0,2,9,1,,,
UBCV,2019,W,FIPR,131,,001,Introduction to Screen Acting,Bart Anderson;Frank Zotter;John Pozer;Luciana Silvestre Fernandes,110,79.563636364,11.017523384,97.0,17.0,,,,,,,,,,,2,1,0,2,5,7,13,17,28,19,16,,,
UBCV,2019,W,FIPR,330,,001,Intermediate Motion Picture Directing,Bart Anderson;John Pozer,15,77.0,8.246211251,87.0,55.0,,,,,,,,,,,0,0,1,0,0,1,4,3,2,4,0,,,
UBCV,2019,W,FIPR,433,,001,Film and Media Production III,Bart Anderson;Igor Drljaca;Luke Bramley;Tarique Qayumi,17,81.647058824,5.243343119,89.0,71.0,,,,,,,,,,,0,0,0,0,0,1,1,5,5,5,0,,,
UBCV,2019,W,FIPR,469,G,001,Special Projects,Bart Anderson;John Pozer,20,84.2,1.23969436,86.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,12,8,0,,,
UBCV,2019,W,THTR,372,,001,Intermediate B.F.A. Acting II,Bart Anderson;Courtenay Dobbie;Lois Anderson;Marijka Asbeek Brusse,14,84.071428571,3.384677822,89.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,2,5,7,0,,,
UBCV,2019,W,THTR,391,B,001,Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Marlise Mccormick;Sheila Langston,14,84.071428571,3.384677822,89.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,2,5,7,0,,,
UBCV,2019,W,THTR,391,C,001,Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Gerald Trentham;Lois Anderson;Marlise Mccormick;Raphael Wagner;Stephen Drover;Stephen Malloy;Susan Bertoia,14,84.642857143,2.924883768,89.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,5,8,0,,,
UBCV,2019,W,THTR,491,B,001,Advanced Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Marlise Mccormick;Sheila Langston,16,85.5,3.055050463,90.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,6,9,1,,,
UBCV,2019,W,THTR,491,C,001,Advanced Rehearsal and Performance,Bart Anderson;Cathy Burnett;Gayle Murphy;Gerald Trentham;Lois Anderson;Marlise Mccormick;Raphael Wagner;Stephen Drover;Stephen Malloy;Susan Bertoia,15,85.866666667,2.875181154,90.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,10,1,,,
UBCV,2020,W,FIPR,131,,001,Introduction to Screen Acting,Bart Anderson;John Pozer;Moya O'Connell,62,83.532258065,13.456326128,98.0,0.0,,,,,,,,,,,1,0,3,0,0,0,1,3,17,23,14,,,
UBCV,2020,W,FIPR,330,,001,Intermediate Motion Picture Directing,Bart Anderson;David Cyr,19,89.789473684,3.473374078,95.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,6,11,,,
