Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,PHTH,511,,001,Pathology for Physical Therapy I,Alexander Scott;David Anekwe;Jean-Francois Esculier;Roland Fletcher,101,95.247524752,4.181879818,100.0,79.0,0,0,0,0,0,0,0,1,0,10,90,,,
UBCV,2020,W,PHTH,514,,001,Clinical Practice I,Aart Van Gorkum;Alison Greig;April Campbell;David Anekwe;Jennifer Keefer;Mike Foster;Ramsey Ezzat;Robin Roots;Sean Campbell;Simone Gruenig;Tracy Barber;Tyler Dumont,101,84.544554455,3.595899755,91.0,76.0,0,0,0,0,0,0,0,9,36,50,6,,,
UBCV,2020,W,PHTH,517,,001,Exercise and Movement I,Courtney Pollock;David Anekwe;Doria Bellows;Janice Eng;Jesse Charlton;Karen Davies;Karen Sauve;Kendra Zadravec;Kristin Campbell;Michael Anthony Hunt;Naznin Virji-Babul;Sarah Weller;Shannon Lim;Taru Manyanga,101,89.910891089,5.268963864,98.0,68.0,0,0,0,0,0,1,0,4,11,20,65,,,
UBCV,2020,W,PHTH,521,,001,Pathology for Physical Therapy II,Beverley Larssen;Courtney Evanchu Hilderman;David Anekwe;Dennis Louie;Robin Roots;Simone Gruenig,101,90.178217822,3.732012968,97.0,80.0,0,0,0,0,0,0,0,0,9,30,62,,,
UBCV,2020,W,PHTH,526,,001,Clinical Decision Making II,Alexander Scott;David Anekwe;Patricia Camp;Rachel Crockett;Robin Roots;Teresa Yeong Lih Liu,101,93.683168317,2.842290249,100.0,84.0,0,0,0,0,0,0,0,0,1,7,93,,,
UBCV,2020,W,PHTH,527,,001,Exercise and Movement II,David Anekwe;Jacqueline Whittaker;Jordan Guenette;Natalie Grant;Robin Roots,101,87.138613861,5.614320445,97.0,72.0,0,0,0,0,0,0,5,7,15,35,39,,,
UBCV,2020,W,PHTH,528,,001,Case-based Integration,Anne Rankin;David Anekwe;Maria Juricic;Michelle Jacobs;Michelle Labandelo;Oladapo Akinsiku;Robin Roots;Roland Fletcher;Teresa Yeong Lih Liu,101,90.425742574,3.800911824,98.0,75.0,0,0,0,0,0,0,1,0,8,21,71,,,
UBCV,2021,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Kerrie Roberts;Michelle Labandelo;Natalie Grant;Patricia Mcilwaine;Robin Roots;Roland Fletcher,101,89.504950495,3.517452949,97.0,73.0,0,0,0,0,0,0,1,0,4,38,58,,,
UBCV,2021,S,PHTH,548,,921,Case-based Integration III,Beverley Larssen;David Anekwe;Jean Cremin;Michelle Labandelo,79,92.227848101,3.478687371,97.0,73.0,0,0,0,0,0,0,1,0,0,11,67,,,
UBCV,2021,S,PHTH,564,,922,Clinical Practice VIa,Amy Ellis;Angelina Woof;Carolyn Kennedy;Catherine Le Cornu Levett;David Anekwe;Jacqueline Whittaker;Jean Cremin;Jill Longhurst;Karen Sauve;Katherine Wong;Kim Durlacher;Kristin Campbell;Lawren De Marchi;Lorelyn Meisner;Melissa Richmond;Michelle Jacobs;Natalie Grant;Regina Colistro;Roland Fletcher;Rosalyn Jones;Simone Gruenig;Susannah Britnell,79,87.696202532,2.209272014,93.0,81.0,0,0,0,0,0,0,0,0,6,54,19,,,
UBCV,2021,W,ANAT,392,,001,Gross Anatomy of the Limbs and Trunk,Alina Constantin;David Anekwe;Fraser Perry;Harminder Toor;Julia Wimmers Klick;Kerrie Roberts;Majid Alimohammadi;Masoumeh Ghodousi;Rae Marchal;Sean Campbell;Sean Maurice,100,84.22,7.369853966,97.0,64.0,0,0,0,0,4,3,6,11,19,29,28,,,
UBCV,2021,W,PHTH,514,,001,Clinical Practice I,Aart Van Gorkum;Alison Greig;David Anekwe;Robin Roots;Simone Gruenig;Tyler Dumont,100,83.22,4.421206929,93.0,73.0,0,0,0,0,0,0,6,13,42,33,6,,,
UBCV,2021,W,PHTH,517,,001,Exercise and Movement I,Angelina Woof;Carly Chuby;Courtney Pollock;David Anekwe;Janice Eng;Jesse Charlton;Karen Davies;Karen Sauve;Kristin Campbell;Michael Anthony Hunt;Sandra Van Kleeck;Shannon Lim;Sonja Redden;Taru Manyanga;Tolulope Olatunbosun,100,88.2,5.421617784,98.0,74.0,0,0,0,0,0,0,3,5,16,26,50,,,
UBCV,2021,W,PHTH,528,,001,Case-based Integration,Angela Pace;Anne Rankin;David Anekwe;Karen Sauve;Maria Juricic;Michelle Jacobs;Michelle Labandelo;Osita Hibbert;Robin Roots;Roland Fletcher;Teresa Yeong Lih Liu,99,89.171717172,4.666512057,95.0,70.0,0,0,0,0,0,1,2,4,6,30,56,,,
UBCV,2021,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Roland Fletcher;Natalie Grant;Michelle Labandelo;Patricia Mcilwaine;Kerrie Roberts;Robin Roots,101,89.5,,97.0,73.0,,,,,,,,,,38,58,90.0,91.0,88.0
UBCV,2021,S,PHTH,548,,921,Case-based Integration III,David Anekwe;Jean Cremin;Michelle Labandelo,79,92.2,,97.0,73.0,,,,,,,,,,11,67,93.0,94.0,91.0
UBCV,2021,S,PHTH,564,,922,Clinical Practice VIa,David Anekwe;Susannah Britnell;Kristin Campbell;Regina Colistro;Jean Cremin;Lawren De Marchi;Kim Durlacher;Amy Ellis;Roland Fletcher;Natalie Grant;Simone Gruenig;Michelle Jacobs;Rosalyn Jones;Carolyn Kennedy;Catherine Le Cornu Levett;Jill Longhurst;Lorelyn Meisner;Melissa Richmond;Jacqueline Whittaker;Katherine Wong;Angelina Woof,79,87.7,,93.0,81.0,0,0,0,0,0,0,0,0,6,54,19,88.0,89.0,86.5
