Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,S,NRSG,521,,001,Teaching and Learning in Nursing Practice,Elizabeth Andersen,10,89.7,3.772709018,95.0,81.0,0,0,0,0,0,0,0,0,,,6
UBCO,2014,W,NRSG,122,,001,Professional Practice II: Introduction to the Discipline of Nursing,Donna Zukowski;Elizabeth Andersen,60,82.35,7.871478228,93.0,50.0,0,,,,,,,9,20,14,10
UBCO,2014,W,NRSG,122,,002,Professional Practice II: Introduction to the Discipline of Nursing,Donna Zukowski;Elizabeth Andersen,56,83.0,6.122982042,93.0,65.0,0,0,0,0,,,,7,15,22,5
UBCO,2014,W,NRSG,335,,001,Professional Practice IV: Nursing Research,Carole Robinson;Elizabeth Andersen;Joan Bottorff,65,79.43076923,5.288458042,90.0,67.0,0,0,0,0,,4,10,15,26,8,
UBCO,2014,W,NRSG,335,,002,Professional Practice IV: Nursing Research,Carole Robinson;Elizabeth Andersen;Joan Bottorff,60,77.98333333,6.853161257,92.0,63.0,0,0,0,,,7,10,9,17,11,
UBCO,2015,W,NRSG,211,,001,Health and Healing III: Health Challenges/Healing Initiatives,Charlene Strumpel;Elizabeth Andersen;Lisa Moralejo,55,76.909090909,7.376822379,91.0,56.0,0,0,,,,8,7,11,14,8,
UBCO,2015,W,NRSG,335,,001,Professional Practice IV: Nursing Research,Elizabeth Andersen;Matthew Ferrier;Nicole De Bosch Kemper,63,84.936507937,5.411675001,94.0,66.0,0,0,0,0,,,,5,15,26,13
UBCO,2015,W,NRSG,335,,002,Professional Practice IV: Nursing Research,Elizabeth Andersen;Matthew Ferrier;Nicole De Bosch Kemper,65,85.6,5.128961883,95.0,73.0,0,0,0,0,0,0,1,8,18,21,17
UBCO,2015,W,NRSG,523,,001,Teaching and Learning in Nursing Practice,Elizabeth Andersen;Kathy Rush,10,80.6,5.966573556,85.0,65.0,0,0,0,0,,,,,7,,0
UBCO,2016,W,NRSG,111,,001,Foundations of Health,Elizabeth Andersen;Manuela Reekie;Matthew Ferrier,125,79.504,6.176991647,92.0,62.0,0,0,0,1,3,11,18,25,41,22,4
UBCO,2016,W,NRSG,335,,001,Professional Practice IV: Nursing Research,Elizabeth Andersen;Matthew Ferrier;Wendy Andrews,79,77.37974684,6.697308678,92.0,57.0,0,0,2,2,3,7,11,19,27,7,1
UBCO,2016,W,NRSG,335,,002,Professional Practice IV: Nursing Research,Elizabeth Andersen;Matthew Ferrier;Wendy Andrews,70,79.45714286,8.010293585,93.0,56.0,0,0,1,1,4,7,5,13,17,17,5
UBCO,2016,W,NRSG,523,,001,Teaching and Learning in Nursing Practice,Adam Fulton;Adam R Fulton;Elizabeth Andersen,10,85.7,7.484057129,92.0,66.0,0,0,0,0,1,0,0,0,0,6,3
UBCO,2017,W,NRSG,111,,001,Foundations of Health,Elizabeth Andersen,135,78.511111111,8.3127906,92.0,47.0,6,0,0,1,3,14,19,26,31,26,9
UBCO,2017,W,NRSG,506,,001,Qualitative Research,Claudia Caxaj;Elizabeth Andersen;Joan Bottorff;Katrina Plamondon,16,82.75,7.0,93.0,66.0,0,0,0,0,1,1,0,1,7,4,2
UBCO,2017,W,NRSG,523,,001,Teaching and Learning in Nursing Practice,Adam Fulton;Adam R Fulton;Elizabeth Andersen,12,92.416666667,6.934214688,98.0,72.0,0,0,0,0,0,0,1,0,0,0,11
UBCO,2018,W,NRSG,111,,001,Foundations of Health,Elizabeth Andersen;Nicole De Bosch Kemper,130,82.269230769,7.788670426,97.0,54.0,0,,,1,4,5,8,20,34,34,22
UBCO,2018,W,NRSG,523,,001,Teaching and Learning in Nursing Practice,Adam Fulton;Adam R Fulton;Elizabeth Andersen;Fay Karp;Jacqueline Denison;Kathy Rush,16,93.125,4.440345332,97.0,84.0,0,0,0,0,0,0,0,0,1,3,12
UBCO,2019,W,NRSG,111,,001,Foundations of Health,Elizabeth Andersen;Esther Punzalan;Sandra Christine Balfour,125,87.144,4.74631266,96.0,73.0,0,0,0,0,0,0,3,5,28,38,51
UBCO,2019,W,NRSG,523,,001,Teaching and Learning in Nursing Practice,Alana Grant;Cathrine Robinson;Elizabeth Andersen;Grant Alana,23,94.043478261,2.383241888,98.0,86.0,0,0,0,0,0,0,0,0,0,1,22
