Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CIVL,405,,101,ENV IMPACT STDS,"Atwater, James;Hall, Eric;Hall, Kenneth J F;Mavinic, Donald",95,77.49,9.06,97,53,95,0,0,0,0,0,0,0,0,0,0,2,4,4,1,6,17,16,27,15,3
UBC,2002,W,CIVL,564,,101,MGMT SOLID WASTE,"Atwater, James",8,79.25,6.71,88,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0
UBC,2002,W,CIVL,566,,101,SRCS&FATE POL AQ,"Atwater, James",10,79.5,4.72,84,67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0
UBC,2003,W,CIVL,405,,101,ENV IMPACT STDS,"Atwater, James;Hall, Eric;Hall, Kenneth J F;Mavinic, Donald",132,80.41,7.18,95,64,130,0,0,2,0,0,0,0,0,0,0,0,0,0,7,10,16,18,42,25,12
UBC,2003,W,CIVL,409,,201,DSG WTR SPLY&WST,"Atwater, James",16,84.81,4.98,92,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,4
UBC,2003,W,CIVL,557,,201,TOX & HAZ WASTE,"Atwater, James",4,83.75,4.03,87,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
UBC,2003,W,CIVL,564,,101,MGMT SOLID WASTE,"Atwater, James",14,79.36,7.43,91,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,3,1
UBC,2003,W,CIVL,566,,101,SRCS&FATE POL AQ,"Atwater, James",16,78.06,5.08,86,68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,1,0
UBC,2005,W,CIVL,409,,201,DSG WTR SPLY&WST,"Atwater, James",22,82.82,6.21,93,71,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,6,4
UBC,2005,W,CIVL,564,,101,MGMT SOLID WASTE,"Atwater, James",8,80.75,4.2,85,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0
UBC,2005,W,CIVL,566,,101,SRCS&FATE POL AQ,"Atwater, James",12,78.92,3.5,86,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0
UBC,2006,W,CIVL,405,,101,ENV IMPACT STDS,"Atwater, James;Berube, Pierre;Chieng, Sie-Tan;Li, Loretta;Mavinic, Donald",163,83.1,7.79,95,41,161,1,0,0,1,0,0,0,0,1,1,0,0,3,3,4,10,18,42,50,31
UBC,2006,W,CIVL,409,,201,DSG WTR SPLY&WST,"Atwater, James",17,87.24,4.29,91,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5
UBC,2006,W,CIVL,445,,201,ENG DESIG & ANLY,"Atwater, James;Howie, John;Lence, Barbara Jean;Nesbit, Susan",121,77.07,7.04,89,60,121,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,26,18,29,23,0
