Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,CONS,210,,101,Visualizing Climate Change,Christiana Kittel;Debrah Zemanek;Jeremy Benjamin Arkin;Maria Fernanda Tomaselli Crespo;Maria Tomaselli Crespo;Peiyang Li;Shabnam Vaghaye-Negar;Shabnam Vaghayenegar;Stephen Sheppard,158,79.64556962,6.627558705,92.0,58.0,0,0,2,1,3,11,20,39,43,33,6
UBCV,2018,W,CONS,340,,101,Introduction to Geographic Information Systems for Forestry and Conservation,Jeremy Benjamin Arkin;Michael Meitner;Nguyet Anh Nguyen;Shuojie Li;Yeheng Qu;Yue Yu;Zoe Davis,107,72.85046729,10.845226529,95.0,28.0,1,3,9,6,8,22,16,12,15,9,6
UBCV,2018,W,CONS,340,,201,Introduction to Geographic Information Systems for Forestry and Conservation,Jeremy Benjamin Arkin;Paul Pickell;Shuojie Li,60,75.216666667,18.559196785,97.0,16.0,6,1,0,3,1,4,4,6,13,16,6
UBCV,2019,S,CONS,340,,921,Introduction to Geographic Information Systems for Forestry and Conservation,Jeremy Benjamin Arkin;Paul Pickell;Philip Baev,50,81.9,9.435603438,95.0,58.0,0,0,2,2,0,3,6,3,10,12,12
UBCV,2019,W,CONS,340,,201,Introduction to Geographic Information Systems for Forestry and Conservation,Jeremy Benjamin Arkin;Shuojie Li;Yuhao Lu,58,81.948275862,8.688412153,95.0,50.0,0,1,1,0,2,2,3,7,16,17,9
UBCV,2019,W,FCOR,599,,001,Project Proposal Development and Proof of Concept,Agatha Czekajlo;Felix Poulin;Francois Du Toit;Jeremy Benjamin Arkin;Paul Drew Pickell;Paul Pickell;Rik Johannes Gerardus Nuijten;Ryan Frazier;Ryan James Frazier;Stephen Sheppard,29,85.655172414,7.82064969,99.0,70.0,0,0,0,0,0,1,2,4,6,6,10
UBCV,2019,W,FRST,320,,101,Abiotic Disturbances: Fire and Climate,Colin Mahony;Jeremy Benjamin Arkin;Lori Daniels;Stanley Pokorny;Stanley Wolf Pokorny,109,76.633027523,9.502105566,95.0,50.0,0,3,1,5,13,7,13,14,26,19,8
UBCV,2020,S,CONS,340,,921,Introduction to Geographic Information Systems for Forestry and Conservation,Agatha Czekajlo;Amy Blood;Jeremy Benjamin Arkin;Paul Pickell,78,83.076923077,8.772402462,97.0,51.0,0,1,0,0,4,6,0,13,16,18,20
UBCV,2020,S,FRST,320,,921,Abiotic Disturbances: Fire and Climate,Jeremy Benjamin Arkin;Stanley Pokorny;Stanley Wolf Pokorny,56,77.214285714,8.931485239,93.0,57.0,0,0,3,3,2,4,11,9,10,12,2
UBCV,2020,W,CONS,340,,101,Introduction to Geographic Information Systems for Forestry and Conservation,David Puhl;Jeremy Benjamin Arkin;Michael Meitner;Samuel John Herniman;Spencer Dakin Kuiper,99,77.696969697,10.584407617,96.0,45.0,3,1,5,1,5,5,11,19,23,17,9
UBCV,2020,W,CONS,340,,201,Introduction to Geographic Information Systems for Forestry and Conservation,Bryn Gerson;Jeremy Benjamin Arkin;Michael Meitner;Paul Pickell;Spencer Dakin Kuiper,70,83.342857143,8.620645449,95.0,50.0,0,1,0,3,1,2,3,6,14,23,17
UBCV,2020,W,FCOR,599,,001,Project Proposal Development and Proof of Concept,Amy Blood;Claire Armour;Francois Du Toit;Jeremy Benjamin Arkin;Paul Pickell;Rik Johannes Gerardus Nuijten;Stephen Sheppard,27,92.185185185,4.206561148,99.0,79.0,0,0,0,0,0,0,0,1,0,5,21
UBCV,2021,W,FRST,547,,901,Forestry in British Columbia,Jeremy Benjamin Arkin;Lee Salmon;Stella Acquah;Susan Watts,29,86.827586207,3.89201532,93.0,80.0,0,0,0,0,0,0,0,0,10,9,10
