Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,ELEC,344,,201,Applied Electronics and Electromechanics,Ignacio Galiano Zurbriggen;Jhih-Da Hsu;Jorge Alejandro May Alvarez;Matthieu Amyotte;Sayed Arshadi,68,77.338235294,11.593372134,95.0,44.0,1,0,5,2,8,6,5,8,11,13,9
UBCV,2019,S,CPEN,481,,941,Economic Analysis of Engineering Projects,Dadong Shang;Garrett Petersen;Hanyu Wang;Jorge Alejandro May Alvarez;Jorge May Alvarez;Xiao Han,25,88.76,11.263066486,100.0,50.0,0,,,,,1,1,1,1,5,15
UBCV,2019,S,ELEC,481,,941,Economic Analysis of Engineering Projects,Dadong Shang;Garrett Petersen;Hanyu Wang;Jorge Alejandro May Alvarez;Jorge May Alvarez;Xiao Han,64,83.125,15.591511732,100.0,0.0,1,1,2,2,1,5,5,2,7,11,27
UBCV,2019,W,ELEC,344,,101,Applied Electronics and Electromechanics,Gabriel Ferreira Da Silva;German Bogado;Ignacio Galiano Zurbriggen;Jorge Alejandro May Alvarez;Sayed Arshadi;Tomas Syskakis,75,82.92,10.337232627,98.0,50.0,0,1,1,1,3,3,10,4,12,16,24
UBCV,2019,W,ELEC,344,,201,Applied Electronics and Electromechanics,Gabriel Ferreira Da Silva;Ignacio Galiano Zurbriggen;Jorge Alejandro May Alvarez;Sayed Arshadi,81,76.839506173,10.103782448,97.0,51.0,0,1,2,3,9,11,9,12,11,16,7
UBCV,2020,S,CPEN,481,,941,Economic Analysis of Engineering Projects,Bianca Ravani Cecato;Franco Degioanni;Gabriel Ferreira Da Silva;Jeffrey Carmichael;Jorge Alejandro May Alvarez;Kevin Dsouza;Maryam Tayyab;Naga Raghavendra Koppisetti;Rubinderjit Singh Nagi,55,79.927272727,11.181755221,93.0,32.0,1,0,2,2,4,1,2,4,19,14,6
UBCV,2020,S,ELEC,481,,941,Economic Analysis of Engineering Projects,Bianca Ravani Cecato;Franco Degioanni;Gabriel Ferreira Da Silva;Jeffrey Carmichael;Jorge Alejandro May Alvarez;Kevin Dsouza;Maryam Tayyab;Naga Raghavendra Koppisetti;Rubinderjit Singh Nagi,118,79.889830508,12.900529306,95.0,10.0,2,4,3,2,6,4,8,11,22,42,14
UBCV,2020,W,ELEC,211,,202,Engineering Electromagnetics,Carol Patricia Jaeger;Hany Abdelraheem;Hongzhi Zhu;Jorge Alejandro May Alvarez;Maryam Tayyab,81,67.50617284,15.938258576,96.0,5.0,8,8,8,8,5,8,6,10,8,8,4
UBCV,2020,W,ELEC,344,,101,Applied Electronics and Electromechanics,Gabriel Ferreira Da Silva;Ignacio Galiano Zurbriggen;Jorge Alejandro May Alvarez;Sina Sadrian,85,82.835294118,7.814588096,96.0,42.0,1,0,0,0,3,1,4,13,26,24,13
UBCV,2020,W,ELEC,344,,201,Applied Electronics and Electromechanics,Gabriel Ferreira Da Silva;Ignacio Galiano Zurbriggen;Jhih-Da Hsu;Jorge Alejandro May Alvarez;Lucas Sinopoli;Tania Mair Garcia,67,81.298507463,9.065443754,99.0,50.0,0,1,1,2,0,4,7,10,16,14,12
