Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,BIOL,350,,001,CELL PHYSIOLOGY,"Auld, Vanessa;Crawford, Terry J;Green, Beverley R",118,70.98,9.92,88,45,107,9,2,0,0,0,0,0,0,9,9,0,2,8,15,11,30,25,14,2,0,,,
UBC,2002,W,BIOL,455,,101,COMP NEUROBIOLGY,"Auld, Vanessa",47,75.67,9.81,90,50,45,0,2,0,0,0,0,0,0,0,0,3,2,0,1,5,9,4,13,6,2,,,
UBC,2003,W,BIOL,455,,101,COMP NEUROBIOLGY,"Auld, Vanessa",87,75.66,8.52,95,55,83,0,2,0,2,0,0,0,0,0,0,0,3,3,4,17,14,13,14,11,4,,,
UBC,2005,W,BIOL,361,,102,INTRO TO PHYSIO,"Auld, Vanessa",147,74.04,11.14,96,35,146,1,0,0,0,0,0,0,1,0,1,9,6,6,14,24,16,15,28,21,7,,,
UBC,2005,W,BIOL,455,,101,COMP NEUROBIOLGY,"Auld, Vanessa",109,75.08,11.13,93,47,107,1,0,1,0,0,0,0,0,1,1,5,7,4,10,9,14,10,22,22,4,,,
UBC,2006,W,BIOL,455,,101,COMP NEUROBIOLGY,"Auld, Vanessa",92,73,9.75,90,40,90,2,0,0,0,0,0,0,0,2,2,1,7,6,7,14,16,10,22,6,1,,,
UBC,2006,W,BIOL,456,,101,COMPAR ENDOCRIN,"Auld, Vanessa",44,78.41,9.31,93,50,44,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,5,7,12,6,5,,,
UBC,2007,W,BIOL,455,,101,COMP NEUROBIOLGY,"Auld, Vanessa",94,77.9,9.12,95,51,94,0,0,0,0,0,0,0,0,0,0,2,2,3,8,7,11,8,29,19,5,,,
UBC,2007,W,BIOL,456,,101,COMPAR ENDOCRIN,"Auld, Vanessa",38,77.92,9.15,90,52,38,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,5,13,8,1,,,
UBC,2009,W,BIOL,530,,101,BIOL OF THE CELL,"Auld, Vanessa",15,85.14,5.72,95,76,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,,,
