Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BIOL,345,,201,HUMAN ECOLOGY,"CASSIDY, ALICE",18,78.76,16.26,94,26,16,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3,2,1,3,2,5
UBC,2002,W,MUSC,236,C,001,PIANO REPTOIRE 2,"Enns, Alice",17,74.35,9.91,90,57,17,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,1,3,2,1
UBC,2002,W,MUSC,340,,001,PIANO PDG I:TH&S,"Enns, Alice",24,70.42,8.26,86,52,24,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,4,5,2,1,0
UBC,2003,W,BIOL,345,,201,HUMAN ECOLOGY,"CASSIDY, ALICE",18,82,9.47,95,69,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,3,6
UBC,2003,W,MUSC,136,C,001,PIANO REPERT I,"Enns, Alice",19,69.26,9.41,84,50,19,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,6,2,2,0,0
UBC,2003,W,MUSC,440,,001,PIANO PD II: APP,"Enns, Alice",19,81.84,4.59,91,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,4,1
UBC,2005,W,BIOL,345,,201,HUMAN ECOLOGY,"CASSIDY, ALICE",28,88.61,9.24,98,53,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,7,15
UBC,2005,W,CCST,501,,002,SEM CONT CONTEXT,"Jim, Alice",6,82.2,7.79,91,71,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1
UBC,2005,W,MUSC,440,,001,PIANO PD II: APP,"Enns, Alice",15,76.13,4.05,85,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2,1,0
UBC,2006,W,BIOL,345,,201,HUMAN ECOLOGY,"CASSIDY, ALICE",22,77.52,22.01,94,14,19,2,1,0,0,0,2,0,0,0,2,0,0,1,0,0,2,1,6,4,5
UBC,2006,W,ECON,302,,001,INTRM MACRO ANLY,"Fabre, Alice",119,71.27,11.82,94,38,110,8,0,0,1,0,0,0,1,7,8,0,12,5,17,14,13,22,12,9,6
UBC,2006,W,ECON,302,,002,INTRM MACRO ANLY,"Fabre, Alice",109,70.13,13.64,95,16,103,5,1,0,0,0,1,0,1,3,5,4,14,10,17,7,11,8,16,10,6
