Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,FILM,335,,001,DIRECTING,"Drysdale, Alyson",16,81.94,4.3,90,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,4,1
UBC,2002,W,FILM,433,,001,MOTN PIC PROD II,"Drysdale, Alyson",12,87.08,4.87,94,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3
UBC,2003,W,FILM,335,,001,DIRECTING,"Drysdale, Alyson",16,79.88,4.51,87,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,11,1,0
UBC,2003,W,FILM,433,,001,MOTN PIC PROD II,"Drysdale, Alyson",15,84.87,3.31,90,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1
UBC,2003,W,FILM,434,A,101,STUDIES IN FILM,"Drysdale, Alyson",10,79.2,6.44,90,71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,1
UBC,2003,W,FILM,434,B,102,STUDIES IN FILM,"Drysdale, Alyson",12,85.83,9.49,98,62,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,4
UBC,2012,W,SOWK,440,K,001,INTGRTV SEM SOWK,"Quinn, Alyson",12,87.83,4.3,92,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6
UBC,2013,W,SOWK,337,,002,CULT&RACE SOWK,"Dhebar, Meera;Quinn, Alyson",55,83.11,11.93,92,0,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,22,22,6
UBC,2014,W,SOWK,310,,003,INTERVIEWING SKL,"Quinn, Alyson",21,83.24,4.38,89,70,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,10,0
UBC,2014,W,SOWK,440,P,003,INTGRTV SEM SOWK,"Quinn, Alyson",22,82.73,3.63,89,75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,6,0
UBC,2015,W,SOWK,503,,001,COMMUNIC SKILLS,"Quinn, Alyson",16,84.31,2.39,88,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
UBC,2016,W,SOWK,559,,003,ADV INT SEMINAR,"Quinn, Alyson",10,83.8,4.96,90,73,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,2
UBC,2017,W,SOWK,305,,001,SOWK PRACTICE I,"Allison, Kelly;Charles, Grant;Quinn, Alyson",55,87.53,4.53,95,68,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,29,16
UBC,2017,W,SOWK,559,,003,ADV INT SEMINAR,"Quinn, Alyson",16,88.25,2.57,93,83,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4
UBC,2017,W,SOWK,560,C,003,DIR FLD STUDIES,"Quinn, Alyson",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,W,SOWK,559,,002,ADV INT SEMINAR,"Quinn, Alyson",14,87.29,3.89,93,81,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5
UBC,2018,W,SOWK,560,C,002,DIR FLD STUDIES,"Quinn, Alyson",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
