Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,S,COMM,290,,921,INT QUAN DEC MAK,"Das, Anupam",43,74.83,6.96,90,60,42,0,1,0,0,0,0,0,0,0,0,0,0,2,3,7,12,9,5,2,2
UBC,2013,S,COMM,290,,921,INT QUAN DEC MAK,"Das, Anupam",47,80.39,7.84,94,60,46,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,11,11,6
UBC,2013,S,COMM,290,,922,INT QUAN DEC MAK,"Das, Anupam",48,82.52,8.19,96,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,8,11,8,12
UBC,2014,S,COMM,290,,921,INT QUAN DEC MAK,"Das, Anupam",115,71.17,12.02,94,23,108,5,2,0,0,0,0,2,2,1,5,4,3,8,10,13,21,21,22,3,3
UBC,2014,S,COMM,290,,971,INT QUAN DEC MAK,"Das, Anupam",52,74.49,9.77,91,50,51,0,1,0,0,0,0,0,0,0,0,1,2,3,6,6,11,3,7,10,2
UBC,2014,W,COMM,291,,101,APPL STAT IN BUS,"Das, Anupam",68,72.31,14.45,98,26,65,3,0,0,0,0,0,1,1,1,3,5,2,6,6,7,7,11,6,8,7
UBC,2015,S,COMM,290,,921,INT QUAN DEC MAK,"Das, Anupam",66,73.76,11.49,94,43,65,1,0,0,0,0,0,0,0,1,1,2,3,9,4,4,8,13,8,9,5
UBC,2015,W,COMM,204,,105,LOG&OPS MANAGMNT,"Das, Anupam",64,77.44,8.35,89,52,63,0,1,0,0,0,0,0,0,0,0,1,2,2,5,2,6,14,21,10,0
UBC,2015,W,COMM,204,,108,LOG&OPS MANAGMNT,"Das, Anupam",58,75.79,5.74,88,64,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,15,11,5,0
UBC,2015,W,COMM,204,,109,LOG&OPS MANAGMNT,"Das, Anupam",64,76.75,6.16,90,55,64,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,16,18,16,4,1
UBC,2015,W,COMM,204,,110,LOG&OPS MANAGMNT,"Das, Anupam",63,74.97,6.59,86,58,63,0,0,0,0,0,0,0,0,0,0,0,3,3,1,9,12,18,15,2,0
UBC,2015,W,COMM,204,,112,LOG&OPS MANAGMNT,"Das, Anupam",64,74.36,6.66,85,51,64,0,0,0,0,0,0,0,0,0,0,1,3,1,3,7,17,19,12,1,0
UBC,2015,W,COMM,291,,101,APPL STAT IN BUS,"Das, Anupam",69,66.21,13.71,94,7,64,3,2,0,0,1,0,0,0,2,3,7,3,12,14,7,4,3,6,6,2
