Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,COMM,362,,202,BUYER BEHAVR,"Hoegg, Jo Andrea",45,75.7,7.23,89,61,44,0,1,0,0,0,0,0,0,0,0,0,0,4,6,2,2,13,13,4,0
UBC,2006,W,COMM,362,,203,BUYER BEHAVR,"Hoegg, Jo Andrea",43,74.81,6.23,85,61,43,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,13,7,11,2,0
UBC,2006,W,COMM,662,,001,BUYER BEHAVIOUR,"Hoegg, Jo Andrea",4,86,2.16,88,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2007,W,COMM,362,,201,BUYER BEHAVR,"Hoegg, Jo Andrea",39,74.38,6.14,86,60,39,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,7,12,7,2,0
UBC,2007,W,COMM,362,,202,BUYER BEHAVR,"Hoegg, Jo Andrea",41,74.93,5.51,88,62,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,10,12,8,1,0
UBC,2007,W,COMM,362,,203,BUYER BEHAVR,"Hoegg, Jo Andrea",37,75.16,5.71,86,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,8,7,3,0
UBC,2009,W,COMM,362,,201,BUYER BEHAVR,"Hoegg, Jo Andrea",40,79.6,5.51,89,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,13,13,8,0
UBC,2009,W,COMM,362,,202,BUYER BEHAVR,"Hoegg, Jo Andrea",40,79.48,5.29,89,67,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,11,14,7,0
UBC,2009,W,COMM,362,,203,BUYER BEHAVR,"Hoegg, Jo Andrea",38,75.26,6.69,84,50,38,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,6,10,12,0,0
UBC,2010,W,COMM,660,,001,SEM IN MARKETING,"Hoegg, Jo Andrea",7,85.29,1.7,88,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
UBC,2011,W,BAMA,508,,ECM,MRKT RESEARCH,"Hoegg, Jo Andrea",48,79.98,5.58,90,68,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,17,9,1
UBC,2011,W,COMM,362,,201,BUYER BEHAVR,"Hoegg, Jo Andrea",39,75.87,6.46,90,61,39,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,12,5,10,3,1
UBC,2011,W,COMM,362,,202,BUYER BEHAVR,"Hoegg, Jo Andrea",43,77.86,7.69,90,53,43,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,7,6,16,7,1
UBC,2011,W,COMM,362,,204,BUYER BEHAVR,"Hoegg, Jo Andrea",41,79.46,5.45,89,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,11,9,0
UBC,2012,W,BAMA,508,,ECM,MRKT RESEARCH,"Hoegg, Jo Andrea",57,80.53,4.1,88,70,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,29,12,0
UBC,2012,W,COMM,662,,001,BUYER BEHAVIOUR,"Hoegg, Jo Andrea",6,85.67,2.73,89,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
UBC,2013,W,BAMA,508,,001,MRKT RESEARCH,"Hoegg, Jo Andrea",22,80.91,4.25,90,75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,5,1
UBC,2013,W,BAMA,508,,002,MRKT RESEARCH,"Hoegg, Jo Andrea",39,80.77,6.05,95,63,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,18,5,3
UBC,2013,W,BAMA,508,,ECM,MRKT RESEARCH,"Hoegg, Jo Andrea",49,81.14,5.26,96,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,17,11,2
UBC,2013,W,COMM,590,B,004,TOPICS BUS ADMIN,"Hoegg, Jo Andrea",9,85.11,2.89,90,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1
UBC,2013,W,COMM,661,,001,ANLTL MTHD MKTG,"Hoegg, Jo Andrea",4,84.75,0.96,86,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
UBC,2014,W,COMM,590,B,004,TOPICS BUS ADMIN,"Hoegg, Jo Andrea",4,87,0.82,88,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2015,W,COMM,590,B,004,TOPICS BUS ADMIN,"Hoegg, Jo Andrea",9,87.22,5.12,94,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
UBC,2015,W,COMM,662,,001,BUYER BEHAVIOUR,"Hoegg, Jo Andrea",5,85.2,1.48,87,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
