Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,S,PHIL,102,,001,INTR PHILSPHY II,"Balotskiy, Aleksey",36,77,8.51,90,56,35,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,6,4,6,9,2
UBCV,2014,W,PHIL,330,A,003,Social and Political Philosophy,Aleksey Balotskiy;Scott Allen Anderson;Shang Chun Tsui,65,70.55384615,13.85080184,90.0,0.0,,,,,,,,,,,,,5,6,6,9,8,10,8,7,
UBCV,2015,W,PHIL,102,,002,Introduction to Philosophy II,Aleksey Balotskiy;Bruno Guindon;Sophia Sideris,123,65.951219512,13.258992407,87.0,6.0,,,,,,,,,,,9,2,10,11,22,24,23,13,7,2,0
UBCV,2015,W,PHIL,230,A,002,Introduction to Moral Theory,Aleksey Balotskiy;Bruno Guindon,79,67.088607595,9.048572452,87.0,38.0,,,,,,,,,,,3,3,5,14,16,13,11,9,4,1,0
UBCV,2016,S,PHIL,101,,921,Introduction to Philosophy,Aleksey Balotskiy;Bianca Crewe;Donald Beith;Jonathan Lopez,60,73.03333333,5.605586398,86.0,61.0,,,,,,,,,,,0,0,0,3,9,11,17,13,5,2,0
UBCV,2016,S,PHIL,338,A,001,Philosophy of Law,Aleksey Balotskiy;Bianca Crewe;Donald Beith;Jonathan Lopez,83,79.39759036,6.378201748,93.0,67.0,,,,,,,,,,,0,0,0,0,2,7,20,12,23,11,8
UBCV,2016,W,PHIL,102,,001,Introduction to Philosophy II,Aleksey Balotskiy;Jonathan Peter Robert Thakkar;Jonathan Thakkar,111,72.58558559,11.71515605,90.0,11.0,,,,,,,,,,,6,1,3,7,8,14,14,26,26,5,1
UBCV,2016,W,PHIL,230,A,001,Introduction to Moral Theory,Aleksey Balotskiy;Matthew Bedke,62,71.4516129,8.590267881,85.0,37.0,,,,,,,,,,,2,0,0,4,7,15,17,7,9,1,0
UBCV,2016,W,PHIL,230,A,002,Introduction to Moral Theory,Aleksey Balotskiy;Matthew Bedke,77,72.72727273,13.5157183,90.0,4.0,,,,,,,,,,,4,1,0,4,3,13,16,16,14,4,2
UBCV,2017,W,PHIL,102,,002,Introduction to Philosophy II,Aleksey Balotskiy;Bruno Guindon,79,70.759493671,10.989756524,89.0,5.0,,,,,,,,,,,2,2,2,5,8,16,18,16,7,3,0
UBCV,2017,W,PHIL,311,,001,The Philosophy of Aristotle,Aleksey Balotskiy;Sylvia Berryman,31,67.322580645,12.910943928,91.0,35.0,,,,,,,,,,,2,4,4,2,2,5,0,6,5,0,1
UBCV,2017,W,PHIL,330,,002,Social and Political Philosophy,Aleksey Balotskiy;Scott Allen Anderson,70,68.728571429,15.663047465,90.0,0.0,,,,,,,,,,,3,2,10,6,6,7,9,11,12,3,1
UBCV,2017,W,PHIL,333,,001,Bio-Medical Ethics,Aleksey Balotskiy;Bruno Guindon,89,74.95505618,6.386972025,88.0,51.0,,,,,,,,,,,0,1,0,3,5,14,26,17,19,4,0
UBCV,2018,S,PHIL,102,,001,Introduction to Philosophy II,Aleksey Balotskiy;Garson Leder,36,77.083333333,8.405355436,90.0,56.0,,,,,,,,,,,0,0,1,3,0,4,6,4,7,9,2
UBCV,2018,W,PHIL,102,,002,Introduction to Philosophy II,Aleksey Balotskiy;Bruno Guindon,56,74.25,8.846673746,90.0,46.0,,,,,,,,,,,1,1,2,3,2,6,12,14,11,3,1
UBCV,2018,W,PHIL,333,,001,Bio-Medical Ethics,Aleksey Balotskiy;Bruno Guindon,77,72.844155844,11.29749033,86.0,0.0,,,,,,,,,,,2,0,0,2,4,15,22,17,12,3,0
UBCV,2018,W,PHIL,333,,003,Bio-Medical Ethics,Aleksey Balotskiy;Bruno Guindon,90,72.511111111,6.832250759,87.0,50.0,,,,,,,,,,,0,2,2,3,8,24,21,18,8,4,0
UBCV,2018,W,PHIL,338,,002,Philosophy of Law,Aleksey Balotskiy;Matthew Bedke;Thomas Jacob Bittner,63,68.825396825,11.994003451,88.0,21.0,,,,,,,,,,,2,0,6,10,8,8,13,8,3,5,0
UBCV,2019,S,PHIL,102,,001,Introduction to Philosophy II,Aleksey Balotskiy;Ian Heckman;Ian Tomas Heckman,21,80.047619048,4.51083352,86.0,69.0,,,,,,,,,,,0,0,0,0,0,2,0,4,12,3,0
UBCV,2019,S,PHIL,333,,001,Bio-Medical Ethics,Aleksey Balotskiy;Bruno Guindon;Doran Smolkin,63,71.904761905,13.760291498,85.0,0.0,,,,,,,,,,,2,2,1,1,2,12,16,12,14,1,0
