Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,BAIT,506,,001,BUS MDL INFO TEC,"Burton-Jones, Andrew",23,81.57,6.34,89,67,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,8,0
UBC,2005,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",18,77.67,5.43,87,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,5,2,0
UBC,2005,W,COMM,456,,201,INFO TECH RISKS,"Burton-Jones, Andrew",6,79.67,5.61,86,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
UBC,2006,W,BAIT,506,,001,BUS MDL INFO TEC,"Burton-Jones, Andrew",18,80.72,1.96,84,78,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0
UBC,2006,W,BAIT,512,,001,CTRL&SCR INF RES,"Burton-Jones, Andrew",6,80.67,4.97,85,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0
UBC,2006,W,BAIT,512,,002,CTRL&SCR INF RES,"Burton-Jones, Andrew",8,79.75,3.11,86,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0
UBC,2006,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",29,78.17,6.78,91,55,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,8,12,2,1
UBC,2006,W,COMM,456,,201,INFO TECH RISKS,"Burton-Jones, Andrew",19,78,6.39,90,66,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,8,1,1
UBC,2007,W,BAIT,512,,002,CTRL&SCR INF RES,"Burton-Jones, Andrew",13,79.92,4.46,87,68,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0
UBC,2007,W,BAIT,580,A,001,TPCS INFO TECH,"Burton-Jones, Andrew",5,85.4,2.51,89,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
UBC,2007,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",30,78.38,6.83,89,60,29,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,7,10,6,0
UBC,2007,W,COMM,456,,201,INFO TECH RISKS,"Burton-Jones, Andrew",13,78.38,3.69,85,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,1,0
UBC,2009,W,BAIT,506,,001,BUS MDL INFO TEC,"Burton-Jones, Andrew",28,80.74,5.31,88,68,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,12,8,0
UBC,2009,W,BAIT,512,,001,MAN IT BUSI RISK,"Burton-Jones, Andrew",14,82.43,2.03,86,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0
UBC,2009,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",35,77.43,6.16,85,50,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,12,13,1,0
UBC,2009,W,COMM,456,,201,INFO TECH RISKS,"Burton-Jones, Andrew",16,78.38,4.08,85,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,5,2,0
UBC,2010,W,BAIT,512,,001,MAN IT BUSI RISK,"Burton-Jones, Andrew",15,79.2,3.23,85,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,1,0
UBC,2010,W,BAIT,580,B,001,TPCS INFO TECH,"Burton-Jones, Andrew",8,83.38,1.85,86,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
UBC,2010,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",39,77.64,3.57,85,70,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,12,1,0
UBC,2010,W,COMM,456,,201,INFO TECH RISKS,"Burton-Jones, Andrew",12,79.33,2.74,83,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0
UBC,2011,W,BAIT,501,,810,SRV INFO TECH AP,"Burton-Jones, Andrew",15,81,2.39,85,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,1,0
UBC,2011,W,COMM,436,,201,INF SYS ANLY&DES,"Burton-Jones, Andrew",44,78.42,5.1,90,68,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,15,8,7,1
UBC,2012,W,BAIT,501,,811,SRV INFO TECH AP,"Burton-Jones, Andrew",29,80,3.95,89,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,12,4,0
UBC,2012,W,BAIT,501,,812,SRV INFO TECH AP,"Burton-Jones, Andrew",43,80.19,4.22,87,64,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,18,7,0
