Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,FIPR,133,,001,Introduction to Film and Media Production,Antoine Bourges;Luke Bramley;Samantha Pineda Sierra,35,82.371428571,8.19643292,98.0,59.0,0,0,1,1,0,1,1,6,10,10,5,,,
UBCV,2019,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges;Gabriel Galand;Samantha Pineda Sierra;Tom Scholte,58,82.672413793,9.140977588,97.0,56.0,0,0,2,3,1,1,2,6,12,20,11,,,
UBCV,2020,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges;Sam Mohseni;Theresa Warbus,58,76.586206897,9.639164415,94.0,56.0,0,0,3,3,7,5,5,10,13,6,6,,,
UBCV,2020,W,FIPR,333,,001,Film and Media Production II,Alejandro Yoshizawa;Antoine Bourges;Rob Wenzek,14,80.5,9.974968672,94.0,63.0,0,0,0,1,0,1,4,1,1,3,3,,,
UBCV,2021,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges;Faith Ilevbare;Lael Mccall;Sam Mohseni,58,76.310344828,13.761383672,92.0,13.0,3,0,2,1,2,4,6,10,18,9,3,,,
UBCV,2021,W,FIPR,433,,001,Film and Media Production III,Antoine Bourges;Igor Drljaca,9,80.111111111,4.400126261,90.0,75.0,0,0,0,0,0,0,1,2,5,0,1,,,
UBCV,2021,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges,58,76.3,,92.0,13.0,,,,,,,6,10,18,9,,80.0,84.0,74.0
UBCV,2021,W,FIPR,333,,001,Film and Media Production II,Antoine Bourges,14,84.7,,94.0,68.0,,,,,,,,,,,,86.5,90.0,82.0
UBCV,2022,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges,55,77.9,,92.0,34.0,1,1,2,0,2,3,8,8,13,14,3,80.0,85.0,74.0
UBCV,2022,W,FIPR,333,,001,Film and Media Production II,Antoine Bourges;Tarique Qayumi,18,87.7,,97.0,70.0,0,0,0,0,0,1,2,0,2,5,8,89.0,94.0,84.8
UBCV,2023,W,FIPR,133,,002,Introduction to Film and Media Production,Antoine Bourges,45,85.16,,94.0,76.0,0,0,0,0,0,0,0,5,15,19,5,85.0,87.5,83.0
UBCV,2023,W,FIPR,230,,001,Introduction to Motion Picture Directing,Antoine Bourges,63,80.68,,91.0,28.0,1,0,0,0,0,2,7,11,20,19,2,82.0,85.75,78.0
UBCV,2023,W,FIPR,333,,001,Film and Media Production II,Antoine Bourges,13,86.77,,95.0,78.0,0,0,0,0,0,0,0,2,1,6,4,88.0,90.0,85.0
