Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,EESC,222,,001,Geomorphology,Bernard Bauer,43,74.09302326,12.30333666,92.0,36.0,,,,5,,6,,5,9,8,
UBCO,2014,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,17,79.64705882,5.14710084,90.0,70.0,0,0,0,0,0,,,,7,,
UBCO,2014,W,EESC,436,,001,Coastal Geomorphology,Bernard Bauer,10,79.9,7.140650453,92.0,68.0,0,0,0,0,0,,,,,,
UBCO,2014,W,GEOG,222,,001,Geomorphology,Bernard Bauer,13,66.23076923,11.74843143,82.0,40.0,,,,,,,,,,0,0
UBCO,2015,W,EESC,222,,001,Geomorphology,Bernard Bauer,39,69.769230769,13.033280353,91.0,32.0,,,,,6,6,,5,,5,
UBCO,2015,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,21,75.095238095,19.17264917,92.0,2.0,,,,,,,,,6,,
UBCO,2015,W,GEOG,222,,001,Geomorphology,Bernard Bauer,10,60.4,19.563003632,84.0,20.0,,,,,,,,,,0,0
UBCO,2016,W,EESC,222,,001,Geomorphology,Bernard Bauer,40,70.125,13.8382367,94.0,35.0,2,2,5,2,4,5,3,7,5,2,3
UBCO,2016,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,8,80.375,6.186101934,88.0,73.0,0,0,0,0,0,0,3,0,2,3,0
UBCO,2016,W,EESC,436,,001,Coastal Geomorphology,Bernard Bauer,6,80.5,7.395944835,88.0,71.0,0,0,0,0,0,1,1,0,2,2,0
UBCO,2016,W,GEOG,222,,001,Geomorphology,Bernard Bauer,14,68.28571429,15.39444741,88.0,28.0,1,1,0,1,2,3,1,2,1,2,0
UBCO,2017,S,EESC,435,,001,Applied Fluvial Geomorphology Field Techniques,Bernard Bauer,14,82.785714286,4.353222881,94.0,76.0,0,0,0,0,0,0,0,3,8,2,1
UBCO,2018,W,EESC,222,,001,Geomorphology,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Marianni De Aragao Nogare,35,75.085714286,13.886877912,99.0,50.0,0,2,3,3,5,3,2,1,2,6,8
UBCO,2018,W,EESC,356,,001,Stratigraphy and Sedimentology,Bernard Bauer;Craig Nichol;Edward Hornibrook;Ian Saunders;John Greenough;Michelle Lamberson;Riccardo Graziani,36,69.111111111,9.993648777,84.0,43.0,3,1,1,1,8,7,5,4,6,0,0
UBCO,2018,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,21,79.571428571,6.771790225,93.0,66.0,0,0,0,0,2,1,2,3,9,3,1
UBCO,2018,W,EESC,436,,001,Coastal Geomorphology,Bernard Bauer,8,73.25,11.323174719,84.0,50.0,0,1,0,0,1,0,2,0,4,0,0
UBCO,2018,W,GEOG,222,,001,Geomorphology,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Marianni De Aragao Nogare,6,74.166666667,16.191561588,86.0,51.0,0,1,1,0,0,0,0,0,1,3,0
UBCO,2019,S,EESC,435,,001,Fluvial Field Techniques,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Marianni De Aragao Nogare,24,82.25,8.704072011,93.0,50.0,0,1,0,0,0,0,2,3,8,5,5
UBCO,2019,W,EESC,222,,001,Geomorphology,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Tyler James Moffatt;Tyler Moffatt,34,68.911764706,14.753258802,85.0,36.0,4,2,2,2,3,1,5,4,10,1,0
UBCO,2019,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,8,81.125,6.998724374,89.0,70.0,0,0,0,0,0,1,1,1,2,3,0
UBCO,2019,W,GEOG,222,,001,Geomorphology,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Tyler James Moffatt;Tyler Moffatt,6,67.166666667,16.940090515,90.0,50.0,0,2,1,0,0,0,1,0,1,0,1
UBCO,2020,W,EESC,222,,001,Geomorphology,Alexander Macduff;Alexander Marcel Macduff;Bernard Bauer;Karaline Reimer,31,78.741935484,9.626241018,95.0,50.0,0,1,0,1,1,4,2,5,9,5,3
UBCO,2020,W,EESC,422,,001,Fluvial Geomorphology,Bernard Bauer,23,76.869565217,10.605763218,95.0,56.0,0,0,1,1,3,3,2,2,5,2,4
UBCO,2021,W,EESC,222,,001,Geomorphology,Bernard Bauer;Praneet Rawlani;Sonja Bruun;�Owyn Campbell,36,78.277777778,16.74277859,96.0,16.0,2,0,1,0,2,1,5,4,3,10,8
