Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,LLED,360,,301,CLS DSC TEL SECD,"Bridge, Christine",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,LLED,361,,924,LIT PRC&ASMT SEC,"Bridge, Christine",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,LLED,360,,309,CLS DSC TEL SECD,"Bridge, Christine",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,LLED,361,,920,LIT PRC&ASMT SEC,"Bridge, Christine",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,LLED,361,,925,LIT PRC&ASMT SEC,"Bridge, Christine",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBCV,2019,W,LLED,459,,61A,Trends and Issues in Literacy Instruction,Christine Bridge;Magdalena Vergara-Detigny,25,91.6,2.798809271,96.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,21
UBCV,2020,S,ADHE,329,,93S,"Developing Short Courses, Workshops and Seminars",Christine Bridge;Vicheth Sen,27,85.666666667,11.163126113,98.0,60.0,,,,,,,,,,,0,0,0,2,2,0,1,0,4,3,15
UBCV,2020,S,ADHE,329,,93T,"Developing Short Courses, Workshops and Seminars",Christine Bridge;Omer Aijazi,25,91.96,3.899572626,97.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,4,20
UBCV,2021,S,ADHE,329,,93S,"Developing Short Courses, Workshops and Seminars",Christine Bridge;Omer Aijazi,28,84.142857143,7.100935179,94.0,68.0,,,,,,,,,,,0,0,0,0,0,2,2,2,7,6,9
UBCV,2021,S,ADHE,329,,93T,"Developing Short Courses, Workshops and Seminars",Christine Bridge;Stephanie Glick,20,87.4,4.750623228,95.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,4,10,5
