Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,ECON,101,,001,Principles of Microeconomics,Amarpreet Kaur;Daniel Kandie;Hannah Johnson;Hoang Bui;Laura Fylyshtan;Noriko Ozawa;Ryan Bergen;Tomasz Cykowski,251,68.09561753,15.549881695,95.0,0.0,21,14,19,30,30,29,26,20,29,15,18
UBCO,2017,W,ECON,101,,002,Principles of Microeconomics,Amarpreet Kaur;Daniel Kandie;Hannah Johnson;Hoang Bui;Khan Islam;Laura Fylyshtan;Noriko Ozawa;Ryan Bergen;Tomasz Cykowski,142,66.056338028,16.362374521,98.0,0.0,17,14,19,15,12,8,17,8,13,10,9
UBCO,2017,W,ECON,101,,101,Principles of Microeconomics,Amarpreet Kaur;Hannah Johnson;Hoang Bui;Jinze Wu;Laura Fylyshtan;Lyndsay Eichinger;Noriko Ozawa;Ryan Bergen;Tomasz Cykowski,209,64.976076555,20.356070771,100.0,0.0,36,17,14,21,17,20,15,9,24,19,17
UBCO,2017,W,ECON,102,,101,Principles of Macroeconomics,Hannah Johnson;Hoang Bui;Jinze Wu;Laura Fylyshtan;Lyndsay Eichinger;Ross Hickey;Ryan Bergen;Tomasz Cykowski,229,67.886462882,16.823261887,100.0,0.0,19,15,19,25,21,24,25,28,25,16,12
UBCO,2017,W,ECON,102,,102,Principles of Macroeconomics,Hannah Johnson;Hoang Bui;Jinze Wu;Julien Picault;Karl Pinno;Laura Fylyshtan;Tomasz Cykowski,196,65.306122449,18.898600227,100.0,0.0,20,7,33,19,16,26,17,18,19,8,13
UBCO,2017,W,ECON,204,,001,Intermediate Microeconomic Analysis,Daniel Kandie;Hoang Bui;Laura Fylyshtan;Noriko Ozawa;Ryan Bergen;Tomasz Cykowski,67,61.134328358,17.249414151,90.0,4.0,14,5,13,8,4,3,2,5,8,3,2
UBCO,2017,W,ECON,295,,101,Managerial Economics,Hoang Bui;Khan Islam;Laura Fylyshtan;Noriko Ozawa,65,71.276923077,15.009900579,93.0,0.0,3,1,7,6,5,5,11,8,9,7,3
UBCO,2019,W,ECON,101,,001,Principles of Microeconomics,Abigayle Weatherhog;Anthony Boyko;Braydon Neiszner;Chidera Kingsley-Emu;Colton Horne;Devon Rudd;Hoang Bui;Jessica Grant;Juwilliart Cox;Kebbie Brown;Nicholas Ogawa;Noriko Ozawa;Voole Cox,266,66.902255639,17.239430303,98.0,0.0,33,17,36,13,28,24,19,26,33,20,17
UBCO,2019,W,ECON,101,,002,Principles of Microeconomics,Abigayle Weatherhog;Braydon Neiszner;Colton Horne;Hoang Bui;Jessica Grant;Juwilliart Cox;Khan Islam;Voole Cox,99,69.606060606,16.22973976,92.0,0.0,6,10,5,9,8,8,11,5,12,13,12
UBCO,2019,W,ECON,102,,001,Principles of Macroeconomics,Abigayle Weatherhog;Anthony Boyko;Braydon Neiszner;Chidera Kingsley-Emu;Colton Horne;Devon Rudd;Hoang Bui;Jessica Grant;Juwilliart Cox;Kebbie Brown;Nicholas Ogawa;Peter Wylie;Tazul Islam;Voole Cox,164,66.341463415,16.018562478,97.0,0.0,14,14,14,23,19,20,14,12,14,11,9
UBCO,2019,W,ECON,204,,001,Intermediate Microeconomic Analysis,Anthony Boyko;Braydon Neiszner;Hoang Bui;Juwilliart Cox;Mehdi Mohamadian;Nicholas Ogawa;Noriko Ozawa;Sarah El Kaissi;Voole Cox,49,64.87755102,10.227888046,86.0,39.0,1,7,9,7,2,7,7,5,3,1,0
UBCO,2019,W,ECON,204,,101,Intermediate Microeconomic Analysis,Hoang Bui;Juwilliart Cox;Mehdi Mohamadian;Mohsen Javdani;Noriko Ozawa;Spencer Dean;Spencer Lh Dean,60,60.583333333,17.163512408,95.0,21.0,13,6,8,4,9,5,4,0,6,2,3
