Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2021,W,LAW,281,,001,Legal Research and Writing,James Bachmann,46,75.043478261,5.525522687,85.0,61.0,0,0,0,2,1,10,8,17,7,1,0,,,
UBCV,2021,W,LAW,281,,002,Legal Research and Writing,James Bachmann,48,74.541666667,5.40275081,83.0,62.0,0,0,0,1,5,8,7,18,9,0,0,,,
UBCV,2021,W,LAW,430,,001,Advanced Legal Research,James Bachmann,17,79.0,5.049752469,86.0,68.0,0,0,0,0,0,1,4,4,5,3,0,,,
UBCV,2021,W,LAW,430,,002,Advanced Legal Research,James Bachmann,18,77.722222222,10.385541735,89.0,57.0,0,0,2,1,0,3,0,1,5,6,0,,,
UBCV,2022,W,LAW,281,,001,Legal Research and Writing,James Bachmann,46,72.4,,85.0,54.0,0,1,1,4,4,10,11,5,9,1,0,72.0,77.8,68.0
UBCV,2022,W,LAW,281,,002,Legal Research and Writing,James Bachmann,51,71.0,,82.0,54.0,0,1,1,4,10,11,11,8,5,0,0,71.0,75.5,67.0
UBCV,2022,W,LAW,430,,001,Advanced Legal Research,James Bachmann,17,74.1,,89.0,59.0,0,0,1,0,1,3,7,1,2,2,0,72.0,78.0,70.0
UBCV,2022,W,LAW,430,,002,Advanced Legal Research,James Bachmann,16,74.4,,86.0,61.0,0,0,0,1,2,3,2,4,3,1,0,75.0,79.8,68.0
UBCV,2023,W,LAW,281,,001,Legal Research and Writing,James Bachmann,50,70.22,,79.0,50.0,0,1,0,4,11,11,13,10,0,0,0,70.5,75.0,67.0
UBCV,2023,W,LAW,281,,002,Legal Research and Writing,James Bachmann,45,73.93,,83.0,55.0,0,0,2,1,4,5,10,15,8,0,0,76.0,78.0,71.0
UBCV,2023,W,LAW,430,,001,Advanced Legal Research,James Bachmann,18,76.06,,83.0,58.0,0,0,1,1,0,1,2,8,5,0,0,78.0,79.75,75.25
UBCV,2023,W,LAW,430,,002,Advanced Legal Research,James Bachmann,13,78.5,,87.0,66.0,0,0,0,0,1,0,3,3,3,2,0,79.0,82.5,75.0
