Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2014,W,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg,27,85.51851852,2.501851166,89.0,79.0,0,0,0,0,0,0,0,1,9,17,0,,,
UBCO,2014,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,15,86.0,2.138089935,89.0,83.0,0,0,0,0,0,0,0,0,6,9,0,,,
UBCO,2015,W,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg;Menno Salverda,29,86.827586207,4.071406966,92.0,72.0,0,0,0,0,0,0,,,,18,6,,,
UBCO,2015,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,25,88.76,3.585619426,92.0,75.0,0,0,0,0,0,0,,,,8,16,,,
UBCO,2015,W,GEOG,480,,001,Advanced Seminar in Critical Geography,Lawrence Berg,15,82.733333333,8.819351018,90.0,66.0,0,0,0,0,,,,,,5,,,,
UBCO,2016,W,IGS,550,A,001,Special Topics in Social Science Research,Lawrence Berg,9,87.66666667,3.807886553,94.0,83.0,0,0,0,0,0,0,0,0,1,5,3,,,
UBCO,2017,W,GEOG,359,,101,"Culture, Space, and Politics",Lawrence Berg,19,88.947368421,2.69719369,93.0,83.0,0,0,0,0,0,0,0,0,2,9,8,,,
UBCO,2017,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,12,89.416666667,2.937479852,94.0,85.0,0,0,0,0,0,0,0,0,0,6,6,,,
UBCO,2017,W,GEOG,480,,101,Advanced Seminar in Critical Geography,Lawrence Berg,9,87.222222222,2.43812314,92.0,85.0,0,0,0,0,0,0,0,0,0,7,2,,,
UBCO,2018,W,GEOG,128,,101,"Human Geography: Space, Place, and Community",Darcen Esau;Kaylah Vrabic;Lawrence Berg,100,92.48,4.695753508,99.0,75.0,0,0,0,0,0,0,1,1,6,13,79,,,
UBCO,2018,W,GEOG,359,,101,"Culture, Space, and Politics",Kaylah Vrabic;Lawrence Berg,29,85.689655172,5.099744029,92.0,68.0,0,0,0,0,0,1,0,1,9,12,6,,,
UBCO,2018,W,GEOG,474,,001,Qualitative Research in Human Geography,Kaylah Vrabic;Lawrence Berg,16,87.25,6.180614856,93.0,76.0,0,0,0,0,0,0,0,2,3,3,8,,,
UBCO,2018,W,GEOG,480,,101,Advanced Seminar in Critical Geography,Catherine Kyle;Lawrence Berg,8,82.5,8.124038405,91.0,65.0,0,0,0,0,1,0,0,1,2,3,1,,,
UBCO,2019,W,GEOG,128,,101,"Human Geography: Space, Place, and Community",Jeffrey Nishima-Miller;Kaylah Vrabic;Lawrence Berg,116,85.982758621,6.52751069,96.0,54.0,0,1,0,1,0,1,3,9,23,40,38,,,
UBCO,2019,W,GEOG,474,,001,Qualitative Research in Human Geography,Ariele Parker;Lawrence Berg,25,91.96,1.946792233,94.0,88.0,0,0,0,0,0,0,0,0,0,3,22,,,
UBCO,2019,W,IGS,583,,001,"Urban, Rural, and Regional Dynamics",Lawrence Berg,8,92.0,0.0,92.0,92.0,0,0,0,0,0,0,0,0,0,0,8,,,
UBCO,2020,W,GEOG,128,,001,"Human Geography: Space, Place, and Community",Ayla Brown;Bethany Presley;Catherine Kyle;Lawrence Berg,140,82.142857143,9.938350563,97.0,51.0,0,3,3,2,6,6,10,15,20,41,34,,,
UBCO,2020,W,GEOG,128,,101,"Human Geography: Space, Place, and Community",Bethany Presley;Catherine Kyle;Denae Weighill;Jose Teixeira;Lawrence Berg,81,78.654320988,16.40286598,99.0,0.0,4,2,4,0,7,1,6,7,16,15,19,,,
UBCO,2020,W,GEOG,359,,001,"Culture, Space, and Politics",Ayla Brown;Lawrence Berg;Nasibeh Ahadi Maragheh;Seyedeh Nadia Mahmoudi,40,89.575,8.012450248,98.0,53.0,0,1,0,0,0,0,0,1,7,7,24,,,
UBCO,2020,W,IGS,583,,001,"Urban, Rural, and Regional Dynamics",Lawrence Berg;Seyedeh Nadia Mahmoudi,7,89.571428571,3.735288604,94.0,84.0,0,0,0,0,0,0,0,0,1,1,5,,,
UBCO,2021,W,GEOG,128,,001,"Human Geography: Space, Place, and Community",Catherine Kyle;Jeffrey Nishima-Miller;Joy Klempner;Lawrence Berg;Madison Huggins,115,76.92173913,13.389671213,94.0,29.0,5,3,5,9,2,5,13,8,25,26,14,,,
UBCO,2021,W,GEOG,359,,001,"Culture, Space, and Politics",Ayla Brown;Lawrence Berg;Murray Derksen,40,87.725,6.308266859,95.0,70.0,0,0,0,0,0,1,2,2,5,9,21,,,
UBCO,2021,W,GEOG,474,,001,Qualitative Research in Human Geography,Ayla Brown;Lawrence Berg;Murray Derksen,22,90.863636364,2.531618239,94.0,84.0,0,0,0,0,0,0,0,0,1,3,18,,,
UBCO,2021,W,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg,40,87.7,,95.0,70.0,,,,,,,,,,9,21,90.0,93.0,84.8
UBCO,2021,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,22,90.9,,94.0,84.0,,,,,,,,,,,18,91.0,93.0,90.0
UBCO,2022,W,ANTH,445,,001,Political Ecology,Lawrence Berg;Onyx Sloan Morgan;John Wagner,19,73.9,,90.0,43.0,1,1,0,0,2,1,3,6,2,2,1,77.0,79.0,71.5
UBCO,2022,W,GEOG,128,,101,"Human Geography: Space, Place, and Community",Lawrence Berg,216,78.2,,93.0,0.0,4,0,0,3,10,14,30,44,62,43,6,80.0,84.0,74.8
UBCO,2022,W,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg,26,86.4,,98.0,76.0,0,0,0,0,0,0,0,3,9,7,7,85.5,91.8,81.3
UBCO,2022,W,GEOG,445,,001,Political Ecology,Lawrence Berg;Onyx Sloan Morgan;John Wagner,11,77.6,,93.0,67.0,0,0,0,0,1,1,3,1,4,0,1,78.0,81.0,73.5
UBCO,2022,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,21,85.6,,88.0,82.0,0,0,0,0,0,0,0,0,4,17,0,86.0,86.0,85.0
UBCO,2022,W,GEOG,480,,001,Advanced Seminar in Critical Geography,Lawrence Berg,11,87.9,,95.0,81.0,0,0,0,0,0,0,0,0,4,1,6,91.0,91.5,83.0
UBCO,2023,S,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg,40,84.88,,95.0,62.0,0,0,0,1,0,0,1,2,9,24,3,87.0,88.0,83.0
UBCO,2023,W,GEOG,128,,101,"Human Geography: Space, Place, and Community",Lawrence Berg,200,77.24,,96.0,32.0,2,1,1,9,10,13,31,45,50,23,11,78.0,82.0,73.75
UBCO,2023,W,GEOG,359,,001,"Culture, Space, and Politics",Lawrence Berg,32,84.69,,95.0,75.0,0,0,0,0,0,0,1,1,12,17,1,85.0,86.25,84.0
UBCO,2023,W,GEOG,474,,001,Qualitative Research in Human Geography,Lawrence Berg,17,84.53,,95.0,61.0,0,0,0,1,0,0,3,1,0,6,6,88.0,92.0,76.0
