Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2017,W,OSOT,511,,001,THEORY & PRAC,"Backman, Catherine;Bunting, Mary",56,84.16,4.91,93,69,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,21,23,7,,,
UBC,2017,W,OSOT,525,,001,PRAC SKILLS II,"Bunting, Mary",56,83.67,5.22,94,66,55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,20,19,6,,,
UBC,2017,W,OSOT,553,,001,DEV EFFECTIVE PR,"Bunting, Mary",57,,,,,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,S,OSOT,553,,001,DEV EFFECTIVE PR,"Bunting, Mary",57,90.77,3.82,98,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,39,,,
UBCV,2017,W,OSOT,511,,001,Fundamentals of Theory and Practice,Catherine Backman;Mary Bunting,56,84.160714286,4.909274287,93.0,69.0,,,,,,,,,,,0,0,0,0,0,2,1,2,21,23,7,,,
UBCV,2017,W,OSOT,525,,001,"Theory, Practice Skills and Therapeutic Procedures II",Mary Bunting,55,83.672727273,5.221233519,94.0,66.0,,,,,,,,,,,0,0,0,0,1,0,4,5,20,19,6,,,
UBCV,2018,S,OSOT,553,,001,Developing Effective Programs,Mary Bunting,57,90.771929825,3.817336131,98.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,15,39,,,
UBCV,2018,W,OSOT,511,,001,Fundamentals of Theory and Practice,Erin Klein;Mary Bunting,56,83.910714286,4.900006626,91.0,68.0,,,,,,,,,,,0,0,0,0,0,1,3,5,19,23,5,,,
UBCV,2018,W,OSOT,525,,001,"Theory, Practice Skills and Therapeutic Procedures II",Donna Drynan;Jill Zwicker;Julia Schmidt;Mary Bunting;Michael Lee;Skye Barbic,56,83.035714286,5.653524358,92.0,68.0,,,,,,,,,,,0,0,0,0,0,2,3,8,19,16,8,,,
UBCV,2019,S,OSOT,553,,001,Developing Effective Programs,Mary Bunting,52,88.211538462,5.100313479,95.0,70.0,,,,,,,,,,,0,0,0,0,0,1,1,1,7,17,25,,,
UBCV,2019,W,OSOT,511,,001,"Fundamentals of Occupational Therapy: Theory, Conceptual Models and the Practice Process",Catherine Backman;Erin Klein;Mary Bunting;Rachal Pattison,51,85.450980392,3.413583018,91.0,72.0,,,,,,,,,,,0,0,0,0,0,0,1,0,20,24,6,,,
UBCV,2019,W,OSOT,515,,001,Occupation in Practice I: Foundation of Occupational Therapy Assessment and Intervention,Debra Ann Field;Donna Drynan;Laura Bulk;Lisa Allyn;Lisa M Allyn;Mary Bunting;Tal Jarus,51,85.431372549,5.02097561,95.0,73.0,,,,,,,,,,,0,0,0,0,0,0,3,4,10,26,8,,,
UBCV,2019,W,OSOT,525,,001,"Occupation in Practice II: Advancing Theory, Assessment & Intervention",Donna Drynan;Jill Zwicker;Julia Schmidt;Mary Bunting;Michael Lee;Skye Barbic,51,86.843137255,4.346826654,95.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,2,11,20,17,,,
UBCV,2020,S,OSOT,553,,001,Innovations in Occupation: Developing and Evaluating Occupational Therapy Programs,Mary Bunting,56,91.642857143,3.153229637,97.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,11,44,,,
UBCV,2020,W,OSOT,511,,001,"Fundamentals of Occupational Therapy: Theory, Conceptual Models and the Practice Process",Catherine Backman;Elham Esfandiari;Erin Klein;Mary Bunting;Melika Kangaranifarahani,59,89.694915254,4.749788515,99.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,0,8,17,33,,,
UBCV,2020,W,OSOT,515,,001,Occupation in Practice I: Foundation of Occupational Therapy Assessment and Intervention,Debra Ann Field;Donna Drynan;Justin Turner;Lisa Allyn;Mary Bunting;Tal Jarus,59,85.966101695,4.923434818,95.0,74.0,,,,,,,,,,,0,0,0,0,0,0,1,6,15,24,13,,,
