Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,CRWR,310,,001,VIDEO GAME WRIT,"Boychuk, Peter",56,77.2,15.84,95,0,53,3,0,0,0,1,1,0,0,1,3,0,0,1,3,3,10,3,10,19,4,,,
UBC,2018,W,CRWR,310,,002,VIDEO GAME WRIT,"Boychuk, Peter",113,77.42,10.21,91,27,104,2,2,0,3,0,0,1,1,0,2,0,1,6,7,6,11,15,37,15,6,,,
UBCV,2018,W,CRWR,310,,001,Video Game Writing and Narrative,Jennifer Van Tassel;Peter Boychuk,56,77.196428571,15.842887298,95.0,0.0,,,,,,,,,,,3,0,0,1,3,3,10,3,10,19,4,,,
UBCV,2018,W,CRWR,310,,002,Video Game Writing and Narrative,Jennifer Van Tassel;Kevin Sun;Peter Boychuk,110,76.927272727,10.823614254,91.0,15.0,,,,,,,,,,,3,0,1,6,7,8,11,16,37,15,6,,,
UBCV,2019,W,CRWR,310,,001,Video Game Writing and Narrative,Peter Boychuk;Raymond Clark,52,78.403846154,9.543008149,94.0,55.0,,,,,,,,,,,0,0,1,2,4,5,7,6,11,10,6,,,
UBCV,2019,W,CRWR,310,,002,Video Game Writing and Narrative,Peter Boychuk;Raymond Clark;Ricardo Mulhia Velazquez,80,78.2625,16.711054289,95.0,0.0,,,,,,,,,,,3,0,0,2,0,1,6,20,24,18,6,,,
UBCV,2019,W,CRWR,410,,001,Video Game Writing,Peter Boychuk,9,82.222222222,4.381146476,88.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,3,3,3,0,,,
UBCV,2020,W,CRWR,310,,001,Video Game Writing and Narrative,Patrick De Moss;Peter Boychuk;Raymond Clark,116,79.077586207,9.32985005,96.0,55.0,,,,,,,,,,,0,0,4,2,9,7,21,12,26,16,19,,,
UBCV,2020,W,CRWR,310,,002,Video Game Writing and Narrative,Patrick De Moss;Peter Boychuk;Raymond Clark,94,78.531914894,9.849078476,94.0,44.0,,,,,,,,,,,1,1,1,5,6,5,12,12,24,17,10,,,
UBCV,2020,W,CRWR,410,A,001,Video Game Writing,Peter Boychuk,12,76.25,20.750136911,87.0,11.0,,,,,,,,,,,1,0,0,0,0,0,0,2,6,3,0,,,
UBCV,2021,W,CRWR,310,,001,Video Game Writing and Narrative,Casey Letendre;Peter Boychuk;Ricardo Mulhia Velazquez,125,73.336,12.073661016,92.0,11.0,,,,,,,,,,,4,4,0,6,9,15,26,29,17,11,4,,,
UBCV,2021,W,CRWR,310,,002,Video Game Writing and Narrative,Casey Letendre;Lindsey Burgess;Peter Boychuk,139,76.798561151,10.798671319,95.0,39.0,,,,,,,,,,,4,2,3,3,8,15,16,22,29,30,7,,,
UBCV,2021,W,CRWR,310,,001,Video Game Writing and Narrative,Peter Boychuk,125,73.3,,92.0,11.0,,,,,,,,,,,,,,6,9,15,26,29,17,11,,75.0,80.0,70.0
UBCV,2021,W,CRWR,310,,002,Video Game Writing and Narrative,Peter Boychuk,139,76.8,,95.0,39.0,,,,,,,,,,,,,,,8,15,16,22,29,30,7,79.0,85.0,71.5
