Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,W,MATH,100,,V02,DF CALC AP PH SC,"Boroushaki, Shirin",16,58.13,20.17,80,0,11,4,0,0,1,1,0,0,0,3,4,0,3,0,1,3,1,2,1,0,0
UBC,2018,W,MATH,103,,212,INT CALC AP LF S,"Boroushaki, Shirin",130,72.53,10.97,96,43,126,2,1,0,1,0,0,0,0,2,2,3,11,11,12,19,16,17,18,11,8
UBC,2018,W,MATH,190,,101,CALCULUS SURVEY,"Boroushaki, Shirin",60,65.83,19.34,97,16,50,8,1,0,1,0,2,2,0,4,8,5,6,8,3,5,4,1,7,5,6
UBC,2018,W,MATH,215,,104,ELEM DIFF EQ I,"Boroushaki, Shirin",65,65.35,20.33,100,13,52,8,5,0,0,0,2,1,4,1,8,10,8,5,3,1,4,5,5,2,9
UBC,2018,W,MATH,255,,104,ORD DIFF EQUTNS,"Boroushaki, Shirin",52,85.15,10.11,100,50,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,1,10,14,17
UBCV,2014,W,MATH,101,,201,Integral Calculus with Applications to Physical Sciences and Engineering,Gregory Martin;Keqin Liu;Shirin Boroushaki,180,60.61111111,18.23110145,99.0,0.0,,,,,,,,,,,34,28,19,15,17,12,15,12,14,9,5
UBCV,2014,W,MATH,101,,202,Integral Calculus with Applications to Physical Sciences and Engineering,Gregory Martin;Hexi Ye;Shirin Boroushaki,59,68.69491525,15.07138673,98.0,26.0,,,,,,,,,,,6,5,,,7,6,6,7,7,,
UBCV,2014,W,MATH,101,,203,Integral Calculus with Applications to Physical Sciences and Engineering,Baptiste Devyver;Gregory Martin;Shirin Boroushaki,73,72.06849315,16.0868552,97.0,33.0,,,,,,,,,,,,5,11,,,5,5,,10,11,11
UBCV,2014,W,MATH,101,,205,Integral Calculus with Applications to Physical Sciences and Engineering,David Carchedi;Gregory Martin;Shirin Boroushaki,82,68.75609756,15.32895346,96.0,31.0,,,,,,,,,,,8,8,8,5,7,6,11,,13,,9
UBCV,2014,W,MATH,101,,206,Integral Calculus with Applications to Physical Sciences and Engineering,Gregory Martin;Shirin Boroushaki,202,65.45049505,16.56856776,97.0,8.0,,,,,,,,,,,24,24,17,21,15,27,16,16,17,13,12
UBCV,2014,W,MATH,101,,207,Integral Calculus with Applications to Physical Sciences and Engineering,Edward Alexander Belk;Gregory Martin;Shirin Boroushaki,65,62.63076923,18.22907125,98.0,0.0,,,,,,,,,,,11,8,6,5,5,6,9,5,5,,
