Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,WRDS,150,,04P,RSRCH&WRIT HUMAN,"Beales, Meredith",27,67.48,12.28,80,14,26,1,0,0,0,0,1,0,0,0,1,0,2,2,3,9,5,4,1,0,0
UBC,2016,W,WRDS,150,,05C,RSRCH&WRIT HUMAN,"Beales, Meredith",30,66.27,11.09,85,36,27,3,0,0,0,0,0,0,1,2,3,1,2,3,6,2,8,4,0,1,0
UBC,2016,W,WRDS,150,,07A,RSRCH&WRIT HUMAN,"Beales, Meredith",29,71.22,7.29,82,47,26,1,2,0,0,0,0,0,0,1,1,0,0,2,5,4,5,8,2,0,0
UBC,2016,W,WRDS,150,,07M,RSRCH&WRIT HUMAN,"Beales, Meredith",27,67.46,10.94,84,27,25,1,1,0,0,0,0,1,0,0,1,0,3,2,7,3,7,1,2,0,0
UBC,2016,W,WRDS,150,,08A,RSRCH&WRIT HUMAN,"Beales, Meredith",30,69.03,7.59,80,54,30,0,0,0,0,0,0,0,0,0,0,1,3,5,1,6,7,6,1,0,0
UBC,2016,W,WRDS,150,,12N,RSRCH&WRIT HUMAN,"Beales, Meredith",28,65.46,18.52,80,0,24,4,0,0,0,1,0,1,2,0,4,0,0,0,3,7,7,6,1,0,0
UBC,2017,W,WRDS,150,,04A,RSRCH&WRIT HUMAN,"Beales, Meredith",30,72.2,5.89,82,60,30,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,5,3,0,0
UBC,2017,W,WRDS,150,,05Q,RSRCH&WRIT HUMAN,"Beales, Meredith",29,61.14,22.08,82,0,24,5,0,0,0,2,1,1,0,1,5,0,1,1,6,6,5,3,2,0,0
UBC,2017,W,WRDS,150,,06B,RSRCH&WRIT HUMAN,"Beales, Meredith",29,65.24,15.52,83,0,28,1,0,0,0,1,0,0,0,0,1,3,2,4,6,3,3,4,3,0,0
UBC,2017,W,WRDS,150,,06Q,RSRCH&WRIT HUMAN,"Beales, Meredith",27,68.73,8.56,83,49,25,1,1,0,0,0,0,0,0,1,1,2,1,1,6,5,5,2,3,0,0
UBC,2017,W,WRDS,150,,07A,RSRCH&WRIT HUMAN,"Beales, Meredith",30,68.14,8.15,79,46,27,2,1,0,0,0,0,0,0,2,2,1,0,3,4,7,8,4,0,0,0
UBC,2017,W,WRDS,150,,08M,RSRCH&WRIT HUMAN,"Beales, Meredith",27,68.46,9.66,82,35,25,1,1,0,0,0,0,0,1,0,1,0,3,2,3,8,4,4,1,0,0
UBC,2018,S,WRDS,150,,M02,RSRCH&WRIT HUMAN,"Beales, Meredith",27,70.89,12.2,84,27,26,1,0,0,0,0,0,1,0,0,1,1,3,0,3,3,4,3,9,0,0
UBC,2018,W,ASTU,100,,G03,CAP SEMINAR,"Beales, Meredith",21,64.85,26.65,86,9,16,4,1,0,0,1,2,1,0,0,4,0,1,0,0,1,2,4,6,2,0
UBC,2018,W,WRDS,150,,07B,RSRCH&WRIT HUMAN,"Beales, Meredith",30,70.14,13.53,85,34,24,4,2,0,0,0,0,0,2,2,4,0,0,0,2,5,5,8,3,1,0
UBC,2018,W,WRDS,150,,08A,RSRCH&WRIT HUMAN,"Beales, Meredith",30,69.77,9.87,83,45,29,1,0,0,0,0,0,0,0,1,1,1,1,5,3,5,2,7,5,0,0
UBC,2018,W,WRDS,150,,12B,RSRCH&WRIT HUMAN,"Beales, Meredith",30,72.57,10.66,84,43,29,1,0,0,0,0,0,0,0,1,1,2,2,1,2,1,5,8,8,0,0
UBC,2018,W,WRDS,150,,14P,RSRCH&WRIT HUMAN,"Beales, Meredith",25,72.25,15.23,84,6,23,1,1,0,0,1,0,0,0,0,1,0,1,0,1,2,7,5,7,0,0
UBC,2018,W,WRDS,150,,15M,RSRCH&WRIT HUMAN,"Beales, Meredith",20,73.9,9.11,85,54,20,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,4,6,1,0
