Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,S,SPAN,405,A,921,TPCS PNS&LTN-A C,"Orr Alvarez, Brianne",11,77.09,5.17,87,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,0
UBC,2010,S,SPAN,505,,921,STD PEN&LT-AM CL,"Orr Alvarez, Brianne",10,86.4,1.96,90,83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
UBC,2010,W,SPAN,201,,902,INTERMED SPAN I,"Orr Alvarez, Brianne",35,75.43,11.83,93,37,34,1,0,0,0,0,0,0,1,0,1,0,3,1,3,3,2,10,4,5,3
UBC,2010,W,SPAN,312,,201,LA LIT IN TRANS,"Orr Alvarez, Brianne",31,80.1,3.14,85,74,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,12,2,0
UBC,2010,W,SPAN,364,,101,S-AM LIT TO 1820,"Orr Alvarez, Brianne",14,78.43,7.63,88,58,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,5,2,0
UBC,2011,S,SPAN,202,,951,INTERMED SPAN II,"Orr Alvarez, Brianne",27,75.52,9.39,92,57,27,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,8,3,4,1
UBC,2011,W,SPAN,312,A,201,LA LIT IN TRANS,"Orr Alvarez, Brianne",27,78.96,3.66,85,71,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,12,1,0
UBC,2011,W,SPAN,364,,101,S-AM LIT TO 1820,"Orr Alvarez, Brianne",39,78.54,5.57,90,63,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,12,10,5,1
UBC,2012,W,SPAN,222,,202,ANALYS HISP TXT,"Orr Alvarez, Brianne",13,81.45,4.03,90,77,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1
UBC,2012,W,SPAN,280,,101,LTN AMER REVOLN,"Orr Alvarez, Brianne",18,78.78,6.99,91,62,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,4,2,1
UBC,2012,W,SPAN,365,,201,S-AM LIT AFT1820,"Orr Alvarez, Brianne",40,79.42,6.01,90,62,38,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,14,7,9,1
UBC,2012,W,SPAN,401,,101,ADV TRNS: SP-ENG,"Orr Alvarez, Brianne",40,79.15,5.14,90,60,39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,19,12,3,1
UBC,2013,W,SPAN,101,,103,BEGINNER SPAN I,"Manchon, Enrique;Orr Alvarez, Brianne",38,73.84,14.9,87,4,35,2,1,0,0,1,0,0,0,1,2,0,0,3,3,3,3,10,8,5,0
UBC,2013,W,SPAN,201,,104,INTERMED SPAN I,"Orr Alvarez, Brianne",33,75.52,6.78,94,62,31,0,2,0,0,0,0,0,0,0,0,0,0,1,2,6,6,8,5,2,1
UBC,2013,W,SPAN,201,,105,INTERMED SPAN I,"Orr Alvarez, Brianne",36,76.91,8.3,90,60,35,0,1,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6,8,6,1
UBC,2013,W,SPAN,202,,202,INTERMED SPAN II,"Orr Alvarez, Brianne",38,77.29,7.11,91,58,38,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,8,8,9,5,1
UBC,2013,W,SPAN,221,,201,INT LIT ANALYSIS,"Orr Alvarez, Brianne",23,79.18,4.93,90,72,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,1
UBC,2013,W,SPAN,406,,101,GENDER LIT&CULTR,"Orr Alvarez, Brianne",14,72,23.88,87,0,11,2,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,5,4,2,0
