Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,NURS,512,,99C,LEADRSHP NURSING,"Bungay, Victoria;Canam, Connie Joan",24,83.63,10.5,92,37,23,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,12,4
UBC,2010,W,NURS,512,,99C,LEADRSHP NURSING,"Bungay, Victoria",16,86.8,4.92,94,78,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,6
UBC,2011,W,NURS,336,,401,COMMNTY & POPLTN,"Bungay, Victoria",20,91,2.9,96,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
UBC,2011,W,NURS,336,,402,COMMNTY & POPLTN,"Bungay, Victoria",18,86.89,3.23,94,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3
UBC,2011,W,NURS,512,,99C,LEADRSHP NURSING,"Bungay, Victoria",16,85.07,5.66,94,75,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,3
UBC,2012,W,NURS,512,,99C,LEADRSHP NURSING,"Bungay, Victoria",20,85.65,6.16,97,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,4
UBC,2013,W,NURS,520,,001,ADMN LDRSHP NURS,"Bungay, Victoria",12,92.33,4.1,98,84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9
UBC,2014,W,NURS,520,,001,ADMN LDRSHP NURS,"Bungay, Victoria",14,87.36,3.95,94,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4
UBC,2015,W,NURS,520,,001,ADMN LDRSHP NURS,"Bungay, Victoria",22,88.27,3.21,94,83,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,7
UBC,2017,W,NURS,520,,001,ADMN LDRSHP NURS,"Bungay, Victoria",16,85.4,4.48,92,76,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2
