Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2014,S,EDCP,508,B,93A,Review of Research in Curriculum and Pedagogy,Alexander De Cosson;Joy Butler,16,91.9375,2.644963768,97.0,88.0,0,0,0,0,0,0,0,0,0,3,13,,,
UBCV,2014,S,EDCP,512,A,93A,Education Action Research,Alexander De Cosson,17,93.0,2.80624304,98.0,90.0,0,0,0,0,0,0,0,0,0,0,17,,,
UBCV,2014,S,ETEC,532,,66A,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,24,91.95833333,3.457558408,97.0,85.0,0,0,0,0,0,0,0,0,0,6,18,,,
UBCV,2014,S,ETEC,532,,66B,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,24,90.875,4.152657609,97.0,82.0,0,0,0,0,0,0,0,0,3,4,17,,,
UBCV,2014,W,EDCP,303,,001,Ceramic Design and Pedagogical Approaches: Art Education,Alexander De Cosson,20,89.75,4.744803251,98.0,81.0,0,0,0,0,0,0,0,0,3,6,11,,,
UBCV,2014,W,EDCP,562,,61A,Curriculum Issues and Theories,Alexander De Cosson,16,91.625,2.655183609,97.0,90.0,0,0,0,0,0,0,0,0,0,0,16,,,
UBCV,2014,W,ETEC,532,,65A,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,17,94.0,3.278719262,98.0,88.0,0,0,0,0,0,0,0,0,0,1,16,,,
UBCV,2014,W,ETEC,532,,65B,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,14,92.21428571,4.475206423,98.0,81.0,0,0,0,0,0,0,0,0,,,10,,,
UBCV,2015,S,EDCP,567,,93A,Curriculum Issues and Theories in Museums,Alexander De Cosson,12,91.75,2.800162333,96.0,87.0,0,0,0,0,0,0,0,0,0,2,10,,,
UBCV,2015,W,EDCP,303,,001,Ceramic Design and Pedagogical Approaches: Art Education,Alexander De Cosson,20,89.9,6.719179148,97.0,65.0,0,0,0,0,,,,,,7,12,,,
UBCV,2015,W,ETEC,532,,65A,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,18,92.555555556,4.14760345,98.0,86.0,0,0,0,0,0,0,0,0,0,5,13,,,
UBCV,2015,W,ETEC,532,,65B,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,17,89.823529412,6.11591463,95.0,74.0,0,0,0,0,0,0,,,,3,12,,,
UBCV,2016,S,ETEC,532,,66A,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,20,91.0,4.205259864,98.0,83.0,0,0,0,0,0,0,0,0,1,5,14,,,
UBCV,2016,S,ETEC,532,,66B,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,20,91.4,6.808663212,98.0,74.0,0,0,0,0,0,0,2,0,0,2,16,,,
UBCV,2016,W,EDCP,303,,001,Ceramic Design and Pedagogical Approaches: Art Education,Alexander De Cosson,18,87.72222222,2.468759049,95.0,85.0,0,0,0,0,0,0,0,0,0,15,3,,,
UBCV,2016,W,EDCP,562,,61A,Curriculum Issues and Theories,Alexander De Cosson,20,88.2,16.3694195,96.0,20.0,1,0,0,0,0,0,0,0,0,5,14,,,
UBCV,2016,W,ETEC,532,,65A,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,16,91.1875,3.919502519,97.0,85.0,0,0,0,0,0,0,0,0,0,6,10,,,
UBCV,2016,W,ETEC,532,,65B,Technology in the Arts and the Humanities Classroom,Alexander De Cosson,16,90.375,3.07408523,95.0,85.0,0,0,0,0,0,0,0,0,0,5,11,,,
UBCV,2017,S,EDCP,514,,96A,Arts-Based Educational Research: A/r/tography,Alexander De Cosson;Rita Irwin,24,91.416666667,1.501207244,94.0,88.0,0,0,0,0,0,0,0,0,0,2,22,,,
UBCV,2017,S,EDCP,567,,93A,Curriculum Issues and Theories in Museums,Alexander De Cosson,17,91.470588235,3.572772856,98.0,85.0,0,0,0,0,0,0,0,0,0,5,12,,,
