Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2015,W,ENGR,475,,201,Materials Selection and Design,Armin Rashidi;Bryn Crawford;Bryn James Crawford;Masoud Haghi Kashani;Ray Taheri-Ardebili,71,75.450704225,6.364609139,87.0,62.0,0,0,0,2,6,14,12,14,18,5,0
UBCO,2016,W,APSC,258,,201,Applications of Engineering Design,Bita Nazyab;Bradley Reinholz;Bryn Crawford;Hossein Montazerianoliaee;Isuru Gamalath;Milad Ramezankhani;Sabine Weyand;Stephen Kimanzi,279,78.1827957,9.336182692,96.0,47.0,11,0,0,2,12,20,37,64,65,45,23
UBCO,2016,W,ENGR,475,,201,Materials Selection and Design,Bryn Crawford;Bryn James Crawford,71,73.81690141,5.979273389,85.0,63.0,0,0,0,2,11,15,13,15,14,1,0
UBCO,2017,W,APSC,172,,102,Engineering Analysis I,Abbas Sadeghzadeh Milani;Anne Crawford;Bryn Crawford;Bryn James Crawford;Poppy Siddiqua;Saeed Moghaddam;Suzanne Wenngren,123,56.87804878,17.665185436,96.0,17.0,31,22,12,16,9,11,5,5,4,3,5
UBCO,2017,W,APSC,258,,201,Applications of Engineering Design,Abbas Sadeghzadeh Milani;Ashraf Ahsan;Bradley Reinholz;Bryn Crawford;Daanvir Karan Dhir;Masoud Ahmadi;Moein Ahmadi Pour Shirazi;Reza Sourki;Sadia Ishaq;Saeed Ahmadi;Stephen Kimanzi;Syeda Puspita Mouri,180,75.094444444,11.147411064,95.0,0.0,5,7,0,2,7,29,31,35,42,16,6
UBCO,2017,W,APSC,258,,202,Applications of Engineering Design,Abbas Sadeghzadeh Milani;Ashraf Ahsan;Bradley Reinholz;Bryn Crawford;Daanvir Karan Dhir;Masoud Ahmadi;Moein Ahmadi Pour Shirazi;Reza Sourki;Sadia Ishaq;Saeed Ahmadi;Stephen Kimanzi;Syeda Puspita Mouri,131,73.893129771,11.162610605,92.0,47.0,8,7,0,1,7,19,22,23,22,20,2
UBCO,2017,W,ENGR,475,,201,Materials Selection and Design,Bryn Crawford;Bryn James Crawford;Stephen Kimanzi,58,78.137931034,6.216695901,90.0,62.0,0,0,0,1,2,5,11,17,10,11,1
UBCO,2018,W,APSC,172,,102,Engineering Analysis I,Behrooz Khatir;Bryn Crawford;Dean Richert;Md Arifur Rahman Khandoker;Tina Olfatbakhsh,152,67.671052632,17.624026464,97.0,19.0,25,9,11,6,10,21,16,15,12,12,15
UBCO,2018,W,APSC,176,,110,Engineering Communication,Bryn Crawford;Jannik Eikenaar;Kevin Golovin,35,62.971428571,13.338325396,83.0,31.0,7,1,2,6,3,5,6,2,3,0,0
UBCO,2018,W,APSC,258,,201,Applications of Engineering Design,Anber Rana;Ashraf Ahsan;Bradley Reinholz;Bryn Crawford;Dylan Kennedy;Sadia Ishaq;Syeda Puspita Mouri,123,72.37398374,11.349440929,96.0,31.0,8,1,7,4,14,15,19,24,17,10,4
UBCO,2018,W,ENGR,475,,201,Materials Selection and Design,Alexander Uhl;Bryn Crawford;Sina Kianfar;Stephen Kimanzi,25,75.76,9.644860462,95.0,56.0,0,0,1,1,5,2,4,3,6,1,2
UBCO,2019,W,ENGR,475,,201,Materials Selection and Design,Alexander Uhl;Bryn Crawford;Malcolm Clough;Ray Taheri-Ardebili;Stephen Kimanzi,53,79.245283019,5.784281288,90.0,64.0,0,0,0,0,5,1,3,14,24,5,1
