Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2017,W,MTRL,201,,201,Technical Communication,Christopher Caufield;Pamela Rogalski;Pamela Wolf,53,78.830188679,9.059070782,94.0,53.0,0,1,1,1,5,3,3,9,17,8,5,,,
UBCV,2018,W,CIVL,203,,101,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Rogalski;Pamela Wolf;Rajat Jain,34,79.147058824,6.010759812,89.0,68.0,0,0,0,0,0,5,5,7,9,8,0,,,
UBCV,2018,W,CIVL,203,,102,Technical Communication in Civil Engineering,Christopher Caufield;Hartaj Sanghara;Pamela Rogalski;Pamela Wolf;Rajat Jain,33,82.363636364,4.755379729,89.0,72.0,0,0,0,0,0,0,4,6,7,16,0,,,
UBCV,2018,W,CIVL,203,,103,Technical Communication in Civil Engineering,Christopher Caufield;Hartaj Sanghara;Pamela Rogalski;Pamela Wolf;Rajat Jain,27,84.444444444,4.576976944,90.0,73.0,0,0,0,0,0,0,1,3,10,10,3,,,
UBCV,2018,W,CIVL,203,,104,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Rogalski;Pamela Wolf;Rajat Jain,33,81.818181818,4.863477058,90.0,71.0,0,0,0,0,0,1,2,10,9,10,1,,,
UBCV,2018,W,MTRL,201,,201,Technical Communication,Christopher Caufield;Pamela Rogalski;Pamela Wolf;Robert Gregory Shilton;Robert Shilton,47,77.489361702,8.556391815,92.0,57.0,0,0,2,0,6,3,6,6,17,3,4,,,
UBCV,2018,W,MTRL,392,,201,Engineering Technical Communication,Christopher Caufield;Pamela Rogalski;Pamela Wolf,52,82.903846154,7.517977449,94.0,66.0,0,0,0,0,2,2,6,6,9,14,13,,,
UBCV,2018,W,MTRL,398,,101,Engineering Written Communication,Christopher Caufield;Pamela Rogalski;Pamela Wolf,68,80.632352941,14.303641548,98.0,0.0,1,0,0,5,3,5,7,5,9,16,17,,,
UBCV,2019,W,CIVL,204,,201,Fundamentals of Environmental Engineering,Abhishek Dutta;Christopher Caufield;Eric Hall;Jaime Cathcart;Patricia Keen;Pranav Sai Shankar Sampara;Ryan Ziels,144,80.652777778,9.096467803,98.0,57.0,0,0,1,4,9,11,18,19,24,32,26,,,
UBCV,2019,W,CIVL,445,,101,Civil Engineering Design Project I.,Abdolreza Joghataie;Abhinav Arora;Christopher Caufield;Hartaj Sanghara;John A. Howie;John Howie;Michael D Isaacson;Mohammadamin Sadeghi;Noboru Yonemitsu;Pamela Rogalski;Pamela Wolf;Yahya Nazhat,140,90.092857143,3.304447469,100.0,84.0,0,0,0,0,0,0,0,0,3,63,74,,,
UBCV,2020,W,CIVL,203,,102,Technical Communication in Civil Engineering,Christopher Caufield;Hartaj Sanghara;Pamela Rogalski;Pamela Wolf;Pierre Berube,26,86.346153846,3.898125782,94.0,78.0,0,0,0,0,0,0,0,2,5,15,4,,,
UBCV,2020,W,CIVL,445,,101,Civil Engineering Design Project I.,Abdolreza Joghataie;Abdul Ahad Ahmadi;Carlos Estuardo Ventura;Christopher Caufield;Gerald Palomino Romani;Hartaj Sanghara;John Howie;Loretta Li;Michael D Isaacson;Mohamed Kamel;Noboru Yonemitsu;Pamela Rogalski;Pamela Wolf;Yahya Nazhat,131,86.770992366,4.18709535,95.0,75.0,0,0,0,0,0,0,2,1,38,62,28,,,
UBCV,2020,W,CIVL,547,,201,Estuary Hydraulics,Christopher Caufield;Gregory Lawrence;Negar Roghanian,7,88.0,3.958114029,93.0,83.0,0,0,0,0,0,0,0,0,2,3,2,,,
UBCV,2020,W,CIVL,570,,101,Advanced Soil Mechanics,Christopher Caufield;Dharmapriya Wijewickreme;Thushara Jayasinghe Mudiyanselage,19,73.052631579,16.039789706,94.0,27.0,2,0,0,0,0,5,2,2,5,2,1,,,
UBCV,2020,W,CIVL,582,,101,Transportation Engineering Impacts,Christopher Caufield;Mohamed Essa;Tarek Sayed,9,79.666666667,5.744562647,87.0,71.0,0,0,0,0,0,1,1,3,1,3,0,,,
UBCV,2021,W,CIVL,203,,101,Technical Communication in Civil Engineering,Christopher Caufield;Jennifer Cutbill;Juliette Mollard Thibault;Katherine Le;Pamela Wolf;Patrick Mcgrath;Raymond Cole;Robert Shilton;Robert Sianchuk;Ryan Ziels,28,81.535714286,4.484393868,89.0,73.0,0,0,0,0,0,0,3,7,8,10,0,,,
UBCV,2021,W,CIVL,203,,102,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf;Patrick Mcgrath;Raymond Cole;Ziad K Shawwash,30,81.0,4.05139397,89.0,73.0,0,0,0,0,0,0,4,6,16,4,0,,,
UBCV,2021,W,CIVL,203,,103,Technical Communication in Civil Engineering,Christopher Caufield;Gregory Johnson;Mike Samilski;Pamela Wolf;Patrick Mcgrath;Raymond Cole,32,81.625,4.668010559,92.0,75.0,0,0,0,0,0,0,4,7,11,8,2,,,
UBCV,2021,W,CIVL,203,,104,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf;Patrick Mcgrath;Raymond Cole,31,81.580645161,6.65218858,95.0,55.0,0,0,1,0,0,0,2,4,16,7,1,,,
UBCV,2021,W,CIVL,445,,101,Civil Engineering Design Project I.,Alireza Habibzadeh Gharehbaba;Andrew Metten;Carlos Estuardo Ventura;Christopher Caufield;Cristiano Loss;Fraser Peterson;Garumuni Sanjaya De Zoysa;Hartaj Sanghara;John Pao;Krista Falkner;Kwang Victor Lo;Loretta Li;Mike Samilski;Noboru Yonemitsu;Pamela Rogalski;Pamela Wolf;Seyed Amir Hossein Hassanpour Matikolaei;Tarek Ghoul;Yahya Nazhat;Ziad K Shawwash,132,86.022727273,3.122110045,93.0,80.0,0,0,0,0,0,0,0,0,53,60,19,,,
UBCV,2021,W,CIVL,203,,101,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,28,81.5,,89.0,73.0,,,,,,,,7,8,10,,82.0,85.3,77.8
UBCV,2021,W,CIVL,203,,102,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,30,81.0,,89.0,73.0,,,,,,,,6,16,,,81.5,84.0,78.3
UBCV,2021,W,CIVL,203,,103,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,32,81.6,,92.0,75.0,,,,,,,,7,11,8,,81.0,85.0,78.5
UBCV,2021,W,CIVL,203,,104,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,31,81.6,,95.0,55.0,,,,,,,,,16,7,,83.0,84.5,80.0
UBCV,2021,W,CIVL,445,,101,Civil Engineering Design Project I.,Christopher Caufield;Krista Falkner;Alireza Habibzadeh Gharehbaba;Loretta Li;Yahya Nazhat;John Pao;Fraser Peterson;Hartaj Sanghara;Carlos Estuardo Ventura;Pamela Wolf;Noboru Yonemitsu,132,86.0,,93.0,80.0,0,0,0,0,0,0,0,0,53,60,19,85.0,88.0,83.8
UBCV,2022,W,CIVL,203,,101,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,36,80.2,,90.0,70.0,0,0,0,0,0,3,8,2,15,7,1,82.5,84.0,73.0
UBCV,2022,W,CIVL,203,,102,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,31,82.1,,87.0,76.0,0,0,0,0,0,0,0,10,10,11,0,81.0,86.0,79.0
UBCV,2022,W,CIVL,203,,103,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,26,81.3,,89.0,71.0,0,0,0,0,0,1,5,3,10,7,0,83.0,86.3,76.3
UBCV,2022,W,CIVL,203,,104,Technical Communication in Civil Engineering,Christopher Caufield;Pamela Wolf,29,77.9,,88.0,70.0,0,0,0,0,0,6,6,4,11,2,0,76.0,83.0,74.0
UBCV,2022,W,CIVL,445,,101,Civil Engineering Design Project I.,Alexander York Bigazzi;Christopher Caufield;Krista Falkner;Alireza Habibzadeh Gharehbaba;Yahya Nazhat;John Pao;Fraser Peterson;Hartaj Sanghara;Carlos Estuardo Ventura;Pamela Wolf;Noboru Yonemitsu,112,87.4,,94.0,73.0,0,0,0,0,0,0,2,11,13,31,55,89.0,91.0,85.0
