Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2014,S,SPAN,201,,001,Intermediate Spanish I,Diana Carter,28,74.75,16.28137996,97.0,43.0,,,,,,,,,,,7,,,
UBCO,2014,W,SPAN,101,,001,Beginners' Spanish I,Diana Carter,48,73.60416667,19.5717334,100.0,0.0,,6,,,,,,5,7,6,9,,,
UBCO,2014,W,SPAN,201,,002,Intermediate Spanish I,Diana Carter,37,71.83783784,14.89689288,95.0,31.0,,,5,,,5,5,,,,5,,,
UBCO,2014,W,SPAN,201,,003,Intermediate Spanish I,Diana Carter,38,76.07894737,16.96479913,98.0,10.0,,,,,8,,,,6,,10,,,
UBCO,2014,W,SPAN,202,,001,Intermediate Spanish II,Diana Carter,37,79.97297297,13.75073026,100.0,52.0,0,,,,,,,,7,,12,,,
UBCO,2014,W,SPAN,202,,002,Intermediate Spanish II,Diana Carter,33,75.60606061,11.91359359,96.0,47.0,,,,,,,,,9,,3,,,
UBCO,2014,W,SPAN,312,,001,Spanish and English in Contrast,Diana Carter,24,86.5,7.785158679,97.0,65.0,0,0,0,0,,,,,7,,11,,,
UBCO,2015,S,SPAN,201,,001,Intermediate Spanish I,Diana Carter,28,71.357142857,19.326079646,97.0,0.0,,,,,,,,,5,,,,,
UBCO,2015,W,SPAN,101,,001,Beginners' Spanish I,Diana Carter,57,75.333333333,18.314059132,98.0,10.0,,,,5,,7,,5,9,,16,,,
UBCO,2015,W,SPAN,101,,004,Beginners' Spanish I,Diana Carter;Monica Carolina Good;Monica Good,58,77.051724138,21.088304245,100.0,7.0,7,,,,,,7,,7,,23,,,
UBCO,2015,W,SPAN,102,,001,Beginners' Spanish II,Diana Carter,33,73.787878788,14.812911547,97.0,29.0,,,,,5,,,,5,,6,,,
UBCO,2015,W,SPAN,102,,002,Beginners' Spanish II,Diana Carter;Monica Carolina Good;Monica Good,50,77.1,20.351252281,98.0,7.0,,,,,,,6,,,5,19,,,
UBCO,2015,W,SPAN,201,,001,Intermediate Spanish I,Diana Carter,38,72.078947368,15.417402556,100.0,40.0,,6,,5,,7,,,,,8,,,
UBCO,2015,W,SPAN,202,,001,Intermediate Spanish II,Diana Carter,36,72.944444444,16.582166745,100.0,12.0,,,,,,,6,,,,6,,,
UBCO,2016,S,SPAN,201,,001,Intermediate Spanish I,Diana Carter,19,79.05263158,13.38935599,97.0,52.0,0,1,0,2,2,1,1,2,2,1,7,,,
UBCO,2016,W,SPAN,101,,001,Beginners' Spanish I,Diana Carter;Himayini Sharma;Monica Good,32,76.3125,18.91140209,98.0,25.0,3,2,0,0,5,2,2,1,4,2,11,,,
UBCO,2016,W,SPAN,101,,002,Beginners' Spanish I,Brandon Currie;Diana Carter;Monica Good,39,73.8974359,13.9902125,100.0,50.0,0,5,1,4,2,6,4,3,4,1,9,,,
UBCO,2016,W,SPAN,102,,001,Beginners' Spanish II,Diana Carter;Hoi Pan Cheng;Monica Good,31,70.38709677,23.48145001,98.0,5.0,3,4,0,3,1,0,3,3,3,5,6,,,
UBCO,2016,W,SPAN,102,,002,Beginners' Spanish II,Brandon Currie;Diana Carter;Monica Good,38,77.34210526,13.58909801,100.0,50.0,0,4,0,2,2,3,4,6,5,3,9,,,
UBCO,2016,W,SPAN,201,,001,Intermediate Spanish I,Diana Carter;Monica Carolina Good;Monica Good,38,70.44736842,17.68293936,100.0,23.0,4,3,3,4,2,2,5,3,3,1,8,,,
UBCO,2017,W,SPAN,101,,001,Beginners' Spanish I,Arianna Ormrod;Diana Carter;Monica Good,39,78.333333333,15.294191077,100.0,38.0,2,3,1,0,1,1,2,6,8,5,10,,,
