Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,EDUC,310,,118,TEACh PRINC,"Choy, Janice Chung Yun",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,EDUC,316,,118,COMM SKILLS,"Choy, Janice Chung Yun",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,MUED,320,,101,C & I MUSIC ELEM,"Choy, Janice Chung Yun",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,MUED,320,,102,C & I MUSIC ELEM,"Choy, Janice Chung Yun",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,MUED,320,,104,C & I MUSIC ELEM,"Choy, Janice Chung Yun",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,MUED,320,,110,C & I MUSIC ELEM,"Choy, Janice Chung Yun",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,S,EDUC,480,A,108,E-PORTFOLIO,"Choy, Janice Chung Yun",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,S,EDUC,480,A,92L,E-PORTFOLIO,"Choy, Janice Chung Yun",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,310,,118,TEACh PRINC,"Choy, Janice Chung Yun",17,,,,,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,316,C,118,COMM SKILLS,"Choy, Janice Chung Yun",17,,,,,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,MUED,320,,101,C & I MUSIC ELEM,"Choy, Janice Chung Yun",35,,,,,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,MUED,320,,102,C & I MUSIC ELEM,"Bakan, Daniel;Choy, Janice Chung Yun",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,MUED,320,,103,C & I MUSIC ELEM,"Choy, Janice Chung Yun",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,MUED,320,,108,C & I MUSIC ELEM,"Choy, Janice Chung Yun;Gouzouasis, Peter",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EDUC,480,A,118,E-PORTFOLIO,"Choy, Janice Chung Yun",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDCP,308,,102,MUS ELEM CRC&PED,"Choy, Janice Chung Yun",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDCP,308,,104,MUS ELEM CRC&PED,"Choy, Janice Chung Yun",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDCP,308,,107,MUS ELEM CRC&PED,"Choy, Janice Chung Yun",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDCP,308,,109,MUS ELEM CRC&PED,"Choy, Janice Chung Yun",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDUC,451,A,117,INQUIRY SEMNR 2,"Choy, Janice Chung Yun",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,S,EDUC,452,A,107,INQUIRY SEMNR 3,"Choy, Janice Chung Yun",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
