Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,SOWK,502,,001,SOWK PRACTICE,"Allison, Kelly;Chaparro-Pacheco, Ricardo;Clark, Natalie",18,86.5,5.65,96,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,5
UBC,2016,W,SOWK,502,,001,SOWK PRACTICE,"Allison, Kelly;Chaparro-Pacheco, Ricardo;Charles, Grant",18,89.78,1.77,93,86,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
UBC,2016,W,SOWK,505,,001,SOCIAL ANALYSIS,"Chaparro-Pacheco, Ricardo",18,96.56,3.9,100,88,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
UBC,2017,W,SOWK,502,,001,SOWK PRACTICE,"Chaparro-Pacheco, Ricardo;Jones, Elizabeth;Murray, Kathryn",13,89.08,3.38,94,84,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6
UBC,2017,W,SOWK,505,,001,SOCIAL ANALYSIS,"Chaparro-Pacheco, Ricardo",13,92,2.45,96,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
UBCV,2015,W,SOWK,502,,001,Social Work Practice,Kelly Allison;Natalie Clark;Ricardo Chaparro-Pacheco,18,86.5,5.649049894,96.0,73.0,,,,,,,,,,,0,0,0,0,0,0,,,,9,5
UBCV,2016,W,SOWK,502,,001,Social Work Practice,Grant Charles;Kelly Allison;Ricardo Chaparro-Pacheco,18,89.77777778,1.767535857,93.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,11
UBCV,2016,W,SOWK,505,,001,Social Analysis for Social Work Practice,Ricardo Chaparro-Pacheco,18,96.55555556,3.899053011,100.0,88.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,16
UBCV,2017,W,SOWK,502,,001,Social Work Practice,Elizabeth Jones;Grant Charles;Kathryn Murray;Ricardo Chaparro-Pacheco,13,89.076923077,3.377907105,94.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,5,6
UBCV,2017,W,SOWK,505,,001,Social Analysis for Social Work Practice,Ricardo Chaparro-Pacheco,13,92.0,2.449489743,96.0,87.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,11
UBCV,2017,W,SOWK,550,,001,Social Work and Social Justice,Margaret Wright;Ricardo Chaparro-Pacheco;Timothy Stainton,45,87.866666667,4.115381348,94.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,2,3,24,15
