Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2013,W,EOSC,448,B,203,DIRECTED STUDIES,"Crowe, Sean",17,89.29,10,97,59,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,12,,,
UBC,2013,W,EOSC,595,A,203,DIRECTED STUDIES,"Crowe, Sean",5,87,2.74,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,
UBC,2014,W,MICB,425,,201,MICB ECO GENOMIC,"Crowe, Sean",25,79.16,11.36,90,51,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,7,8,2,,,
UBC,2015,W,EOSC,448,B,201,DIRECTED STUDIES,"Crowe, Sean",12,89,10.76,96,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9,,,
UBC,2015,W,MICB,425,,201,MICB ECO GENOMIC,"Crowe, Sean;Hallam, Steven",20,88.35,7.11,100,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,14,,,
UBC,2016,W,EOSC,448,B,201,DIRECTED STUDIES,"Crowe, Sean",9,91,6.44,98,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,,,
UBC,2016,W,MICB,425,,201,MICB ECO GENOMIC,"Crowe, Sean;Hallam, Steven",33,88.63,6.16,100,78,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,14,,,
UBC,2017,W,EOSC,448,B,201,DIRECTED STUDIES,"Crowe, Sean",6,91.17,3.76,95,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,,,
UBC,2017,W,MICB,425,,201,MICB ECO GENOMIC,"Crowe, Sean;Hallam, Steven",41,89.48,6.53,99,60,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,23,,,
UBC,2018,W,EOSC,426,,201,GEOMICROBIOLOGY,"Crowe, Sean",27,86.33,7.99,94,55,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,10,11,,,
UBC,2018,W,MICB,430,A,101,SEM MICB LIT,"Beatty, John;Crowe, Sean;Hallam, Steven",16,90.38,5.23,98,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,,,
UBCV,2014,W,MICB,425,,201,Microbial Ecological Genomics,Colleen Kellogg;Kishori Konwar;Sean Crowe,25,79.16,11.36031103,90.0,51.0,,,,,,,,,,,0,,,,,,,,7,8,,,,
UBCV,2015,W,EOSC,448,B,201,Directed Studies,Sean Crowe,12,89.0,10.761885607,96.0,66.0,,,,,,,,,,,0,0,0,0,,,,,,,9,,,
UBCV,2015,W,MICB,425,,201,Microbial Ecological Genomics,Sean Crowe;Steven Hallam,20,88.35,7.110222441,100.0,71.0,,,,,,,,,,,0,0,0,0,0,,,,,,14,,,
UBCV,2016,W,EOSC,448,B,201,Directed Studies,Sean Crowe,9,91.0,6.442049363,98.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,3,5,,,
UBCV,2016,W,MICB,425,,201,Microbial Ecological Genomics,Sean Crowe;Steven Hallam,32,88.625,6.157869342,100.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,2,6,10,14,,,
UBCV,2017,W,EOSC,448,B,201,Directed Studies,Sean Crowe,6,91.166666667,3.763863264,95.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,4,,,
UBCV,2017,W,MICB,425,,201,Microbial Ecological Genomics,Kimberly Anne Dill-Mcfarland;Sean Crowe;Steven Hallam,40,89.475,6.531923579,99.0,60.0,,,,,,,,,,,0,0,0,1,0,0,0,0,5,11,23,,,
UBCV,2018,W,EOSC,426,,201,Fundamentals of Geomicrobiology,Julia Huggins;Sean Crowe,27,86.333333333,7.985563898,94.0,55.0,,,,,,,,,,,0,0,1,0,0,0,0,2,3,10,11,,,
UBCV,2018,W,MICB,325,,201,Analysis of Microbial Genes and Genomes,Cara Haney;Katharine Jean Thompson;Lindsay Eltis;Michael Murphy;Sean Crowe,104,79.519230769,9.540898951,95.0,49.0,,,,,,,,,,,1,2,2,2,2,9,9,19,21,25,12,,,
UBCV,2018,W,MICB,425,,201,Microbial Ecological Genomics,Kimberly Anne Dill-Mcfarland;Ryan Mclaughlin;Sean Crowe;Steven Hallam,33,88.696969697,6.262411918,96.0,62.0,,,,,,,,,,,0,0,0,1,0,0,0,1,2,9,20,,,
UBCV,2018,W,MICB,430,A,101,Seminar in Microbiological Literature,John Beatty;Sean Crowe;Steven Hallam,16,90.375,5.226534862,98.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,3,10,,,
UBCV,2019,W,MICB,325,,201,Analysis of Microbial Genes and Genomes,Bhavjinder Dhillon;Cara Haney;Lindsay Eltis;Sean Crowe;Yue Zhang,108,83.935185185,7.854129396,98.0,52.0,,,,,,,,,,,0,1,1,0,2,1,8,12,29,26,28,,,
UBCV,2020,W,EOSC,426,,101,Fundamentals of Geomicrobiology,Julia Huggins;Sean Crowe,50,84.98,9.780217434,94.0,31.0,,,,,,,,,,,1,0,0,0,0,2,1,2,10,18,16,,,
UBCV,2020,W,MICB,425,,201,Microbial Ecological Genomics,Cathy Yan;Resmi Radhamony;Sean Crowe;Stephan Koenig;Steven Hallam,46,92.608695652,2.695496333,97.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,42,,,
UBCV,2021,W,EOSC,426,,101,Fundamentals of Geomicrobiology,Julia Huggins;Sean Crowe,34,89.352941176,4.498365716,97.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,2,3,10,19,,,
UBCV,2021,W,MICB,201,,101,Introductory Environmental Microbiology,Evelyn Sun;Jennifer Sibley;Logan Robeck;Sean Crowe;Tracy Kion;Wade Bingle,201,83.805970149,8.990392882,96.0,32.0,,,,,,,,,,,3,0,1,1,2,5,18,18,37,63,53,,,
UBCV,2021,W,EOSC,426,,101,Fundamentals of Geomicrobiology,Sean Crowe,34,89.4,,97.0,77.0,,,,,,,,,,,,,,,,,,,,10,19,90.0,92.8,87.0
UBCV,2021,W,MICB,201,,101,Introductory Environmental Microbiology,Sean Crowe;Jennifer Sibley;Evelyn Sun,201,83.8,,96.0,32.0,,,,,,,,,,,,,,,,,18,18,37,63,53,86.0,90.0,80.0
UBCV,2022,W,EOSC,112,,101,The Fluid Earth: Atmosphere and Ocean,Sean Crowe;Maria Maldonado-Pareja;Anais Orsi,106,76.6,,98.0,0.0,,,,,,,,,,,5,2,8,4,6,8,10,6,14,20,23,80.5,89.0,68.0
