Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,ENGL,110,,022,Approaches to Literature,Ira Bruce Nadel;Jillian Sharpe;Sijia Cheng;Stephanie Lu;Stephen Johnson;Sydney Lines,117,74.0,7.903512968,91.0,40.0,2,1,3,1,9,16,35,23,20,6,1
UBCV,2020,W,ENGL,110,,001,Approaches to Literature,Keanna Kahn;Richard Bergen;Sarah Nelle Jackson;Sijia Cheng;Stephen Guy-Bray;Veronika Larsen,145,73.544827586,9.785178212,92.0,0.0,1,4,4,2,12,28,30,30,24,8,2
UBCV,2020,W,ENGL,111,,002,Approaches to Non-fictional Prose,Gage Diabo;Jillian Sharpe;Keanna Kahn;Laurie Mcneill;Marlene Briggs;Reed Clements;Sharon Engbrecht;Sijia Cheng;Veronika Larsen,163,71.239263804,12.676328847,91.0,0.0,4,5,4,11,12,31,32,35,19,6,4
UBCV,2020,W,VANT,148,,V01,UBC Vantage College Projects,David Brownstein;Eva Zysk;Jennifer Lightfoot;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,24,64.625,19.331912117,80.0,2.0,3,1,0,0,3,8,4,2,3,0,0
UBCV,2020,W,VANT,148,,V02,UBC Vantage College Projects,Eva Zysk;Jennifer Lightfoot;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,19,68.631578947,3.989020018,77.0,59.0,0,0,1,1,3,11,2,1,0,0,0
UBCV,2020,W,VANT,148,,V03,UBC Vantage College Projects,David Brownstein;Jennifer Lightfoot;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,27,67.962962963,15.00379819,81.0,0.0,1,0,1,3,4,5,7,3,3,0,0
UBCV,2020,W,VANT,148,,V04,UBC Vantage College Projects,Alys Avalos Rivera;Georg Rieger;Jennifer Gagnon;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,24,69.541666667,5.74818812,77.0,57.0,0,0,1,3,4,2,11,3,0,0,0
UBCV,2020,W,VANT,148,,V05,UBC Vantage College Projects,Alys Avalos Rivera;David Brownstein;Eva Zysk;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,23,67.434782609,10.778033582,78.0,29.0,1,0,4,0,3,7,2,6,0,0,0
UBCV,2020,W,VANT,148,,V06,UBC Vantage College Projects,Alys Avalos Rivera;Jennifer Gagnon;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,26,71.384615385,14.953466282,88.0,5.0,1,0,1,1,1,3,6,9,3,1,0
UBCV,2020,W,VANT,148,,V07,UBC Vantage College Projects,Brett Gilley;Dilsora Komil-Burley;Eva Zysk;Remzi Fuentes;Remzi Marenglen Xhemalce Fuentes;Sijia Cheng,18,68.611111111,17.91857035,83.0,0.0,1,0,0,0,1,8,3,3,2,0,0
UBCV,2021,S,VANT,149,,V01,Multi-disciplinary Research Project,David Brownstein;Maya Gal;Sijia Cheng;Veronika Larsen,23,78.391304348,6.308285536,91.0,64.0,0,0,0,0,1,3,3,5,8,2,1
UBCV,2021,S,VANT,149,,V02,Multi-disciplinary Research Project,David Brownstein;Eva Zysk;Maya Gal;Sijia Cheng;Veronika Larsen,16,73.75,4.524010021,83.0,68.0,0,0,0,0,0,5,7,1,3,0,0
UBCV,2021,S,VANT,149,,V03,Multi-disciplinary Research Project,David Brownstein;Jennifer Gagnon;Maya Gal;Sijia Cheng;Veronika Larsen,23,70.086956522,15.957081766,80.0,0.0,1,0,0,0,2,6,6,4,4,0,0
UBCV,2021,S,VANT,149,,V04,Multi-disciplinary Research Project,Eva Zysk;Maya Gal;Sijia Cheng;Veronika Larsen,12,73.333333333,3.055050463,77.0,68.0,0,0,0,0,0,4,5,3,0,0,0
UBCV,2021,S,VANT,149,,V05,Multi-disciplinary Research Project,Jennifer Gagnon;Maya Gal;Sijia Cheng;Veronika Larsen,16,65.0,21.450718714,85.0,10.0,2,0,1,0,0,3,6,3,0,1,0
UBCV,2021,S,VANT,149,,V06,Multi-disciplinary Research Project,David Brownstein;Eva Zysk;Maya Gal;Sijia Cheng;Veronika Larsen,27,74.111111111,5.373248075,80.0,55.0,0,0,1,0,2,2,10,7,5,0,0
UBCV,2021,S,VANT,149,,V07,Multi-disciplinary Research Project,Jennifer Gagnon;Maya Gal;Sijia Cheng;Veronika Larsen,16,77.25,3.530816714,84.0,72.0,0,0,0,0,0,0,4,7,5,0,0
UBCV,2021,S,VANT,149,,V08,Multi-disciplinary Research Project,Dilsora Komil-Burley;Eva Zysk;Maya Gal;Sijia Cheng;Veronika Larsen,19,78.526315789,7.15982946,89.0,64.0,0,0,0,0,2,2,1,4,6,4,0
