Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2005,W,HIST,321,A,103,HONOURS TUTORIAL,"Cheek, Timothy",4,79.75,4.11,85,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,
UBC,2005,W,HIST,421,A,103,HONOURS TUTORIAL,"Cheek, Timothy",5,83,6.67,90,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,,,
UBC,2006,W,HIST,321,B,204,HONOURS TUTORIAL,"Cheek, Timothy",4,86.25,2.06,88,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,
UBC,2006,W,HIST,563,,201,CHIN HIST METHOD,"Cheek, Timothy",6,85.83,3.6,92,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,,,
UBC,2007,W,HIST,563,,201,CHIN HIST METHOD,"Cheek, Timothy",5,84,3.67,88,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,,,
UBC,2009,W,HIST,558,,101,COMP ASIAN RDGS,"Cheek, Timothy",10,79.67,5.55,86,70,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,,,
UBC,2011,W,HIST,270,,001,CHINA &  WORLD,"Brook, Timothy;Cheek, Timothy",48,67.98,14.81,83,0,42,2,1,2,0,1,0,1,0,0,2,3,1,1,9,5,13,3,7,0,0,,,
UBC,2011,W,HIST,558,,101,COMP ASIAN RDGS,"Cheek, Timothy",14,81.31,6.91,94,66,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,2,1,,,
UBC,2012,W,HIST,270,,001,CHINA IN WORLD,"Brook, Timothy;Cheek, Timothy",27,72.46,14.77,90,20,22,2,1,2,0,0,0,1,1,0,2,0,0,0,2,1,6,7,5,0,1,,,
UBC,2012,W,HIST,561,,101,CHINESE HIST RDG,"Cheek, Timothy",7,84.4,3.21,88,80,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,,
UBC,2013,W,HIST,558,,201,COMP ASIAN RDGS,"Cheek, Timothy",12,83.6,3.2,88,78,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,,,
UBC,2014,W,HIST,270,A,101,CHINA WORLD HIST,"Cheek, Timothy",48,69.74,13.03,87,10,43,3,2,0,0,0,1,0,0,2,3,0,1,3,10,7,8,3,7,4,0,,,
UBC,2014,W,HIST,490,Q,201,SEM FOR HIST MAJ,"Cheek, Timothy",10,80.7,5.31,86,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,3,0,,,
UBC,2014,W,HIST,490,Q,202,SEM FOR HIST MAJ,"Cheek, Timothy",9,78.71,4.82,87,73,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,,,
