Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,TSED,320,,201,CURR&INST TEC EL,"Caldwell, Gordon",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,TSED,320,,201,CURR&INST TEC EL,"Caldwell, Gordon",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,LIBE,465,,62A,ORG LRN RES,"CALDWELL, JOHN",13,85.62,8.72,92,62,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,6
UBC,2007,W,LIBE,467,,63A,INFO SERVICES I,"CALDWELL, JOHN",16,84.44,4.4,93,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2
UBC,2009,S,LIBE,465,,93Q,ORG LRN RES,"CALDWELL, JOHN;LEE, SANDRA MARJORIE",27,85.08,4.28,93,76,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,4
UBC,2009,S,LIBE,465,,93S,ORG LRN RES,"CALDWELL, JOHN;LEE, SANDRA MARJORIE",26,85.92,4.37,93,80,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,8
UBC,2009,W,LIBE,465,,63C,ORG LRN RES,"CALDWELL, JOHN;LEE, SANDRA MARJORIE",29,85.04,4.38,97,75,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,13,3
UBC,2015,W,LIBR,542,E,002,SERVICES YOUTH,"Caldwell, Jennifer",16,82.69,5.38,88,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,7,0
UBC,2017,W,LIBR,528,,002,YOUNG ADLT SERV,"Caldwell, Jennifer",21,89.19,4.04,95,81,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8
UBC,2018,W,LIBR,528,,001,YOUNG ADLT SERV,"Caldwell, Jennifer",11,84.5,3.75,90,79,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1
