Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BAMA,500,,001,MRKT DEC MAKING,"ACE, CATHY",33,87.33,2.97,93,79,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,9
UBC,2002,W,BAMA,500,,002,MRKT DEC MAKING,"ACE, CATHY",5,89,2,92,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,2002,W,THTR,262,,001,BEGN SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",12,82.25,1.82,85,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0
UBC,2002,W,THTR,362,,001,INT SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",11,83.7,2,87,81,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
UBC,2002,W,THTR,370,,001,TUT IN ACTING,"Burnett, Cathy;Murphy, Gayle",11,83.7,2,87,81,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
UBC,2002,W,THTR,462,,001,ADV SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",7,84.71,2.06,87,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
UBC,2002,W,THTR,470,,001,ADV TUT IN ACTNG,"Burnett, Cathy;Murphy, Gayle",7,84.71,2.06,87,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
UBC,2003,W,THTR,262,,001,BEGN SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",13,83.31,2.18,87,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
UBC,2003,W,THTR,362,,001,INT SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",12,87,1.55,90,85,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
UBC,2003,W,THTR,370,,001,TUT IN ACTING,"Burnett, Cathy;Murphy, Gayle",12,87,1.55,90,85,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
UBC,2003,W,THTR,462,,001,ADV SPCH&MOVMNT,"Burnett, Cathy;Murphy, Gayle",10,86.9,1.91,90,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
UBC,2003,W,THTR,470,,001,ADV TUT IN ACTNG,"Burnett, Cathy;Murphy, Gayle",9,86.78,1.99,90,84,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
UBC,2005,W,FILM,333,,001,MOTN PIC PROD I,"Robertson, Cathy",17,82.06,5.09,90,72,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,1
UBC,2005,W,FILM,434,B,002,STUDIES IN FILM,"Robertson, Cathy",13,84.38,6.97,94,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,4
UBC,2005,W,THTR,273,,001,BGN VOICE&MOVE,"Burnett, Cathy;Murphy, Gayle",14,81.43,3.52,86,73,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,3,0
UBC,2005,W,THTR,274,,001,BGN VOIC/MOVE II,"Burnett, Cathy;Murphy, Gayle",14,84.71,3.45,89,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,0
UBC,2005,W,THTR,373,,001,INTER VS&M I,"Burnett, Cathy;Murphy, Gayle",5,83.2,0.84,84,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
UBC,2005,W,THTR,374,,001,INT VS&M II,"Burnett, Cathy;Murphy, Gayle",5,84.2,1.48,86,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
UBC,2005,W,THTR,391,B,001,TUT IN ACTING,"Burnett, Cathy",8,84,2.07,86,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
UBC,2005,W,THTR,473,,001,ADV SPCH&MOVE I,"Burnett, Cathy;Murphy, Gayle",11,86.36,1.03,88,85,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
UBC,2005,W,THTR,474,,001,ADV SPCH&MOVE II,"Beley, Lisa;Burnett, Cathy;HARRISON, NICHOLAS",11,86,1.84,89,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0
UBC,2005,W,THTR,491,B,001,TUT IN ACTNG,"Burnett, Cathy",4,85.75,2.06,88,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
UBC,2006,W,FIPR,333,,001,MO PICT PROD I,"Robertson, Cathy",16,90.13,5.84,95,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10
UBC,2006,W,FIST,434,A,001,STUDIES IN FILM,"Robertson, Cathy",16,84.4,5.19,94,76,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3
UBC,2006,W,FIST,434,B,001,STUDIES IN FILM,"Robertson, Cathy",18,81.31,9.55,92,62,16,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,1,3,5,3
UBC,2006,W,THTR,273,,001,BGN VOICE&MOVE,"Burnett, Cathy;Murphy, Gayle",12,82.42,1.78,85,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0
UBC,2006,W,THTR,274,,001,BGN VOIC/MOVE II,"Burnett, Cathy;Murphy, Gayle",11,84,3.07,88,78,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0
UBC,2006,W,THTR,335,,001,VOICE & MOVEMENT,"Burnett, Cathy;Murphy, Gayle",20,81.89,3.77,88,70,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,4,0
UBC,2006,W,THTR,373,,001,INTER VS&M I,"Burnett, Cathy;Murphy, Gayle",13,84.62,2.14,88,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
UBC,2006,W,THTR,374,,001,INT VS&M II,"Burnett, Cathy;Murphy, Gayle",13,85.17,2.66,88,81,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
UBC,2006,W,THTR,391,A,001,REHEARS&PERFORM,"Burnett, Cathy;Murphy, Gayle",8,84.75,2.05,88,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
UBC,2006,W,THTR,391,B,001,REHEARS&PERFORM,"Burnett, Cathy;Murphy, Gayle",11,85.1,3.14,90,81,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1
