Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,MATH,300,,201,INTR COMPLEX VAR,"Chau, Albert",63,66.84,19.1,100,20,53,9,1,0,0,0,0,4,2,3,9,5,7,2,8,5,7,2,5,3,9
UBC,2007,W,MATH,440,,101,COMPLEX ANALYSIS,"Chau, Albert",6,76.5,16.91,98,47,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
UBC,2009,W,MATH,105,,202,INT CALC AP C&SS,"Chau, Albert",107,68.83,14.14,92,0,102,3,1,0,1,1,0,0,1,1,3,13,9,7,12,14,8,10,16,11,2
UBC,2009,W,MATH,184,,101,CALC SOCSCI COMM,"Chau, Albert",207,61.65,16.3,100,10,168,33,4,0,2,0,3,3,12,15,33,31,25,27,14,16,14,12,12,9,8
UBC,2009,W,MATH,526,,201,DIFF GEOMETRY II,"Chau, Albert",8,91.25,1.04,93,90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2010,W,MATH,184,,101,CALC SOCSCI COMM,"Chau, Albert",215,66.98,12.22,95,29,198,12,3,0,2,0,0,1,5,6,12,19,18,34,22,30,24,15,21,10,5
UBC,2010,W,MATH,526,,201,DIFF GEOMETRY II,"Chau, Albert",4,95.5,2.89,98,93,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2011,W,MATH,104,,102,DFF CALC AP C&SS,"Chau, Albert",212,63.43,15.58,93,15,176,32,3,0,1,0,1,2,13,16,32,27,23,19,23,12,14,17,24,13,4
UBC,2011,W,MATH,184,,101,CALC SOCSCI COMM,"Chau, Albert",220,62.06,14.03,95,22,184,31,3,0,2,0,0,4,7,20,31,34,34,20,18,15,22,15,18,5,3
UBC,2011,W,MATH,526,,201,DIFF GEOMETRY II,"Chau, Albert",7,90.33,6.38,96,80,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
UBC,2012,W,MATH,104,,103,DFF CALC AP C&SS,"Chau, Albert",138,66.83,14.46,95,16,125,10,3,0,0,0,1,1,1,7,10,17,11,18,10,17,10,12,15,8,7
UBC,2012,W,MATH,425,,101,INTR MOD DIFF GE,"Chau, Albert",6,85.67,10.23,96,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3
UBC,2012,W,MATH,525,,101,DIFF GEOMETRY I,"Chau, Albert",8,93.75,5.09,99,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
UBC,2014,W,MATH,104,,102,DFF CALC AP C&SS,"Chau, Albert",188,69.79,14.86,97,25,171,10,2,0,5,0,0,1,6,3,10,19,16,18,17,13,19,10,25,21,13
UBC,2014,W,MATH,200,,202,CALCULUS 3,"Chau, Albert",128,65.57,17.44,95,6,99,22,7,0,0,1,1,1,7,12,22,7,11,12,4,13,11,11,14,11,5
UBC,2015,W,MATH,200,,101,CALCULUS 3,"Chau, Albert",145,66.45,15.68,96,14,127,12,5,0,1,0,2,0,6,4,12,16,19,12,6,17,11,10,20,10,6
UBC,2015,W,MATH,200,,103,CALCULUS 3,"Chau, Albert",105,67.85,15.73,94,24,94,9,2,0,0,0,0,2,3,4,9,11,13,6,5,9,11,12,11,8,8
UBC,2016,W,MATH,200,,101,CALCULUS 3,"Chau, Albert",142,65.78,15.76,97,21,118,17,6,0,1,0,0,2,5,10,17,16,14,9,13,14,9,11,20,8,4
UBC,2016,W,MATH,200,,102,CALCULUS 3,"Chau, Albert",144,64.66,15.26,98,24,121,17,5,0,1,0,0,3,5,9,17,23,9,13,10,18,12,10,15,5,6
UBC,2016,W,MATH,602,D,201,TOPICS ANALYSIS,"Chau, Albert",5,92,2.83,96,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2017,W,MATH,200,,101,CALCULUS 3,"Chau, Albert",114,63.31,16.63,96,22,88,19,7,0,0,0,0,3,6,10,19,13,14,12,3,10,8,4,11,9,4
UBC,2017,W,MATH,200,,102,CALCULUS 3,"Chau, Albert",119,65.93,16.03,95,13,93,22,3,0,1,0,1,0,6,15,22,3,11,10,8,15,10,8,16,7,5
UBC,2017,W,MATH,300,,201,INTR COMPLEX VAR,"Chau, Albert",69,65.12,16.62,94,20,57,10,2,0,0,0,0,2,4,4,10,5,5,8,4,10,8,3,6,6,2
UBC,2018,W,MATH,200,,105,CALCULUS 3,"Chau, Albert",94,70.31,14.33,95,24,80,7,1,0,3,0,0,1,1,5,7,6,6,4,5,7,20,6,11,12,3
UBC,2018,W,MATH,425,,101,INTR MOD DIFF GE,"Chau, Albert",9,80.11,5.73,90,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1
UBC,2018,W,MATH,525,,101,DIFF GEOMETRY I,"Chau, Albert",8,79.88,10.41,94,60,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,1
