Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,NURS,410,F,99G,EXPL AVE NURS PR,"Entwistle, Cheryl",4,74.75,4.99,80,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
UBC,2003,W,EPSE,306,,301,EDUC ADOLESC YRS,"Aman, Cheryl",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,EPSE,306,,401,EDUC ADOLESC YRS,"Aman, Cheryl",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,NURS,410,G,99E,EXPL AVE NURS PR,"Entwistle, Cheryl",5,87,3.54,92,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2003,W,NURS,410,G,99L,EXPL AVE NURS PR,"Entwistle, Cheryl",5,87.5,3.11,91,84,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2003,W,PHYS,539,,201,RDTN DOSIMETRY,"Ding, George;Duzenli, Cheryl",5,83.8,7.4,91,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
UBC,2005,W,EDUC,420,,221,SCHL ORGANIZATN,"Aman, Cheryl;Garnett, Bruce;Kelly, Deirdre",127,,,,,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,EDUC,420,,301,SCHL ORGANIZATN,"Aman, Cheryl;Garnett, Bruce;Kelly, Deirdre",345,,,,,0,0,1,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,NURS,410,F,99C,EXPL AVE NURS PR,"Entwistle, Cheryl",6,81.67,5.61,90,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1
UBC,2005,W,PHYS,404,,101,INTRO MED PHYS,"Aldrich, John;Clark, Brenda G.;Duzenli, Cheryl;MacAulay, Calum E.;MacKay, Alexander",30,73.83,12.17,95,50,29,0,1,0,0,0,0,0,0,0,0,2,3,1,1,5,3,2,7,2,3
