Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ANTH,103,,001,INTR ARCHAEOLOGY,"Chisholm, Brian",75,73.07,8.77,94,53,68,0,0,0,7,0,0,0,0,0,0,1,2,7,7,8,15,6,17,3,2
UBC,2002,W,ANTH,103,,005,INTR ARCHAEOLOGY,"Chisholm, Brian",84,70.8,10.5,88,50,70,0,3,0,11,0,0,0,0,0,0,5,5,3,12,10,7,10,8,10,0
UBC,2002,W,ANTH,140,,002,HUM ORIG,"Chisholm, Brian",136,73.07,9.37,96,50,112,0,4,0,20,0,0,0,0,0,0,1,6,10,16,11,23,13,17,8,7
UBC,2002,W,ANTH,225,,001,INTRO PHYS ANTHR,"Chisholm, Brian",36,75.9,7.48,90,58,30,0,3,0,3,0,0,0,0,0,0,0,1,0,4,4,3,8,6,3,1
UBC,2002,W,ANTH,231,,001,ANCIENT N AMER,"Chisholm, Brian",41,70.36,7.61,82,55,36,0,2,1,2,0,0,0,0,0,0,0,3,4,3,8,4,10,4,0,0
UBC,2002,W,ANTH,319,,001,EMR OLD WRLD CIV,"Chisholm, Brian",34,76.03,7.75,93,62,33,0,0,0,1,0,0,0,0,0,0,0,0,1,2,7,8,4,5,3,3
UBC,2003,W,ANTH,140,,002,HUM ORIG,"Chisholm, Brian",138,71.07,11.19,90,3,120,2,1,0,15,1,0,0,0,1,2,9,3,6,11,26,18,16,25,5,1
UBC,2003,W,ANTH,225,,001,INTRO PHYS ANTHR,"Chisholm, Brian",32,76.08,7.42,88,60,26,0,1,0,5,0,0,0,0,0,0,0,0,2,2,0,6,6,6,4,0
UBC,2003,W,ANTH,305,,001,ARCHLOGY THEORY,"Chisholm, Brian;Matson, Richard Ghia",38,73.94,12.26,93,22,35,1,0,1,1,0,0,1,0,0,1,1,1,2,1,3,10,2,10,4,1
UBC,2003,W,ANTH,318,,901,OLD WRLD PAL ARC,"Chisholm, Brian",40,71.61,8.31,82,39,37,1,0,0,2,0,0,0,1,0,1,1,0,3,1,8,12,7,5,0,0
UBC,2003,W,ANTH,324,,001,PRIMATE EVOL,"Chisholm, Brian",22,72.8,7.61,82,56,20,0,0,0,2,0,0,0,0,0,0,0,1,3,0,2,4,5,5,0,0
UBC,2003,W,ANTH,325,,001,PALEOANTHRO,"Chisholm, Brian",27,73.37,6.65,85,55,27,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,8,6,5,1,0
UBC,2003,W,MECH,510,,201,TRANS PHENOM I,"Chisholm, Todd",9,82.13,7.2,91,74,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2
UBC,2005,W,ANTH,103,,001,INTR ARCHAEOLOGY,"Chisholm, Brian",107,74.31,8.82,90,45,95,1,1,0,10,0,0,0,0,1,1,0,2,6,10,16,13,18,11,15,4
UBC,2005,W,ANTH,103,,003,INTR ARCHAEOLOGY,"Chisholm, Brian",33,70.63,7.08,82,57,27,0,1,1,4,0,0,0,0,0,0,0,1,2,7,2,8,2,5,0,0
UBC,2005,W,ANTH,225,,001,HUMAN ORIGINS,"Chisholm, Brian",88,71.05,14.36,93,0,56,2,4,0,26,1,0,1,0,0,2,1,1,4,7,9,12,6,10,4,2
UBC,2005,W,ANTH,318,,001,OLD WRLD PAL ARC,"Chisholm, Brian",37,73.74,5.47,87,61,31,0,1,0,5,0,0,0,0,0,0,0,0,1,2,4,15,4,4,1,0
UBC,2005,W,ANTH,406,B,001,LAB TECH ARCHEGY,"Chisholm, Brian;Jing, Zhichun",12,76.67,4.66,86,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,1,0
UBC,2006,W,ANTH,103,,001,INTR ARCHAEOLOGY,"Chisholm, Brian",122,73.14,10.27,90,42,99,1,6,0,16,0,0,0,0,1,1,4,4,7,10,13,12,16,18,11,4
UBC,2006,W,ANTH,319,,001,EMR OLD WRLD CIV,"Chisholm, Brian",36,75.16,7.3,89,60,32,0,2,0,2,0,0,0,0,0,0,0,0,2,2,7,3,7,8,3,0
UBC,2006,W,ANTH,325,,001,PALEOANTHRO,"Chisholm, Brian",32,75.86,6.48,87,63,28,0,0,0,4,0,0,0,0,0,0,0,0,1,2,5,7,4,5,4,0
