Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CLST,305,,901,CLAS MYTH & RELG,"Cousland, Robert",43,66.49,24.43,94,0,36,5,2,0,0,4,0,0,1,0,5,0,1,2,3,7,7,7,4,2,3
UBC,2002,W,CLST,360,C,002,LF SOC CLAS ANTQ,"Cousland, Robert",25,76.13,7.19,90,59,24,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,10,5,1,1
UBC,2002,W,RELG,414,,001,GOSPL&HIST JESUS,"Cousland, Robert",23,76.45,7.65,93,60,22,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,6,2,1
UBC,2002,W,RELG,415,,001,PAUL OF TARSUS,"Cousland, Robert",23,79.18,5.51,89,68,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,7,4,0
UBC,2002,W,RELG,475,A,002,TPCS IN RELIGION,"Cousland, Robert",11,80.5,7.82,91,70,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2
UBC,2002,W,RELG,531,,001,GRAD SEMINAR,"Cousland, Robert",5,90.25,2.87,94,88,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2003,W,CLST,360,C,002,LF SOC CLAS ANTQ,"Cousland, Robert",25,68.91,23.17,88,0,20,2,1,2,0,2,0,0,0,0,2,1,1,1,0,3,5,1,5,3,0
UBC,2003,W,CNRS,501,,002,THE CITY,"Cousland, Robert",6,82.5,4.76,88,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
UBC,2003,W,RELG,414,,001,GOSPL&HIST JESUS,"Cousland, Robert",26,78.12,6.39,87,62,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,3,10,4,0
UBC,2003,W,RELG,415,,001,PAUL OF TARSUS,"Cousland, Robert",24,73.21,16.85,90,0,23,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,6,6,4,2,1
UBC,2003,W,RELG,475,A,002,TPCS IN RELIGION,"Cousland, Robert",7,78.71,6.85,87,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0
UBC,2003,W,RELG,531,,001,GRAD SEMINAR,"Cousland, Robert",6,86.8,2.17,90,85,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
UBC,2005,W,CNRS,370,,001,THEORIES MYTH,"Cousland, Robert",33,76.36,8.15,92,61,33,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,4,5,7,1
UBC,2005,W,RELG,414,,001,GOSPL&HIST JESUS,"Cousland, Robert",25,78.29,9.06,90,60,24,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,4,2,6,4,3
UBC,2006,W,CNRS,370,,001,THEORIES MYTH,"Cousland, Robert",45,71.91,17.91,92,0,41,3,1,0,0,2,0,1,0,0,3,0,0,1,1,8,11,8,6,4,2
UBC,2006,W,RELG,414,,001,GOSPL&HIST JESUS,"Cousland, Robert",24,79.25,7.9,89,63,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,8,7,0
