Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ARTE,320,,104,CRC&INS ART ELEM,"de Cosson, Alexander",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,ARTE,320,,107,CRC&INS ART ELEM,"de Cosson, Alexander",38,,,,,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,ARTE,320,,108,CRC&INS ART ELEM,"de Cosson, Alexander",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,ARTE,320,,201,CRC&INS ART ELEM,"de Cosson, Alexander",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,ARTE,320,,107,CRC&INS ART ELEM,"de Cosson, Alexander",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,CUST,512,A,62A,EDUC ACT RESEAR,"de Cosson, Alexander",25,90.44,2.06,94,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
UBC,2006,W,ARTE,320,,107,CRC&INS ART ELEM,"de Cosson, Alexander",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,ARTE,320,,108,CRC&INS ART ELEM,"de Cosson, Alexander",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,ARTE,320,,110,CRC&INS ART ELEM,"de Cosson, Alexander",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,CUST,562,,62A,INTRO CURR ISS,"de Cosson, Alexander",25,92.48,1.53,96,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
UBC,2006,W,CUST,565,C,61A,SPCL CRS IN SUBJ,"Gouzouasis, Peter;de Cosson, Alexander",25,91,2.58,95,85,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
UBC,2007,W,ARTE,320,,104,CRC&INS ART ELEM,"de Cosson, Alexander",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,ARTE,320,,107,CRC&INS ART ELEM,"de Cosson, Alexander",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,ARTE,320,,110,CRC&INS ART ELEM,"de Cosson, Alexander",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,CUST,562,,61A,INTRO CURR ISS,"de Cosson, Alexander",21,92.52,2.87,98,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
UBC,2007,W,ETEC,532,,65A,TECH ARTS HUM,"de Cosson, Alexander",19,87.21,15.47,95,24,18,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,13
UBC,2009,S,CUST,512,A,93A,EDUC ACT RESEAR,"de Cosson, Alexander",21,92.38,3.22,97,85,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
UBC,2009,S,ETEC,532,,66A,TECH ARTS HUM,"de Cosson, Alexander",23,88.5,3.32,93,77,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10
UBC,2009,S,ETEC,532,,66B,TECH ARTS HUM,"de Cosson, Alexander",18,88.17,1.72,90,84,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5
UBC,2009,W,ARTE,320,,104,CRC&INS ART ELEM,"de Cosson, Alexander",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,ARTE,320,,107,CRC&INS ART ELEM,"ROBERTSON, HELEN;de Cosson, Alexander",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,ARTE,320,,108,CRC&INS ART ELEM,"de Cosson, Alexander",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,ARTE,320,,110,CRC&INS ART ELEM,"de Cosson, Alexander",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EDUC,316,A,107,COMM SKILLS,"MacKay, Heather;de Cosson, Alexander",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EDUC,316,A,117,COMM SKILLS,"ROBERTSON, HELEN;de Cosson, Alexander",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,ETEC,532,,66A,TECH ARTS HUM,"de Cosson, Alexander",11,87.91,2.43,92,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2
UBC,2010,S,ETEC,532,,66B,TECH ARTS HUM,"de Cosson, Alexander",9,87.22,4.71,94,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
UBC,2010,W,EDCP,301,,101,CRC&PED ART ELEM,"de Cosson, Alexander",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDCP,301,,103,CRC&PED ART ELEM,"de Cosson, Alexander",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDCP,301,,107,CRC&PED ART ELEM,"ROBERTSON, HELEN;de Cosson, Alexander",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDCP,301,,108,CRC&PED ART ELEM,"de Cosson, Alexander",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDCP,562,,61A,CURRIC ISS&THRY,"de Cosson, Alexander",23,90.35,1.99,94,85,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17
UBC,2010,W,EDCP,562,,62A,CURRIC ISS&THRY,"de Cosson, Alexander",14,91.79,0.58,93,91,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
UBC,2010,W,ETEC,532,,65A,TECH ARTS HUM,"de Cosson, Alexander",14,90.93,2.06,94,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
UBC,2010,W,ETEC,532,,65B,TECH ARTS HUM,"de Cosson, Alexander",16,91.4,2.29,94,87,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
UBC,2011,S,EDCP,512,A,93A,EDUC ACT RESEAR,"de Cosson, Alexander",14,92.57,3.01,99,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
