Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,ASTR,102,,201,Introduction to Stars and Galaxies,Demet Kirmizibayrak;Fengqiu Dong;Ingrid Stairs;Javiera Parada Torres;Raelyn Sullivan;Syed Nayyer Raza,101,81.851485149,12.145275739,95.0,0.0,1,0,2,3,2,2,10,12,14,29,26
UBCV,2020,S,PHYS,101,,921,Energy and Waves,Adan Azem;Aria Malhotra;Arthur Charbonneau;Edward Thoeng;Fengqiu Dong;Helena Marie Koniar;Lara Maria Bartels;Maryam Afsari Golshan;Samikshya Sahu;Yau Chuen Yam,202,79.722772277,13.717199729,98.0,30.0,12,5,4,3,3,9,10,23,48,39,46
UBCV,2020,W,ASTR,101,,101,Introduction to the Solar System,Aaron Boley;David Miller;Fengqiu Dong;Joshua Maceachern;Puranjay Gulati;Rashmi Umashankar;Syed Nayyer Raza,149,74.416107383,11.837355365,96.0,38.0,5,5,6,11,14,7,16,28,31,20,6
UBCV,2020,W,ASTR,333,,201,Exoplanets and Astrobiology,Bryan Dury;Fengqiu Dong;Jeremy Heyl,153,83.803921569,9.848229084,98.0,20.0,1,3,0,0,1,4,13,15,36,37,43
UBCV,2020,W,PHYS,117,,101,Dynamics and Waves,Fengqiu Dong;Kenneth Xing;Michael Salloum;Miho Wakai;Mobin Shakeri;Oguzhan Can;Simon Bates;Su Yu Ding;Tobias Faehndrich;Vedangi Pathak;Zhuang Qi Qi Li;Ziliang Ye,340,76.332352941,14.770160875,100.0,0.0,19,8,11,20,15,29,34,35,54,58,57
UBCV,2021,S,ASTR,333,,981,Exoplanets and Astrobiology,Deborah Good;Fengqiu Dong;Jeremy Heyl;Md Shahriar Rahim Siddiqui;Parham Zarei,99,81.858585859,11.723872472,99.0,0.0,1,0,1,2,4,6,1,16,21,27,20
UBCV,2021,W,ASTR,101,,101,Introduction to the Solar System,Aaron Boley;Arefe Abghari;Fengqiu Dong;Joschua Hellemeier;Laya Ghodsi;Mitchell Barrett;Nurul Husna Binti Zaidi;Pouya Tanouri;Puranjay Gulati,126,78.134920635,16.782063365,99.0,2.0,7,5,4,4,4,9,11,8,16,22,36
UBCV,2021,W,ASTR,311,,201,Exploring the Universe: Stars and Galaxies,Demet Kirmizibayrak;Fengqiu Dong;Jeremy Heyl;Puranjay Gulati,35,69.371428571,19.831771471,90.0,10.0,5,0,1,1,4,6,1,3,7,6,1
UBCV,2021,W,ASTR,311,,99C,Exploring the Universe: Stars and Galaxies,Demet Kirmizibayrak;Fengqiu Dong;Jeremy Heyl;Puranjay Gulati,64,63.78125,21.690074352,93.0,0.0,15,3,3,4,5,3,8,9,7,5,2
UBCV,2021,W,ASTR,505,B,201,Galactic Astronomy,Allison Man;Fengqiu Dong;Wing Shan (Allison) Man;Wing Shan Man,8,89.375,5.52752851,98.0,83.0,0,0,0,0,0,0,0,0,1,4,3
