Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",19,72.63,17.98,83,0,18,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,7,3,6,0,0
UBC,2005,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",23,75.09,17.54,90,0,22,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,7,6,3,1
UBC,2006,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",26,80.23,6.43,90,69,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,6,2
UBC,2006,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",25,79.84,5.06,90,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,1,1
UBC,2007,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",20,80.25,4.63,88,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,4,0
UBC,2007,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",23,77.36,6.84,87,58,22,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,9,2,0
UBC,2009,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",17,80.88,6.75,93,62,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,2,2
UBC,2009,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",18,77,3.96,84,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,4,0,0
UBC,2010,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",17,81.53,7.62,90,59,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,5,2
UBC,2010,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",9,78,5.22,83,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,0
UBC,2011,W,HKIN,115,B,0B1,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",14,78,7.95,90,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,5,2,1
UBC,2011,W,HKIN,115,B,0B2,PERF ANYL SPORTS,"Barnes, Kay;Dober, Jennifer",20,77.42,7.16,93,66,19,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,3,4,2,1
UBCV,2014,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,16,81.0,8.318653737,91.0,66.0,,,,,,,,,,,0,0,0,0,,,,,5,,
UBCV,2014,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,18,80.16666667,8.212257696,90.0,63.0,,,,,,,,,,,0,0,0,,,,,,6,,
UBCV,2015,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,19,78.263157895,7.636477557,89.0,57.0,,,,,,,,,,,0,0,,,,,,,7,,0
UBCV,2015,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,17,81.705882353,6.526529571,92.0,72.0,,,,,,,,,,,0,0,0,0,0,0,,6,,,
UBCV,2016,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,21,82.38095238,5.123243021,90.0,74.0,,,,,,,,,,,0,0,0,0,0,0,4,2,8,5,2
UBCV,2016,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,21,81.66666667,5.397530299,89.0,72.0,,,,,,,,,,,0,0,0,0,0,0,4,2,7,8,0
UBCV,2017,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,17,81.294117647,7.662936006,91.0,64.0,,,,,,,,,,,0,0,0,0,1,0,3,1,5,4,3
UBCV,2017,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,15,82.133333333,5.755328794,90.0,74.0,,,,,,,,,,,0,0,0,0,0,0,3,2,3,5,2
UBCV,2018,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,20,82.8,6.271069748,92.0,69.0,,,,,,,,,,,0,0,0,0,0,2,1,2,7,6,2
UBCV,2018,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes,17,82.823529412,6.012853879,91.0,71.0,,,,,,,,,,,0,0,0,0,0,1,1,4,3,4,4
UBCV,2019,W,KIN,115,B,0B1,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes;Laura Hurd,13,85.153846154,5.490084302,93.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,3,2,4,4
UBCV,2019,W,KIN,115,B,0B2,Performance Analysis of Selected Individual Sports and Activities,Jennifer Dober;Kay Barnes;Laura Hurd,17,82.529411765,9.193188015,93.0,53.0,,,,,,,,,,,0,1,0,0,0,0,0,5,2,5,4
UBCV,2020,W,KIN,110,,901,Human Anatomy,Anne Lasinsky;Jennifer Dober;John Kramer;Nana Wu,60,92.15,6.289148578,100.0,68.0,,,,,,,,,,,0,0,0,0,0,1,0,2,4,8,45
