Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2010,W,ARCH,521,,013,ARCH DESIGN 2B,"Dahmen, Joseph",6,76.67,6.06,87,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,,,
UBC,2010,W,ARCH,533,,001,ENVIR SYS&CNTR 2,"Dahmen, Joseph",47,79.43,4.22,89,70,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,20,4,0,,,
UBC,2010,W,ARCH,540,,013,ARCH DESIGN 3A,"Dahmen, Joseph",5,79.6,6.73,87,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,,,
UBC,2011,W,ARCH,520,,007,ARCH DESIGN 2A,"Dahmen, Joseph",7,83,1.15,85,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,,,
UBC,2011,W,ARCH,521,,009,ARCH DESIGN 2B,"Dahmen, Joseph;Roecker, Inge;Soules, Matthew;Wagner, George Stuart",41,81.93,6.3,90,55,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,12,14,1,,,
UBC,2011,W,ARCH,533,,001,ENVIR SYS&CNTR 2,"Dahmen, Joseph",36,78.44,3.77,89,72,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,13,2,0,,,
UBC,2011,W,ARCH,540,,007,ARCH DESIGN 3A,"Dahmen, Joseph",4,83,2.16,85,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,,,
UBC,2012,W,ARCH,501,,002,ARCH DESIGN 1B,"Dahmen, Joseph",4,80.75,4.03,84,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,,,
UBC,2012,W,ARCH,502,,610,INTRO WORKSHOP,"Dahmen, Joseph;Lewis, Martin;Villagomez, Erick",42,,,,,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2012,W,ARCH,520,,002,ARCH DESIGN 2A,"Dahmen, Joseph",5,76.8,3.35,82,74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,,,
