Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",18,77.12,7.42,92,66,17,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,1,3,1,,,
UBC,2002,W,ARST,575,A,002,TPCS MGMT RECRDS,"Duranti, Luciana",9,82.67,7.09,94,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,,,
UBC,2003,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",28,77.36,8.12,90,52,28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,5,8,4,1,,,
UBC,2003,W,ARST,575,A,001,TPCS MGMT RECRDS,"Duranti, Luciana",8,79.25,7.15,92,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,,,
UBC,2005,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",26,80.24,6.53,94,66,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,11,2,3,,,
UBC,2005,W,ARST,575,A,002,TPCS MGMT RECRDS,"Duranti, Luciana",7,82.67,5.79,90,76,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,,,
UBC,2006,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",26,84.35,7.23,95,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,9,6,,,
UBC,2006,W,ARST,575,A,002,TPCS MGMT RECRDS,"Duranti, Luciana",15,79.93,5.36,90,72,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,3,1,,,
UBC,2009,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",27,79.58,7.06,96,60,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,6,7,4,2,,,
UBC,2009,W,ARST,520,,002,SEL&ACQ ARCH DOC,"Duranti, Luciana",25,83.92,5.53,93,72,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,7,5,,,
UBC,2009,W,ARST,555,,001,PRESRV DIG RECDS,"Duranti, Luciana",21,83,6.79,97,68,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,1,6,,,
UBC,2009,W,ARST,610,,001,Fnd Archiv Stud,"Duranti, Luciana",4,94.5,5.07,98,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,,
UBC,2010,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",26,82.69,5.97,94,74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,9,3,,,
UBC,2010,W,ARST,520,,002,SEL&ACQ ARCH DOC,"Duranti, Luciana",25,84.96,5.97,96,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,8,5,,,
UBC,2010,W,ARST,555,,001,PRESRV DIG RECDS,"Duranti, Luciana",16,88.75,3.32,94,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,,,
UBC,2011,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",35,78.66,8.05,92,60,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,5,4,9,3,,,
UBC,2011,W,ARST,520,,002,SEL&ACQ ARCH DOC,"Duranti, Luciana",33,85.03,5.43,96,76,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,10,,,
UBC,2011,W,ARST,555,,001,PRESRV DIG RECDS,"Duranti, Luciana",14,85.07,5.81,96,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,3,,,
UBC,2012,W,ARST,510,,001,ARCHIVAL DPLMTCS,"Duranti, Luciana",30,83.17,9.6,96,62,30,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,5,6,10,,,
UBC,2012,W,ARST,520,,001,SEL&ACQ ARCH DOC,"Duranti, Luciana",29,83.72,9.75,97,53,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,5,9,9,,,
UBC,2012,W,ARST,555,,002,PRESRV DIG RECDS,"Duranti, Luciana",21,85.43,6.01,94,75,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,6,,,
UBC,2013,W,ARST,555,,002,PRESRV DIG RECDS,"Duranti, Luciana",28,84.22,5.18,95,74,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,9,4,,,
UBC,2014,W,ARST,520,,001,SEL&ACQ ARCH DOC,"Duranti, Luciana",29,83.71,7.34,96,60,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,6,11,5,,,
