Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,KIN,191,,L1A,Anatomy & Physiology II,Paolo B Dominelli,34,74.73529412,12.77143789,96.0,41.0,,,,,,6,6,,,7,
UBCV,2014,W,KIN,191,,L1B,Anatomy & Physiology II,Paolo B Dominelli,34,67.94117647,13.59353941,89.0,30.0,,,,,,,8,,,,0
UBCV,2014,W,KIN,191,,L1C,Anatomy & Physiology II,Paolo B Dominelli,35,69.74285714,13.67122968,91.0,40.0,,,,,,,5,6,,,
UBCV,2014,W,KIN,191,,L1D,Anatomy & Physiology II,Paolo B Dominelli,35,68.28571429,13.36054646,93.0,37.0,,,,,,,6,,,,
UBCV,2014,W,KIN,191,,L1E,Anatomy & Physiology II,Paolo B Dominelli,34,65.08823529,15.81784119,90.0,15.0,,,,,5,,4,,,,
UBCV,2015,W,KIN,191,,L1A,Anatomy & Physiology II,Paolo B Dominelli,33,66.454545455,17.651294055,88.0,26.0,5,,,7,,,,,,7,0
UBCV,2015,W,KIN,191,,L1B,Anatomy & Physiology II,Paolo B Dominelli,34,76.852941176,9.439222981,89.0,39.0,,,,,,,7,,11,6,0
UBCV,2015,W,KIN,191,,L1C,Anatomy & Physiology II,Paolo B Dominelli,34,70.647058824,12.530888752,92.0,41.0,,,,,5,,5,,6,,
UBCV,2015,W,KIN,191,,L1D,Anatomy & Physiology II,Paolo B Dominelli,28,70.214285714,13.774257103,90.0,36.0,,,,,,,,7,,,
UBCV,2015,W,KIN,191,,L1E,Anatomy & Physiology II,Paolo B Dominelli,35,63.4,14.683323874,90.0,16.0,,,,5,,6,,,,,
UBCV,2020,W,KIN,110,,L1C,Human Anatomy,Anne Lasinsky;Anne Marice Lasinsky;Emmanuel Ouma;Hannah Goodings;Jenna Benbaruj;John Kramer;Paolo B Dominelli;Viviana Shiffman,36,94.166666667,5.925730817,99.0,73.0,0,0,0,0,0,0,1,1,1,0,33
UBCV,2020,W,KIN,120,,L1A,Health and Exercise Management,Maria Gallo;Nilanga Aki Bandara;Paolo B Dominelli;Shauna Pearce;Sierra Moores,51,77.647058824,8.199569573,93.0,51.0,0,1,0,0,3,8,8,9,10,10,2
UBCV,2020,W,KIN,132,,L1E,Systems Physiology II,Jasmine Gill;Paolo B Dominelli;Robert Langill;Sobhan Mardan-Dezfouli;Viviana Shiffman,18,80.055555556,8.376944706,92.0,60.0,0,0,0,1,1,1,0,5,5,3,2
