Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2009,W,LLED,200,,002,INTRO ACAD WRIT,"Deschambault, Ryan",11,76.55,4.34,83,69,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,0,0,,,
UBC,2010,S,LLED,489,C,96A,APPL LING TEACH,"Deschambault, Ryan;Reeder, Kenneth",25,85.8,6.01,93,63,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,10,8,,,
UBC,2010,W,LLED,200,,001,INTRO ACAD WRIT,"Deschambault, Ryan",13,74.85,6.94,83,60,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,5,0,0,,,
UBC,2010,W,LLED,210,A,001,IMAGES IN TEXTS,"Deschambault, Ryan",23,75.35,4.78,84,66,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,5,0,0,,,
UBC,2010,W,LLED,210,B,001,IMAGES IN TEXTS,"Deschambault, Ryan",17,74.18,6.97,83,58,17,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,6,4,0,0,,,
UBC,2011,S,LLED,489,C,96A,APPL LING TEACH,"Deschambault, Ryan;Reeder, Kenneth",24,87.83,3.84,94,80,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,,,
UBC,2011,W,LLED,210,A,001,IMAGES IN TEXTS,"Deschambault, Ryan",23,77.43,4.61,86,67,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,6,1,0,,,
UBC,2011,W,LLED,210,B,001,IMAGES IN TEXTS,"Deschambault, Ryan;Talmy, Steven",21,79.76,4.24,89,72,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,2,0,,,
UBC,2012,W,LLED,210,,001,IMAGES IN TEXTS,"Deschambault, Ryan",25,76.36,4.4,82,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,9,0,0,,,
UBC,2012,W,LLED,489,C,221,APPL LING TEACH,"Deschambault, Ryan;Reeder, Kenneth",28,85.96,8.07,95,53,26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,7,10,,,
UBC,2013,W,LLED,210,,001,IMAGES IN TEXTS,"Deschambault, Ryan",25,77.56,4.53,87,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,6,2,0,,,
UBC,2013,W,LLED,210,,002,IMAGES IN TEXTS,"Deschambault, Ryan",25,76.36,5.62,86,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,9,6,1,0,,,
UBC,2014,S,LLED,489,C,96A,APPL LING TEACH,"Deschambault, Ryan",20,84.4,3.91,89,74,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,13,0,,,
UBC,2014,W,LLED,212,,001,LANG COMMUNITES,"Deschambault, Ryan",19,77.58,6.49,90,63,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,9,0,1,,,
UBC,2014,W,LLED,212,,002,LANG COMMUNITES,"Deschambault, Ryan",25,77.96,6.57,90,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,11,1,1,,,
UBC,2014,W,LLED,212,,003,LANG COMMUNITES,"Deschambault, Ryan",20,76.35,4.89,84,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,5,0,0,,,
UBC,2014,W,LLED,222,,001,LANG PRACTICES,"Deschambault, Ryan",26,75.77,4.81,83,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,6,7,0,0,,,
UBC,2014,W,LLED,222,,002,LANG PRACTICES,"Deschambault, Ryan",21,72.48,14.7,86,22,19,2,0,0,0,0,0,1,0,1,2,0,0,0,2,2,3,4,7,1,0,,,
UBC,2014,W,LLED,223,,003,WORLD ENGLISHES,"Deschambault, Ryan",24,72.83,15.57,89,25,22,2,0,0,0,0,0,1,1,0,2,0,1,1,1,1,2,8,5,3,0,,,
UBC,2015,W,LLED,212,,001,LANG COMMUNITES,"Deschambault, Ryan",22,69.09,19.74,90,7,19,3,0,0,0,1,0,0,1,1,3,1,1,0,2,2,2,2,7,1,1,,,
UBC,2015,W,LLED,212,,002,LANG COMMUNITES,"Deschambault, Ryan",18,72.61,9.8,90,56,18,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,1,4,1,1,,,
UBC,2015,W,LLED,212,,003,LANG COMMUNITES,"Deschambault, Ryan",18,79.44,5.67,88,63,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,7,3,0,,,
UBC,2015,W,LLED,213,,001,INTRCLT COMM,"Deschambault, Ryan",22,71.5,14.25,87,28,20,2,0,0,0,0,0,1,1,0,2,0,0,0,3,3,3,4,6,1,0,,,
UBC,2015,W,LLED,213,,002,INTRCLT COMM,"Deschambault, Ryan",30,70.23,14.3,94,15,29,1,0,0,0,0,1,0,0,0,1,0,4,4,1,3,5,6,4,0,2,,,
UBC,2015,W,LLED,222,,001,LANG PRACTICES,"Deschambault, Ryan",27,75.5,5.2,84,65,26,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,4,8,7,0,0,,,
UBC,2016,W,LLED,210,,001,IMAGES IN TEXTS,"Deschambault, Ryan",30,79.4,5.77,87,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,14,5,0,,,
UBC,2016,W,LLED,213,,001,INTRCLT COMM,"Deschambault, Ryan",21,78.62,6.31,92,67,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,3,4,1,,,
UBC,2016,W,LLED,213,,002,INTRCLT COMM,"Deschambault, Ryan",26,76.35,9.79,91,45,25,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,7,8,2,1,,,
UBC,2016,W,LLED,222,,001,LANG PRACTICES,"Deschambault, Ryan",27,78.15,8,86,42,26,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,10,9,2,0,,,
UBC,2016,W,LLED,223,,001,WORLD ENGLISHES,"Deschambault, Ryan",18,72.33,8.92,90,53,18,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,4,2,0,1,,,
UBC,2016,W,LLED,223,,002,WORLD ENGLISHES,"Deschambault, Ryan",6,70.67,14.62,82,51,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,,,
UBC,2017,W,EDUC,210,,001,INT GLOBAL CITIZ,"Deschambault, Ryan",15,80.13,3.6,86,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,2,0,,,
UBC,2017,W,LLED,212,,001,LANG COMMUNITES,"Deschambault, Ryan",26,79.12,5.43,90,69,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,10,2,1,,,
UBC,2017,W,LLED,213,,001,INTRCLT COMM,"Deschambault, Ryan",20,76.4,4.58,84,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,6,0,0,,,
UBC,2017,W,LLED,223,,001,WORLD ENGLISHES,"Deschambault, Ryan",24,79.25,4.38,87,70,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,12,1,0,,,
UBC,2017,W,LLED,223,,002,WORLD ENGLISHES,"Deschambault, Ryan",6,79.33,4.23,84,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,,,
UBC,2018,W,EDUC,210,,001,INT GLOBAL CITIZ,"Deschambault, Ryan",18,80.39,2.28,84,76,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,,,
UBC,2018,W,LLED,212,,001,LANG COMMUNITES,"Deschambault, Ryan",25,79.4,7.39,89,56,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,6,6,7,0,,,
UBC,2018,W,LLED,213,,001,INTRCLT COMM,"Deschambault, Ryan",19,78.84,6.41,89,67,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,6,3,0,,,
