Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,PHYS,159,,L2C,Introductory Physics Laboratory for Engineers,Jeff Young;Katherine Rink;Sydney Dufresne;Thomas Mattison,55,85.963636364,8.911007833,97.0,50.0,0,1,0,0,0,3,2,6,5,12,26
UBCV,2018,W,PHYS,159,,L2F,Introductory Physics Laboratory for Engineers,Alexander Sheyerman;Chenoa Van Den Boogaard;Isaac Beckie;Sydney Dufresne;Thomas Mattison;William H. Mccutcheon,53,83.490566038,10.016568278,96.0,39.0,1,0,0,0,0,7,2,3,12,11,17
UBCV,2019,W,ENPH,259,,101,Experimental Techniques,Alexandra Tully;Andre Marziali;Brandon Stuart;David Jones;Maxwell Werner;Sydney Dufresne,64,87.390625,3.782235786,94.0,77.0,0,0,0,0,0,0,0,1,13,32,18
UBCV,2019,W,PHYS,158,,201,Introductory Physics for Engineers II,Ashley Warner;Austin De St Croix;Caleb Sample;Chengshu Li;Fatemeh Aghaee Rad;Hao Jia;Ian Macphail-Bartley;Jiabin Yu;Jordan Fordyce;Jordan Hanania;Jordan Wilson-Gerow;Lara Maria Bartels;Lars Gitt;Maryam Rostamzadeh;Mia Au;Michael Hasinoff;Michelle Lam;Puranjay Gulati;Ryan Harvey;Stepan Fomichev;Sydney Dufresne;Tarun Tummuru;Vincent Wong;Yukiya Saito,331,69.018126888,12.506469991,99.0,0.0,9,19,43,36,46,37,36,40,40,12,13
UBCV,2019,W,PHYS,159,,L2T,Introductory Physics Laboratory for Engineers,Aaron Kraft;Jeff Young;Sarah Burke;Sydney Dufresne,47,84.340425532,5.657917099,93.0,68.0,0,0,0,0,0,2,2,4,11,19,9
UBCV,2019,W,PHYS,159,,LB2,Introductory Physics Laboratory for Engineers,Erfan Rezaie;Jiabin Yu;Sarah Burke;Sydney Dufresne;William H. Mccutcheon,51,85.784313725,7.777695611,94.0,59.0,0,0,1,1,0,2,2,0,7,19,19
UBCV,2020,W,PHYS,159,,L2J,Introductory Physics Laboratory for Engineers,Aaron Kraft;Ashley Warner;Jeremy Wong;Samia Sama;Sarah Burke;Shadab Ahamed Shadab Ahamed;Sydney Dufresne;Ziliang Ye,53,83.679245283,21.376455043,99.0,0.0,4,0,1,0,0,2,2,0,2,15,27
UBCV,2020,W,PHYS,159,,L2X,Introductory Physics Laboratory for Engineers,Ashley Warner;Jaidev Gill;Sarah Burke;Shadab Ahamed Shadab Ahamed;Sukhman Singh;Sydney Dufresne;William H. Mccutcheon,51,85.294117647,12.048724609,99.0,53.0,0,2,2,1,1,0,0,5,7,11,22
UBCV,2021,W,PHYS,159,,L2X,Introductory Physics Laboratory for Engineers,Ashley Warner;James Wu;Lesley Hill;Michael Sekatchev;Sarah Burke;Sydney Dufresne;William H. Mccutcheon,41,76.585365854,11.180285349,91.0,28.0,1,1,0,1,3,3,6,6,13,5,2
UBCV,2021,W,PHYS,159,,LC2,Introductory Physics Laboratory for Engineers,Ashley Warner;Edward Thoeng;Jaidev Gill;James Wu;Lesley Hill;Samikshya Sahu;Sarah Burke;Sydney Dufresne,32,79.875,17.65575845,96.0,0.0,2,0,1,0,0,0,3,2,11,7,6
