Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,UFOR,101,,201,INVNTRY & ASSESS,"Devisscher, Tahia;Nesbitt, Lorien",61,84.47,5.15,92,64,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,18,24,8,,,
UBCV,2018,W,UFOR,101,,201,Urban Forest Inventory and Assessment,Hyeone Park;Lorien Nesbitt;Sophie Nitoslawski;Tahia Devisscher,61,83.950819672,6.502374514,92.0,53.0,,,,,,,,,,,0,1,0,0,1,0,0,9,18,24,8,,,
UBCV,2019,W,UFOR,101,,201,Urban Forest Inventory and Assessment,Andrew Almas;Hyeone Park;Tahia Devisscher;Tyler Doucet,67,81.089552239,9.370701185,97.0,51.0,,,,,,,,,,,0,1,2,1,2,2,10,5,16,15,13,,,
UBCV,2020,W,UFOR,200,,101,Urban Forests and Well-Being,Claire Hicks;Hyeone Park;Tahia Devisscher;Ziyun Zeng,65,79.138461538,9.64507148,98.0,51.0,,,,,,,,,,,0,1,3,2,2,4,6,11,15,16,5,,,
UBCV,2020,W,UFOR,200,,102,Urban Forests and Well-Being,Claire Hicks;Hyeone Park;Tahia Devisscher;Ziyun Zeng,22,71.954545455,15.186075303,91.0,38.0,,,,,,,,,,,2,3,0,0,2,1,1,3,7,2,1,,,
UBCV,2020,W,UFOR,402,,101,"Urban Forestry Administration, Policy and Law",Cecil Konijnendijk;Kirsten Stevens;Sophie Nitoslawski;Tahia Devisscher,36,81.583333333,7.291384348,92.0,61.0,,,,,,,,,,,0,0,0,1,2,1,2,4,11,12,3,,,
UBCV,2020,W,UFOR,402,,102,"Urban Forestry Administration, Policy and Law",Cecil Konijnendijk;Kirsten Stevens;Sophie Nitoslawski;Tahia Devisscher,10,78.8,5.940445176,86.0,66.0,,,,,,,,,,,0,0,0,0,1,0,2,2,3,2,0,,,
UBCV,2021,W,UFOR,200,,101,Urban Forests and Well-Being,Claire Hicks;Everly Jazi;Everly Sarah Jazi;Johanna Leoni Bock;Tahia Devisscher,75,76.92,8.438585766,89.0,56.0,,,,,,,,,,,0,0,3,3,4,12,7,9,23,14,0,,,
UBCV,2021,W,UFOR,220,,101,Urban Forest Inventory and Assessment,Alexander Martin;Andrew Almas;Finn Koepf;Hyeone Park;Tahia Devisscher,75,79.373333333,6.415297034,94.0,62.0,,,,,,,,,,,0,0,0,2,1,7,8,19,21,14,3,,,
UBCV,2021,W,UFOR,400,,201,Urban Forestry Field School,Andrew Almas;Chanel Yee;Daniel Sax;Kaitlyn Pike;Laura Grant;Susan Day;Tahia Devisscher,51,82.156862745,5.416170415,92.0,71.0,,,,,,,,,,,0,0,0,0,0,2,3,12,12,17,5,,,
UBCV,2021,W,UFOR,402,,201,"Urban Forestry Administration, Policy and Law",Laura Grant;Shabnam Vaghaye-Negar;Tahia Devisscher,86,79.38372093,9.751221468,98.0,51.0,,,,,,,,,,,0,1,2,4,4,4,13,9,23,14,12,,,
UBCV,2021,W,UFOR,200,,101,Urban Forests and Well-Being,Tahia Devisscher,75,76.9,,89.0,56.0,,,,,,,,,,,,,,,,12,7,9,23,14,,79.0,84.0,70.0
UBCV,2021,W,UFOR,220,,101,Urban Forest Inventory and Assessment,Tahia Devisscher,75,79.4,,94.0,62.0,,,,,,,,,,,,,,,,7,8,19,21,14,,80.0,84.0,76.5
UBCV,2021,W,UFOR,400,,201,Urban Forestry Field School,Andrew Almas;Susan Day;Tahia Devisscher,51,82.2,,92.0,71.0,,,,,,,,,,,,,,,,,,12,12,17,,82.0,86.5,78.0
UBCV,2021,W,UFOR,402,,201,"Urban Forestry Administration, Policy and Law",Tahia Devisscher,86,79.4,,98.0,51.0,,,,,,,,,,,,,,,,,13,9,23,14,12,82.0,85.8,73.3
UBCV,2022,W,UFOR,200,,101,Urban Forests and Well-Being,Tahia Devisscher,88,81.1,,95.0,51.0,,,,,,,,,,,0,1,1,1,1,6,9,14,22,22,11,83.0,86.3,77.0
UBCV,2022,W,UFOR,220,,101,Urban Forest Inventory and Assessment,Tahia Devisscher,55,77.0,,91.0,39.0,,,,,,,,,,,1,0,0,2,2,4,13,11,12,9,1,77.0,82.5,73.0
UBCV,2023,W,UFOR,220,,201,Urban Forest Inventory and Assessment,Kenneth Byrne;Tahia Devisscher,42,73.3,,89.0,18.0,,,,,,,,,,,2,0,3,3,3,2,5,9,8,7,0,78.0,83.0,66.5
