Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2017,W,PSYO,121,,101,Introduction to Psychology: Personal Functioning,Cassidy Wallis;Derrick Wirtz;Shirley Hutchinson;Tatiana Sanchez;Zakary Draper,243,73.16872428,13.376629785,100.0,19.0,7,9,25,18,30,27,18,22,32,25,30,,,
UBCO,2017,W,PSYO,317,,001,Psychology of Creativity,Liane Gabora;Zakary Draper,86,78.686046512,10.626561203,100.0,46.0,1,1,3,2,6,3,12,14,21,12,11,,,
UBCO,2017,W,PSYO,353,,001,Psychological Aspects of Human Sexuality I,Crystal Lea Mundy;Crystal Mundy;Evanya Musolino;Jan Cioe;Kara Turcotte;Zakary Draper,186,76.440860215,10.935647007,94.0,16.0,2,3,7,7,17,15,26,26,39,25,19,,,
UBCO,2017,W,PSYO,355,,001,Forensic Psychology I,Gaelen Andrews;Michael Woodworth;Ran Wei;Stephen Porter;Zakary Draper,190,76.057894737,12.199913947,96.0,22.0,6,5,10,1,16,13,27,27,36,33,16,,,
UBCO,2018,W,PSYO,372,,001,Research Methods and Statistics,Kimberley Kaseweter;Stefanie Ciszewski;Zakary Draper,32,85.90625,6.457600548,97.0,70.0,0,0,0,0,0,1,0,5,5,12,9,,,
UBCO,2018,W,PSYO,373,,001,Advanced Research Methods and Statistics,Brian O'Connor;Kimberley Kaseweter;Zakary Draper,26,85.0,4.715930449,93.0,72.0,0,0,0,0,0,0,1,2,5,16,2,,,
UBCO,2018,W,PSYO,507,,001,Advanced Statistics and Research Methods,Brian O'Connor;Zakary Draper,7,88.857142857,3.97611919,93.0,82.0,0,0,0,0,0,0,0,0,1,2,4,,,
UBCO,2019,W,PSYO,372,,001,Research Methods and Statistics,Jan Cioe;Kimberley Kaseweter;Nina Gregoire;Stefanie Ciszewski;Zakary Draper,33,83.909090909,10.533766054,97.0,55.0,0,0,1,0,3,3,0,0,5,10,11,,,
UBCO,2019,W,PSYO,373,,001,Advanced Research Methods and Statistics,Brian O'Connor;Kimberley Kaseweter;Zakary Draper,22,85.545454545,4.055886642,93.0,76.0,0,0,0,0,0,0,0,1,9,7,5,,,
UBCO,2019,W,PSYO,507,,001,Advanced Statistics and Research Methods,Brian O'Connor;Zakary Draper,7,86.857142857,7.646972635,94.0,74.0,0,0,0,0,0,0,1,0,2,0,4,,,
UBCO,2020,W,PSYO,372,,001,Research Methods and Statistics,Jan Cioe;Kimberley Kaseweter;Leanne Ten Brinke;Nina Gregoire;Rebecca Godard;Zakary Draper,33,86.181818182,7.946911922,95.0,49.0,1,0,0,0,0,0,0,2,4,15,11,,,
UBCO,2020,W,PSYO,373,,001,Advanced Research Methods and Statistics,Brian O'Connor;Rebecca Godard;Zakary Draper,30,84.0,4.541000953,94.0,74.0,0,0,0,0,0,0,1,2,12,13,2,,,
UBCO,2021,W,PSYO,372,,001,Research Methods and Statistics,Alyssa Truong;Jan Cioe;Jason Scott;Jayme Stewart;Leanne Ten Brinke;Rebecca Godard;Zakary Draper,34,85.823529412,4.482089531,96.0,77.0,0,0,0,0,0,0,0,4,8,15,7,,,
UBCO,2023,S,PSYO,271,,101,Introduction to Data Analysis,Zakary Draper,53,69.5,,93.0,0.0,4,3,4,1,3,7,6,2,10,3,4,74.0,83.5,62.5
