Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,POLI,369,A,001,,"Dauvergne, Peter",66,75.15,8.19,86,33,65,1,0,0,0,0,0,0,1,0,1,1,1,0,3,9,12,20,16,3,0
UBC,2002,W,POLI,369,A,002,,"Dauvergne, Peter",61,76.26,7.69,88,44,60,1,0,0,0,0,0,0,0,1,1,0,1,1,3,6,10,19,12,8,0
UBC,2002,W,POLI,464,A,003,PROB INTRL RELTN,"Dauvergne, Peter",16,79.44,6.21,90,68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,3,1
UBC,2003,W,POLI,369,A,002,,"Dauvergne, Peter",70,76.47,7.9,87,50,70,0,0,0,0,0,0,0,0,0,0,1,3,2,2,5,8,26,13,10,0
UBC,2005,W,POLI,375,A,001,GLOB ENV POLI,"Dauvergne, Peter",68,74.84,9.18,90,35,67,1,0,0,0,0,0,0,1,0,1,2,1,2,4,6,15,17,13,6,1
UBC,2005,W,POLI,462,,001,INTRL REL THEORY,"Dauvergne, Peter",16,80.79,4.89,87,72,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0
UBC,2005,W,POLI,562,A,001,TOP IN INTER REL,"Dauvergne, Peter",15,84,1.73,87,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
UBC,2011,W,POLI,562,B,001,TOP IN INTER REL,"Dauvergne, Peter",15,85.4,3.07,91,78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1
UBC,2012,W,POLI,562,B,001,TOP IN INTER REL,"Dauvergne, Peter",10,83.2,4.26,90,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1
UBC,2013,W,POLI,562,B,001,TOP IN INTER REL,"Dauvergne, Peter",13,85.38,2.22,88,82,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
UBC,2016,W,POLI,375,A,001,GLOB ENV POLI,"Dauvergne, Peter",75,75.66,5.83,91,60,74,0,1,0,0,0,0,0,0,0,0,0,0,1,4,11,24,10,18,5,1
UBC,2016,W,POLI,375,A,002,GLOB ENV POLI,"Dauvergne, Peter",78,75.62,7.25,86,41,75,1,1,0,0,0,0,0,0,1,1,0,1,1,6,8,13,22,17,7,0
UBC,2016,W,POLI,562,A,001,TOP IN INTER REL,"Dauvergne, Peter",12,84.83,2.44,88,82,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
UBC,2017,W,POLI,375,A,001,GLOB ENV POLI,"Dauvergne, Peter",81,78.56,8.84,87,8,80,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,10,23,36,9,0
UBC,2017,W,POLI,375,A,002,GLOB ENV POLI,"Dauvergne, Peter",78,78.36,11.34,90,7,76,2,0,0,0,1,0,1,0,0,2,0,1,0,0,1,4,24,32,13,1
UBC,2017,W,POLI,562,A,001,TOP IN INTER REL,"Dauvergne, Peter",13,85.38,2.84,91,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1
UBC,2018,W,POLI,375,A,001,GLOB ENV POLI,"Dauvergne, Peter",75,78.88,4.66,91,58,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,23,36,2,2
UBC,2018,W,POLI,375,A,002,GLOB ENV POLI,"Dauvergne, Peter",81,80.44,6.35,88,41,77,1,1,0,2,0,0,0,0,1,1,0,0,0,1,3,5,8,41,19,0
