Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,BAPA,500,,001,MNG'L ECONOMICS,"Davidoff, Thomas",54,81.61,4.23,88,71,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,33,8,0
UBC,2009,W,BAPA,500,,002,MNG'L ECONOMICS,"Davidoff, Thomas",33,80.18,5.18,88,68,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,17,4,0
UBC,2009,W,BAPA,500,,003,MNG'L ECONOMICS,"Davidoff, Thomas",29,80.21,5.45,88,68,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,15,4,0
UBC,2009,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",25,84.36,2.66,89,81,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0
UBC,2010,W,BAPA,500,,001,MNG'L ECONOMICS,"Davidoff, Thomas",45,83,2.82,89,78,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,9,0
UBC,2010,W,BAPA,500,,003,MNG'L ECONOMICS,"Davidoff, Thomas",35,83.06,2.88,89,77,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,8,0
UBC,2010,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",28,82.29,2.52,86,78,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,7,0
UBC,2011,W,BAPA,500,,001,MNG'L ECONOMICS,"Davidoff, Thomas",37,81.65,4.73,89,71,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,10,13,0
UBC,2011,W,BAPA,500,,002,MNG'L ECONOMICS,"Davidoff, Thomas",44,83.5,4.92,91,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,13,17,4
UBC,2011,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",46,82.59,4.88,93,72,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,14,3
UBC,2012,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",39,75.92,9.54,90,30,36,1,2,0,0,0,0,0,1,0,1,0,0,0,2,3,9,9,11,1,1
UBC,2012,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",37,74.54,6.39,86,61,37,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,9,6,2,0
UBC,2013,W,BAPA,550,,001,FND MGR ECON,"Davidoff, Thomas",55,79.65,7.23,97,68,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,19,7,5
UBC,2013,W,BAPA,550,,002,FND MGR ECON,"Davidoff, Thomas",55,80.82,6.48,93,68,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,16,8,7
UBC,2013,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",41,83.03,3.58,87,74,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,16,0
UBC,2013,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",39,76.33,8,93,57,39,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,7,11,4,5,2
UBC,2013,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",40,72.48,10.61,90,54,40,0,0,0,0,0,0,0,0,0,0,1,4,7,3,4,3,4,8,5,1
UBC,2014,W,BAPA,550,,001,FND MGR ECON,"Davidoff, Thomas",41,81.51,6.85,94,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,12,9,5
UBC,2014,W,BAPA,550,,002,FND MGR ECON,"Davidoff, Thomas",43,79.23,7.96,97,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,11,5,5
UBC,2014,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",29,82.34,5.41,91,72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,5,4
UBC,2014,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",42,80.36,7.16,95,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,7,10,12,3
UBC,2014,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",41,75.68,7.22,92,60,41,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,9,8,8,3,2
UBC,2015,W,BAPA,550,,001,FND MGR ECON,"Davidoff, Thomas",50,80.86,7.33,94,68,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,13,9,7
UBC,2015,W,BAPA,550,,002,FND MGR ECON,"Davidoff, Thomas",49,82.2,8.62,98,68,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,13,6,13
UBC,2015,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",31,83.45,7.4,96,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,7,8
UBC,2015,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",42,78.17,3.44,85,72,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,1,0
UBC,2015,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas;Somerville, Craig Tsuriel",40,75.42,5.36,85,55,38,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,13,12,6,1,0
UBC,2016,W,BAUL,500,,001,REAL ESTATE MRKT,"Davidoff, Thomas",29,83.72,3.34,90,77,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,11,1
UBC,2016,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",37,85.62,7.86,95,72,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,9,5,15
UBC,2016,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas",33,84.21,6.87,97,71,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,8,8
UBC,2016,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas",27,80.07,17.86,96,0,26,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,5,6,3,8
UBC,2017,W,BAPA,550,,001,FND MGR ECON,"Davidoff, Thomas",48,77.17,6.44,88,64,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,11,11,7,0
UBC,2017,W,BAPA,550,,002,FND MGR ECON,"Davidoff, Thomas",49,76.08,6.33,88,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,7,13,4,0
UBC,2017,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",25,83.68,5.72,94,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,8,4
UBC,2017,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas",35,86.23,6.94,99,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,14
UBC,2017,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas",37,86,7.7,98,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,9,14
UBC,2018,W,BAUL,501,,001,REAL ESTATE INV,"Davidoff, Thomas",23,85.09,6.42,98,76,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,7
UBC,2018,W,COMM,405,,101,REAL EST FINAN,"Davidoff, Thomas",36,82.14,8.82,95,68,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,7,7,8
UBC,2018,W,COMM,405,,102,REAL EST FINAN,"Davidoff, Thomas",37,83.83,10.1,98,68,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,2,6,4,14
