Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,GEOG,410,,101,ENV & SOCIETY,"Nixon, Denver",42,77.21,5.47,85,60,42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,9,18,2,0
UBC,2012,W,GEOG,410,,201,ENV & SOCIETY,"Nixon, Denver",36,75.81,6.87,86,50,36,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,10,12,9,1,0
UBC,2013,W,GEOG,410,,101,ENV & SOCIETY,"Nixon, Denver",40,77.08,7.16,87,50,40,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,3,8,16,4,0
UBC,2014,W,BIOL,448,G,201,DIRECTED STUDIES,"McPhee, Siobhan;Nixon, Denver;Oberg, Gunilla",16,78,7.78,87,60,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,7,3,0
UBC,2014,W,GEOG,211,,101,STATE OF EARTH,"Nixon, Denver",114,68.95,13.09,95,15,102,8,3,1,0,0,1,0,1,6,8,5,4,8,16,18,17,11,12,7,4
UBC,2014,W,GEOG,310,,101,ENVIR & SUST,"Nixon, Denver",96,74.33,11.83,93,0,94,1,1,0,0,1,0,0,0,0,1,1,3,5,7,14,15,13,19,15,2
UBC,2014,W,GEOG,318,,201,SUST CHNG ENVR,"Nixon, Denver",34,74.27,12.63,88,11,32,1,1,0,0,0,1,0,0,0,1,0,0,0,2,3,7,9,8,3,0
UBC,2014,W,GEOG,319,,201,ENV IMPACT ASSMT,"Nixon, Denver",62,74.11,15.13,90,0,60,2,0,0,0,2,0,0,0,0,2,1,0,0,2,5,14,16,15,6,1
UBC,2014,W,GEOG,410,,101,ENV & SOCIETY,"Nixon, Denver",40,77.6,3.71,88,69,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,19,10,2,0
UBC,2014,W,GEOG,446,,201,TOPICS IN GEOG,"Nixon, Denver",22,76.32,7.75,87,50,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,6,4,4,0
UBC,2018,W,GEOG,457,,201,SOCIAL GEOGRAPHY,"Nixon, Denver",18,78.24,4.82,86,68,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,6,4,3,0
