Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CHBE,364,,201,ENVIRO CHML LAB,"Duff, Sheldon",4,84.5,4.8,91,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
UBC,2002,W,CHBE,373,,101,WTR POLLUTION CT,"Duff, Sheldon",36,79.36,8.79,93,61,36,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,7,7,9,3
UBC,2002,W,CHBE,489,,101,POL CTRL P&P IND,"Duff, Sheldon",4,68,12.19,77,50,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0
UBC,2002,W,CHBE,579,C,201,ENV PRO CONT P&P,"Duff, Sheldon",6,81.17,3.25,85,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
UBC,2002,W,LLED,520,A,061,,"Duff, Patricia",20,88.55,1.82,94,86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
UBC,2003,W,CHBE,364,,201,ENVIRO CHML LAB,"Duff, Sheldon",6,80.83,3.54,87,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
UBC,2003,W,CHBE,373,,101,WTR POLLUTION CT,"Duff, Sheldon",46,75.29,9.41,92,54,45,0,0,1,0,0,0,0,0,0,0,1,1,2,7,6,7,7,5,4,5
UBC,2003,W,LLED,520,A,061,,"Duff, Patricia",14,88.07,2.87,94,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5
UBC,2005,W,CHBE,373,,101,WTR POLLUTION CT,"Duff, Sheldon",62,72.54,9.48,92,50,61,0,1,0,0,0,0,0,0,0,0,3,3,5,4,7,16,8,9,3,3
UBC,2006,W,CHBE,373,,101,WTR POLLUTION CT,"Duff, Sheldon",62,77.48,10.75,93,52,61,0,0,0,1,0,0,0,0,0,0,2,3,4,2,7,7,4,11,14,7
UBC,2006,W,ENGL,112,,02R,STRAT UNIV WRIT,"Roberts, Duff",33,72.19,6.19,85,60,32,0,1,0,0,0,0,0,0,0,0,0,0,4,1,6,8,9,3,1,0
UBC,2006,W,ENGL,112,,04U,STRAT UNIV WRIT,"Roberts, Duff",28,71.46,7.12,85,57,28,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,6,6,3,1,0
UBC,2006,W,ENGL,112,,08N,STRAT UNIV WRIT,"Roberts, Duff",24,69.17,12,80,20,23,1,0,0,0,0,0,1,0,0,1,0,1,0,4,7,3,6,2,0,0
UBC,2006,W,FREN,540,,201,FR & COMP STYLTC,"Duff, Patricia",7,88.86,1.86,91,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
UBC,2006,W,LLED,565,F,221,SP CRS SBJCT FLD,"Duff, Patricia",18,88.33,4.16,93,74,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,7
UBC,2006,W,LLED,573,A,061,SEC LANG ACQ,"Duff, Patricia",21,87.95,2.36,92,84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7
UBC,2006,W,SPAN,550,,201,PEN&LAT AM L&LIT,"Duff, Patricia",6,87,0.63,88,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
UBC,2007,W,APSC,498,G,201,DIRECTED STUDIES,"Duff, Sheldon",13,82.38,6.27,91,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,2
UBC,2007,W,CHBE,364,,201,ENVIRO CHML LAB,"Duff, Sheldon;Kannangara, Dhaneshwarie",26,77.65,8.41,89,50,26,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,1,10,5,0
UBC,2007,W,CHBE,373,,101,WTR POLLUTION CT,"Duff, Sheldon",97,74.2,12.27,97,30,93,3,1,0,0,0,0,0,1,2,3,2,1,8,14,12,13,9,8,17,9
UBC,2007,W,ENGL,112,,01Q,STRAT UNIV WRIT,"Roberts, Duff",28,70.32,5.84,80,58,28,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,10,6,1,0,0
UBC,2007,W,ENGL,112,,02F,STRAT UNIV WRIT,"Roberts, Duff",34,68.66,9.73,83,45,31,1,2,0,0,0,0,0,0,1,1,1,4,3,0,8,5,6,4,0,0
UBC,2007,W,ENGL,112,,04R,STRAT UNIV WRIT,"Roberts, Duff",35,69.56,5.8,83,60,32,0,3,0,0,0,0,0,0,0,0,0,0,2,10,8,4,6,2,0,0
UBC,2007,W,ENGL,112,,05E,STRAT UNIV WRIT,"Roberts, Duff",32,70.5,8.83,85,46,31,1,0,0,0,0,0,0,0,1,1,1,1,2,4,6,6,5,5,1,0
UBC,2007,W,ENGL,222,,016,LIT CANADA,"Roberts, Duff",37,69.83,13.85,85,0,34,1,2,0,0,1,0,0,0,0,1,0,1,3,2,6,12,4,5,1,0
UBC,2007,W,ENGL,478,A,001,POSTCOLONIAL LIT,"Roberts, Duff",24,72.96,10.61,90,33,22,1,1,0,0,0,0,0,1,0,1,0,0,0,1,5,5,4,6,0,1
UBC,2007,W,LLED,565,A,061,SP CRS SBJCT FLD,"Duff, Patricia",20,86.45,2.82,91,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,3
UBC,2007,W,LLED,565,F,221,SP CRS SBJCT FLD,"Duff, Patricia",10,86.89,2.8,93,84,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1
UBC,2009,S,ENGL,110,,92C,INTRO LITERATURE,"Roberts, Duff",31,68.2,6.49,80,57,30,0,1,0,0,0,0,0,0,0,0,0,2,5,8,3,5,5,2,0,0
UBC,2009,S,ENGL,112,,925,STRAT UNIV WRIT,"Roberts, Duff",32,66.38,7.98,81,50,32,0,0,0,0,0,0,0,0,0,0,1,3,9,3,6,5,1,4,0,0
UBC,2009,W,CHBE,364,,201,ENVIRO CHML LAB,"Duff, Sheldon",34,87.35,5.29,94,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,15
UBC,2009,W,ENGL,112,,03C,STRAT UNIV WRIT,"Roberts, Duff",33,68.94,7.82,80,46,32,1,0,0,0,0,0,0,0,1,1,1,2,2,3,6,12,4,2,0,0
UBC,2009,W,ENGL,112,,05C,STRAT UNIV WRIT,"Roberts, Duff",33,68.09,12.46,80,8,32,1,0,0,0,1,0,0,0,0,1,1,0,2,7,9,4,5,4,0,0
UBC,2009,W,ENGL,112,,06N,STRAT UNIV WRIT,"Roberts, Duff",33,65.76,17.01,80,3,30,3,0,0,0,1,1,0,0,1,3,0,3,1,5,5,8,4,4,0,0
UBC,2009,W,ENGL,112,,08N,STRAT UNIV WRIT,"Roberts, Duff",34,64.88,17.65,80,5,31,3,0,0,0,1,1,1,0,0,3,2,1,0,4,8,10,2,4,0,0
UBC,2009,W,ENGL,222,,007,LIT CANADA,"Roberts, Duff",42,68.02,14.28,88,10,39,3,0,0,0,0,1,1,1,0,3,0,1,3,5,9,7,10,2,2,0
UBC,2009,W,ENGL,227,,006,PROSE,"Roberts, Duff",45,70.14,5.88,81,55,44,0,1,0,0,0,0,0,0,0,0,0,1,3,8,13,8,8,3,0,0
UBC,2009,W,LLED,573,A,061,SEC LANG ACQ,"Duff, Patricia",20,87.5,3.33,94,83,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7
UBC,2009,W,LLED,601,B,062,DOCTORAL SEMINAR,"Duff, Patricia",11,86.64,2.8,89,79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
UBC,2010,S,ENGL,110,,926,INTRO LITERATURE,"Roberts, Duff",36,69.42,8.47,85,50,36,0,0,0,0,0,0,0,0,0,0,2,1,4,8,5,5,6,4,1,0
UBC,2010,S,ENGL,110,,92B,INTRO LITERATURE,"Roberts, Duff",35,65.97,12.4,85,15,32,2,1,0,0,0,1,0,0,1,2,0,3,5,8,4,3,6,2,1,0
UBC,2010,W,ENGL,100,,002,"READ, WRITE LIT","Roberts, Duff",24,74.7,6.77,85,60,23,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,5,4,6,2,0
UBC,2010,W,ENGL,112,,03B,STRAT UNIV WRIT,"Roberts, Duff",32,72.19,6.84,82,58,32,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,5,9,6,0,0
UBC,2010,W,ENGL,112,,03Q,STRAT UNIV WRIT,"Roberts, Duff",34,70.48,12.83,82,15,31,2,1,0,0,0,1,0,0,1,2,1,0,1,1,5,9,7,7,0,0
