Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,FNH,473,,001,Nutrition Education in the Community,Candice Rideout;Caroline Pollock;Francine Emmonds;Francine Marion Emmonds;Maria Fernanda Mujica Coopman;Maria Mujica Coopman,71,81.450704225,5.070330314,89.0,62.0,0,0,0,,,,5,9,41,13,0
UBCV,2016,W,FNH,355,,002,International Nutrition,Anna Marjorie Ringsred;Anna Ringsred;Brenna Boyang Han;Brenna Han;Candice Rideout;Caroline Pollock;Francine Emmonds;Francine Marion Emmonds;Joelle Erika Jacobsen;Joelle Jacobsen;Laurel Burton;Marissa Alexander,279,76.71326165,8.824642763,95.0,48.0,1,4,9,7,26,26,34,50,72,38,12
UBCV,2016,W,FNH,473,,001,Applied Public Health Nutrition,Francine Emmonds;Francine Marion Emmonds;Gail Hammond;Morvarid Mehrtash;Roselynn Verwoord,71,84.08450704,4.308617541,91.0,73.0,0,0,0,0,0,0,4,8,19,39,1
UBCV,2016,W,FNH,477,,001,Nutrition and Disease Prevention,Abeer Aljaadi;Abeer Mohammed Aljaadi;Elizabeth Marie Novak;Elizabeth Novak;Francine Emmonds;Francine Marion Emmonds;Hiral Sejpal;Latika Raisinghani,44,76.38636364,7.045420446,93.0,62.0,0,0,0,1,6,4,7,11,10,4,1
UBCV,2017,S,FNH,355,,921,International Nutrition,Brenna Boyang Han;Brenna Han;Candice Rideout;Caroline Pollock;Francine Emmonds;Francine Marion Emmonds;Joelle Jacobsen;Laurel Burton,182,78.82967033,8.280216648,94.0,44.0,1,1,4,3,9,14,16,32,55,39,8
UBCV,2017,W,FNH,355,,001,International Nutrition,Alyssa Mari Thurston;Brenna Han;Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Latika Raisinghani;Rose Brockington Cameron;Rose Cameron,198,79.292929293,8.273561985,94.0,42.0,1,0,3,8,11,9,21,32,53,53,7
UBCV,2017,W,FNH,355,,002,International Nutrition,Brenna Han;Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Katia Caballero De La Pena;Latika Raisinghani;Rose Brockington Cameron;Rose Cameron;Tebogo Leepile,260,79.453846154,7.894195647,95.0,50.0,0,2,2,6,15,14,31,48,73,48,21
UBCV,2017,W,FNH,371,,001,Human Nutrition Over The Life Span,Abrar Mohammed J Turki;Abrar Turki;Brenna Han;Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Kaitlyn Laurel Isabella Samson;Kaitlyn Samson,161,76.347826087,8.149586546,91.0,51.0,0,1,7,6,12,14,26,30,38,22,5
UBCV,2017,W,FNH,473,,001,Applied Public Health Nutrition,Alejandra Wiedeman Manriquez;Francine Emmonds;Francine Marion Emmonds;Gail Hammond;Maria Fernanda Mujica Coopman;Maria Mujica Coopman;Shannon Lea Steele;Shannon Steele,67,84.701492537,5.416067357,92.0,57.0,0,0,1,0,0,0,3,3,16,34,10
UBCV,2017,W,FNH,477,,001,Nutrition and Disease Prevention,Abeer Aljaadi;Elizabeth Marie Novak;Elizabeth Novak;Francine Emmonds;Francine Marion Emmonds;Gurleen Boparai;Mohammad Saroar Zubair;Silvana Kalliny;Sinead Feeney,33,81.606060606,4.053851517,91.0,73.0,0,0,0,0,0,0,4,5,15,8,1
UBCV,2018,W,FNH,355,,001,International Nutrition,Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Kaitlyn Laurel Isabella Samson;Kaitlyn Samson;Katia Caballero De La Pena;Yi-Min Ng;Zachary Daly;Zachary R Daly,199,81.442211055,8.741831809,99.0,29.0,1,2,1,1,5,8,25,32,44,51,29
UBCV,2018,W,FNH,355,,002,International Nutrition,Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Harniesh Kaur Takhar;Harniesh Takhar;Jordie Alexandra Janice Fischer;Jordie Fischer;Katia Caballero De La Pena;Yi-Min Ng;Zachary Daly;Zachary R Daly,185,78.751351351,8.69425165,96.0,57.0,0,0,4,6,10,20,23,35,33,33,21
UBCV,2018,W,FNH,455,,001,Applied International Nutrition,Crystal Dawn Karakochuk;Francine Emmonds;Francine Marion Emmonds;Jordie Alexandra Janice Fischer;Jordie Fischer;Kara Vogt;Shannon Steele,65,82.292307692,4.418438203,92.0,70.0,0,0,0,0,0,1,2,14,27,18,3
UBCV,2018,W,FNH,473,,001,Applied Public Health Nutrition,Francine Emmonds;Francine Marion Emmonds;Gail Hammond;Mirjana Valdes;Shannon Steele,70,83.657142857,7.268924754,92.0,39.0,1,0,0,0,0,2,1,9,18,33,6
