Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2017,W,PSYC,102,,006,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Catherine Rawn;Holly Engstrom;Rachel Ann King;Rachel King;Rand Mahmoud;Stefan Bourrier;Stefan Christian Bourrier,306,68.395424837,15.437993753,96.0,0.0,24,23,20,35,30,26,42,33,37,19,17,,,
UBCV,2017,W,PSYC,308,A,004,Social Psychology,Ara Norenzayan;Holly Engstrom;Seo Am Hur,156,69.057692308,13.762614336,98.0,32.0,11,9,15,21,13,20,20,15,8,11,13,,,
UBCV,2017,W,PSYC,404,,102,Psychology of Religion,Holly Engstrom;Kristin Laurin,39,73.230769231,9.980142227,93.0,43.0,1,0,1,3,5,9,3,7,6,2,2,,,
UBCV,2018,W,PSYC,308,A,002,Social Psychology,Andrew Rivers;Holly Engstrom,121,69.975206612,13.099912729,95.0,11.0,4,6,8,16,12,14,12,13,20,12,4,,,
UBCV,2018,W,PSYC,308,A,003,Social Psychology,Holly Engstrom;Kristin Laurin,118,70.449152542,11.315670594,91.0,16.0,3,5,8,9,16,14,21,16,21,3,2,,,
UBCV,2019,W,PSYC,217,,007,Research Methods,Brandon Tomm;Cindel White;Grace Truong;Holly Engstrom;William Murch,91,69.373626374,10.581586052,94.0,40.0,2,4,13,7,9,18,11,10,8,7,2,,,
UBCV,2019,W,PSYC,217,,009,Research Methods,Andrew Rivers;Brandon Tomm;Cindel White;Holly Engstrom;William Murch,88,70.579545455,10.883628527,92.0,36.0,1,2,10,6,17,9,15,3,13,8,4,,,
UBCV,2020,W,PSYC,217,,005,Research Methods,Holly Engstrom;Lucille De Souza;Mark Lam;Natasha Parent;Wen Qian Zhang,97,73.422680412,8.955718671,92.0,41.0,1,0,3,9,10,18,17,8,23,4,4,,,
UBCV,2020,W,PSYC,217,,006,Research Methods,Holly Engstrom;Lucille De Souza;Mark Lam;Natasha Parent;Wen Qian Zhang,96,75.875,9.945377133,92.0,47.0,1,0,8,4,5,12,13,10,23,14,6,,,
UBCV,2020,W,PSYC,218,,003,Analysis of Behavioural Data,Enda Tan;Holly Engstrom;Kristin Laurin;Matthew Cooke;Meghna Srivastava,98,72.275510204,14.608132612,96.0,29.0,7,4,6,7,12,3,10,12,18,8,11,,,
UBCV,2020,W,PSYC,218,,004,Analysis of Behavioural Data,Enda Tan;Gabriel Smith;Holly Engstrom;Kristin Laurin;Matthew Cooke;Meghna Srivastava,96,73.489583333,12.226799548,97.0,16.0,2,4,5,7,7,9,13,20,16,8,5,,,
UBCV,2021,W,PSYC,218,,003,Analysis of Behavioural Data,Alison Tracy;Grayson Mullen;Holly Engstrom;Irein Thomas;Kristin Laurin;Qinye Yu;Rachel Lai,97,67.773195876,18.219440827,100.0,16.0,12,10,8,10,3,8,10,8,10,8,10,,,
UBCV,2021,W,PSYC,218,,004,Analysis of Behavioural Data,Alison Tracy;Grayson Mullen;Holly Engstrom;Irein Thomas;Kristin Laurin;Qinye Yu;Rachel Lai,93,71.032258065,16.954832332,100.0,13.0,8,5,10,3,6,11,8,11,11,7,13,,,
UBCV,2021,W,PSYC,218,,006,Analysis of Behavioural Data,Alison Tracy;Frances Chen;Grace Truong;Grayson Mullen;Holly Engstrom;Irein Thomas;Qinye Yu;Rachel Lai,97,69.773195876,17.306974241,100.0,13.0,10,7,6,7,8,11,7,7,16,9,9,,,
UBCV,2021,W,PSYC,308,A,001,Social Psychology,Elizabeth Dunn;Holly Engstrom;Ian Hohm,92,76.52173913,11.198977839,94.0,23.0,1,2,5,2,5,9,12,12,21,18,5,,,
UBCV,2021,W,PSYC,308,A,002,Social Psychology,Elizabeth Dunn;Holly Engstrom;Ian Hohm,89,78.337078652,11.782058606,95.0,9.0,2,0,1,4,2,9,13,8,22,20,8,,,
UBCV,2022,W,PSYC,308,A,902,Social Psychology,Holly Engstrom,179,74.8,,97.0,46.0,1,7,8,10,17,17,26,30,30,22,11,76.0,82.0,68.5
