Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2016,W,DENT,756,,001,ORAL RADIOLOGY,"Ekk, Jodi;Ford, Nancy;MacDonald, David",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2017,W,DENT,430,,001,DENT III ICD,"Brondani, Mario;Carswell, Denise;Ekk, Jodi;Garcia Fulle De Owen, Maria Is;Lin, James;MacDonald, David;Matthew, Ian;Nguyen, Caroline;Richman, Joy Marion;Whitney, Eli;Yen, Edwin H",46,79.22,2.34,85,72,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,23,1,0,,,
UBC,2017,W,DENT,756,,001,ORAL RADIOLOGY,"Ekk, Jodi;Ford, Nancy;MacDonald, David",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBCV,2017,W,DENT,430,,001,Dentistry III: Intermediate Clinical Dentistry,Anthony Mccullagh;Caroline Nguyen;David Macdonald;Denise Carswell;Edwin H Yen;Eli Whitney;Ian Matthew;James Lin;James Richardson;Jeffrey Martin Coil;Jodi Ekk;Jolanta Aleksejuniene;Joy Marion Richman;Maria Isabel Garcia Fulle De Owen;Mario Brondani;Mark Fogelman;N Dorin Ruse;S Bryant;Virginia Diewert,47,79.0,2.750494027,85.0,69.0,,,,,,,,,,,0,0,0,0,0,1,3,19,23,1,0,,,
UBCV,2018,W,DENT,430,,001,Dentistry III: Intermediate Clinical Dentistry,Caroline Nguyen;David Macdonald;Denise Carswell;Edwin H Yen;Eli Whitney;Ian Matthew;James Lin;Jodi Ekk;Joy Marion Richman;Maria Isabel Garcia Fulle De Owen;Mario Brondani,59,78.305084746,3.996784213,85.0,58.0,,,,,,,,,,,0,0,,,,1,8,26,22,1,0,,,
UBCV,2019,W,DENT,410,,001,Dentistry I: Foundations of Clinical Dentistry,Adriana Pigozzo Manso;Babak Chehroudi;Carrie Krekoski;Charles Shuler;Clive R Roberts;Clive Roberts;David Sweet;David Tobias;Denise Carswell;Derek Clease;Emil Sztopa;Fernanda Almeida;Gary Wong;Hin Chung Pau;Hui Chen;Ian Matthew;Ingrid Emanuels;Jeffrey Martin Coil;Jodi Ekk;Jolanta Aleksejuniene;Kavita Mathu-Muju;Lamia El-Adwar;Lauren Milchman;Maria Isabel Garcia Fulle De Owen;Mario Brondani;Markus Haapasalo;Menachem Fogelman;Nancy Black;Nancy Ford;Nesrine Mostafa;Nirpjit Dosanjh;Pawel Kindler;Peter Murphy;Philip Crowell;Rafat Sobouti;Riki Gottlieb;S Bryant;Shimae Soheilipour;Siddharth Vora;Susan Schmitz,55,85.509090909,2.911488911,91.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,3,13,34,5,,,
UBCV,2019,W,DENT,420,,001,Dentistry II: Basic Clinical Dentistry,Adriana Pigozzo Manso;Anthony Mccullagh;Brian Chanpong;Carrie Krekoski;Claudia Krebs;David Macdonald;David Sweet;David Tobias;Derek Clease;Edward Putnins;Eli Whitney;Fang-Yeu Poh;Fernanda Almeida;Hin Chung Pau;Hui Chen;Jodi Ekk;Jolanta Aleksejuniene;Karen Mary Gardner;Kavita Mathu-Muju;Lamia El-Adwar;Leeann Donnelly;Maria Isabel Garcia Fulle De Owen;Mario Brondani;Menachem Fogelman;N Dorin Ruse;Nancy Black;Pawel Kindler;Penny Hatzimanolakis;Peter Murphy;Philip Crowell;Rafat Sobouti;S Bryant;Sabina Reitzik;Sepehr Zahedi;Shimae Soheilipour;Siddharth Vora;Susan Schmitz;Suzanne Carlisle;Vincent Lee,56,84.428571429,3.985688684,92.0,74.0,,,,,,,,,,,0,0,0,0,0,0,2,4,24,22,4,,,
UBCV,2019,W,DENT,430,,001,Dentistry III: Intermediate Clinical Dentistry,Adriana Pigozzo Manso;Ahmed Hieawy;Andrea Esteves;Angela Wong;Anna Preis;Anthony Mccullagh;Babak Chehroudi;Benjamin Pliska;Caroline Nguyen;Carrie Krekoski;Charles Shuler;Christopher Wyatt;David Macdonald;David Tobias;Denise Carswell;Derek Clease;Edward Putnins;Edwin H Yen;Eli Whitney;Emil Sztopa;Fang-Yeu Poh;Fernanda Almeida;Gary Wong;Hannu Larjava;Hugh Kim;Hui Chen;Ian Matthew;Ingrid Emanuels;James Lin;Jeffrey Martin Coil;Jodi Ekk;Jolanta Aleksejuniene;Joy Marion Richman;Kavita Mathu-Muju;Kenneth Chow;Lamia El-Adwar;Lari Hakkinen;Lauren Milchman;Leeann Donnelly;Lewei Zhang;Liat Tzur-Gadassi;Maria Isabel Garcia Fulle De Owen;Marilyn Blondahl;Mario Brondani;Markus Haapasalo;Maryam Taleghani;Menachem Fogelman;Nesrine Mostafa;Nicholas Tong;Philip Crowell;Rafat Sobouti;Riki Gottlieb;S Bryant;Sabina Reitzik;Sepehr Zahedi;Serena Kassam;Shimae Soheilipour;Siddharth Vora;Suzanne Carlisle;Vincent Lee,56,80.696428571,3.324398198,86.0,69.0,,,,,,,,,,,0,0,0,0,0,1,2,14,35,4,0,,,
UBCV,2019,W,DENT,440,,001,Dentistry IV: Complex Clinical Dentistry,Ahmed Hieawy;Andrea Esteves;Anna Preis;Anthony Mccullagh;Anu Korada;Babak Chehroudi;Benjamin Pliska;Charles Shuler;Christopher Wyatt;David Macdonald;Denise Carswell;Derek Clease;Edward Putnins;Edwin H Yen;Eli Whitney;Emil Sztopa;Gary Wong;Hugh Kim;Hui Chen;Ian Matthew;James Lin;Jodi Ekk;Jolanta Aleksejuniene;Kavita Mathu-Muju;Lamia El-Adwar;Lauren Milchman;Maria Isabel Garcia Fulle De Owen;Mario Brondani;Nesrine Mostafa;Nicholas Tong;Rafat Sobouti;Riki Gottlieb;S Bryant;Sabina Reitzik;Serena Kassam;Siddharth Vora;Suzanne Carlisle,61,83.62295082,2.530901911,88.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,5,37,19,0,,,
UBCV,2020,W,DENT,430,,001,Dentistry III: Intermediate Clinical Dentistry,Adriana Pigozzo Manso;Ahmed Hieawy;Alex Rosenczweig;Andrea Esteves;Anna Preis;Anthony Mccullagh;Benjamin Pliska;Caroline Nguyen;Carrie Krekoski;Christopher Mark Overall;Christopher Wyatt;David Macdonald;David Tobias;Denise Carswell;Edwin H Yen;Eli Whitney;Fang-Yeu Poh;Fernanda Almeida;Gary Wong;Hannu Larjava;Hugh Kim;Ian Matthew;Jeffrey Martin Coil;Jodi Ekk;Jolanta Aleksejuniene;Joy Marion Richman;Kavita Mathu-Muju;Kenneth Chow;Lamia El-Adwar;Lari Hakkinen;Lauren Milchman;Leeann Donnelly;Maria Isabel Garcia Fulle De Owen;Mario Brondani;Markus Haapasalo;Menachem Fogelman;Michael Flunkert;Nancy Ford;Nesrine Mostafa;Philip Crowell;Rafat Sobouti;S Bryant;Sepehr Zahedi;Serena Kassam;Shimae Soheilipour;Siddharth Vora;Vincent Lee;William Robert Mcdonald,56,80.482142857,5.145133876,87.0,50.0,,,,,,,,,,,0,,,,,,2,14,35,4,0,,,
UBCV,2022,W,DENT,420,,001,Dentistry II: Basic Clinical Dentistry,Jolanta Aleksejuniene;Fernanda Almeida;Nancy Black;Marilyn Blondahl;Dieter Bromme;Mario Brondani;S Bryant;David Buckles;Babak Chehroudi;Vivian Chow;Philip Crowell;Leeann Donnelly;Nirpjit Dosanjh;Luana Dutra de Carvalho;Jodi Ekk;Lamia El-Adwar;Ingrid Emanuels;Andrea Esteves;Rahil Faruqi;Michael Flunkert;Menachem Fogelman;Nancy Ford;Zahra Forghani;Maria Isabel Garcia Fulle de Owen;Salem Ghrebi;Richard Gilsig;Markus Haapasalo;Lari Hakkinen;Penny Hatzimanolakis;Salha Hawew;Ahmed Hieawy;Pawel Kindler;Carrie Krekoski;Hannu Larjava;Vincent Lee;David MacDonald;Linda Martens;Kavita Mathu-Muju;Ian Matthew;Anthony McCullagh;Lauren Milchman;Peter Murphy;Hossain Najar;Christopher Mark Overall;Hin Chung Pau;Anna Preis;Birinder Purewal;Edward Putnins;Asa Quon;Sabina Reitzik;Joy Marion Richman;N Dorin Ruse;Susan Schmitz;Charles Shuler;Rafat Sobouti;Shimae Soheilipour;Rana Tarzemany;Charlene Thiessen;David Tobias;Hsingchi von Bergmann;Siddharth Vora;Eli Whitney;Ellen Wu;Sepehr Zahedi;Lewei Zhang,57,81.4,,91.0,22.0,,,,,,,,,,,3,0,0,0,0,0,0,10,19,22,3,83.0,86.0,80.0
UBCV,2023,W,DENT,440,,001,Dentistry IV: Complex Clinical Dentistry,Mario Brondani;Jodi Ekk;Andrea Esteves;Michael Flunkert;Ahmed Hieawy;David MacDonald;Kavita Mathu-Muju;Ian Matthew;Sabina Reitzik;Nicholas Tong;Eli Whitney;Edwin H Yen,59,84.17,,91.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,32,25,1,84.0,86.0,82.0
