Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,MUSC,135,,001,OPERA REPERTR I,"Epp, Richard Arthur",14,79.93,11.95,97,55,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,3,1,4,,,
UBC,2002,W,MUSC,170,,001,LYRIC DICTION,"Epp, Richard Arthur",14,77,10.24,90,60,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,2,2,,,
UBC,2002,W,MUSC,235,,001,OPERA REPERTR 2,"Epp, Richard Arthur",5,86.4,9.76,98,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,,,
UBC,2002,W,MUSC,365,,001,SONG REPERTOIRE,"Epp, Richard Arthur",18,79.39,11.03,93,55,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,3,4,3,,,
UBC,2003,W,MUSC,135,,001,OPERA REPERTR I,"Epp, Richard Arthur",11,85.55,7.94,94,68,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,4,,,
UBC,2003,W,MUSC,170,,001,LYRIC DICTION,"Epp, Richard Arthur",17,76.44,13.2,96,56,16,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,4,2,3,,,
UBC,2003,W,MUSC,235,,001,OPERA REPERTR 2,"Epp, Richard Arthur",8,77.63,11.84,93,55,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,,,
UBC,2003,W,MUSC,465,,001,SONG REPERTRE II,"Epp, Richard Arthur",6,82.75,7.68,91,73,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,,
UBC,2005,W,MUSC,135,,001,OPERA REPERTR I,"Epp, Richard Arthur",11,81.36,10.92,96,63,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,2,3,,,
UBC,2005,W,MUSC,170,,001,LYRIC DICTION,"Epp, Richard Arthur",14,76.5,16.94,95,40,12,2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,2,2,4,,,
UBC,2005,W,MUSC,235,,001,OPERA REPERTR 2,"Epp, Richard Arthur",10,76.3,11.94,94,52,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,3,1,1,,,
UBC,2005,W,MUSC,465,,001,SONG REPERTRE II,"Epp, Richard Arthur",15,89.33,4.25,98,82,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,,,
UBC,2006,W,MUSC,135,,001,OPERA REPERTR I,"Epp, Richard Arthur",16,80.93,9.95,97,60,15,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,5,2,,,
UBC,2006,W,MUSC,170,,001,LYRIC DICTION,"Epp, Richard Arthur",26,83.36,8.95,96,56,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,6,5,7,,,
UBC,2006,W,MUSC,235,,001,OPERA REPERTR 2,"Epp, Richard Arthur",7,81.43,14.32,97,61,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3,,,
UBC,2006,W,MUSC,339,C,001,OPERA WORKSHOP 1,"Boothroyd, David;Epp, Richard Arthur;Hermiston, Nancy Jane",9,87.56,4.5,98,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,,,
UBC,2006,W,MUSC,365,,001,SONG REPERTOIRE,"Epp, Richard Arthur",11,86.64,4.84,97,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,,,
UBC,2006,W,MUSC,539,,001,OPERA PRODUCTION,"Boothroyd, David;Epp, Richard Arthur;Hermiston, Nancy Jane",12,89.5,7.97,98,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7,,,
UBC,2007,W,MUSC,135,,001,OPERA REPERTR I,"Epp, Richard Arthur",9,77,11.86,93,59,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,1,,,
UBC,2007,W,MUSC,170,,001,LYRIC DICTION,"Epp, Richard Arthur",25,81.46,10.3,97,60,24,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,5,5,5,,,
