Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,GERM,100,,005,BEGIN GERM I,"BURKLIN-AULINGER, ELVIRA",24,80.3,9.66,92,50,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,3,6,5,3
UBC,2002,W,GERM,310,,001,INTER GERM IV,"BURKLIN-AULINGER, ELVIRA",25,75.96,10.24,90,52,25,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,3,3,8,4,1
UBC,2003,W,GERM,100,,010,BEGIN GERM I,"BURKLIN-AULINGER, ELVIRA",23,76.59,9.16,90,50,22,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,7,5,2,1
UBC,2003,W,GERM,100,,016,BEGIN GERM I,"BURKLIN-AULINGER, ELVIRA",20,76.3,14.83,89,25,19,1,0,0,0,0,0,1,0,0,1,0,0,1,1,3,2,0,6,6,0
UBC,2003,W,GERM,200,,004,INTER GERM I,"BURKLIN-AULINGER, ELVIRA",12,73.75,10.05,87,56,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,3,2,0
UBC,2003,W,GERM,313,,001,REFRESH II,"BURKLIN-AULINGER, ELVIRA",12,80.08,5.58,90,67,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,1,1
UBC,2005,W,GERM,210,,001,INTER GERM II,"Burklin-Aulinger, Elvira",14,76.62,11.79,91,50,13,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,1,2,3,1
UBC,2005,W,GERM,210,,002,INTER GERM II,"Burklin-Aulinger, Elvira",16,74.13,10.88,91,50,15,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,2,5,2,1,1
UBC,2005,W,GERM,300,,001,INTER GERM III,"Burklin-Aulinger, Elvira",17,79.53,5.8,87,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5,4,0
UBC,2005,W,GERM,310,,002,INTER GERM IV,"Burklin-Aulinger, Elvira",12,81,5.03,88,69,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,3,0
UBC,2005,W,GERM,313,,002,CONV GERMAN II,"Burklin-Aulinger, Elvira",17,79.47,3.91,86,72,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,2,0
UBC,2006,W,GERM,313,,002,CONV GERMAN II,"Burklin-Aulinger, Elvira",22,77.33,4.76,86,67,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,6,7,1,0
UBC,2006,W,GERM,400,,001,ADV GERM,"Burklin-Aulinger, Elvira",18,79,5.21,89,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,3,3,0
