Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,COSC,211,,001,Machine Architecture,Abdallah Mohamed;Mahdi Aziz;Matthew Fritter;Shambhavi Singh,73,69.191780822,18.821277509,100.0,2.0,10,1,7,5,7,5,9,6,9,4,10
UBCO,2017,W,COSC,360,,001,Web Programming,Deepak Kumar;Matthew Fritter;Matthew S Fritter;Scott Fazackerley;Shambhavi Singh,65,74.261538462,12.247802001,95.0,37.0,1,2,4,4,11,8,6,5,6,10,8
UBCO,2018,S,COSC,301,,001,Introduction to Data Analytics,Matthew Fritter;Matthew S Fritter;Scott Fazackerley;Zhenyuan Ma;Zhenyuan Ma Ma,6,77.5,14.067693485,94.0,54.0,0,1,0,0,0,0,1,2,0,1,1
UBCO,2018,S,DATA,301,,001,Introduction to Data Analytics,Matthew Fritter;Matthew S Fritter;Scott Fazackerley;Zhenyuan Ma;Zhenyuan Ma Ma,31,72.290322581,17.162349389,94.0,9.0,2,1,2,3,2,1,5,3,5,5,2
UBCO,2018,W,DATA,530,,001,Computing Platforms for Data Science,Matthew Fritter;Ramon Lawrence,28,94.25,6.507118609,100.0,71.0,0,0,0,0,0,1,0,0,1,3,23
UBCO,2018,W,DATA,531,,001,Programming for Data Science,Matthew Fritter;Ramon Lawrence,28,93.178571429,6.939172602,100.0,73.0,0,0,0,0,0,0,1,1,1,4,21
UBCO,2018,W,DATA,532,,001,Algorithms and Data Structure,Apurva Narayan;Matthew Fritter;Matthew S Fritter,28,94.535714286,4.238117532,99.0,78.0,0,0,0,0,0,0,0,1,0,0,27
UBCO,2018,W,DATA,533,,101,Collaborative Software Development,Matthew Fritter;Mohammad Khalad Hasan,28,93.321428571,4.06478619,100.0,86.0,0,0,0,0,0,0,0,0,0,8,20
UBCO,2018,W,DATA,534,,101,Web and Cloud Computing,Apurva Narayan;Matthew Fritter;Matthew S Fritter,28,93.285714286,2.678544973,98.0,86.0,0,0,0,0,0,0,0,0,0,1,27
UBCO,2018,W,DATA,540,,001,Databases and Data Retrieval,Matthew Fritter;Matthew S Fritter;Ramon Lawrence,28,89.392857143,6.255896689,100.0,76.0,0,0,0,0,0,0,0,3,2,7,16
UBCO,2018,W,DATA,541,,001,Scripting and Reporting,Matthew Fritter;Matthew S Fritter;Mohammad (Khalad) Hasan;Mohammad Khalad Hasan,28,90.321428571,5.597972989,98.0,74.0,0,0,0,0,0,0,1,0,3,7,17
UBCO,2018,W,DATA,542,,101,Data Wrangling,Fatemeh Hendijani Fard;Matthew Fritter;Matthew S Fritter,28,89.357142857,6.476248833,100.0,79.0,0,0,0,0,0,0,0,3,6,2,17
UBCO,2018,W,DATA,543,,001,Data Collection,Dongying Wang;Irene Vrbik;Matthew Fritter;Matthew S Fritter,28,87.464285714,8.039173271,99.0,71.0,0,0,0,0,0,1,1,3,3,7,13
UBCO,2018,W,DATA,551,,101,Dataviz II,Fatemeh Hendijani Fard;Matthew Fritter;Matthew S Fritter,28,94.285714286,4.302085135,100.0,85.0,0,0,0,0,0,0,0,0,0,5,23
UBCO,2018,W,DATA,589,,101,Special Topic,Jason Loeppky;Matthew Fritter;Matthew S Fritter;Mohammad (Khalad) Hasan;Mohammad Khalad Hasan,28,88.571428571,6.268253767,98.0,76.0,0,0,0,0,0,0,0,2,7,5,14
UBCO,2019,S,COSC,360,,101,Web Programming,Matthew Fritter,11,80.636363636,10.414151211,93.0,65.0,0,0,0,0,2,0,2,1,2,1,3
