Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,EPSE,431,,075,PRG CHILD SP LRN,"Fusaro, Nicole",17,90.38,7.32,98,78,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,11
UBC,2017,W,EPSE,431,,074,PRG CHILD SP LRN,"Fusaro, Nicole",17,95.41,3.37,99,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
UBC,2018,S,EPSE,317,,973,DEV&EX REG CLASS,"Fusaro, Nicole",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,EPSE,317,,977,DEV&EX REG CLASS,"Fusaro, Nicole",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,W,EPSE,431,,074,PRG CHILD SP LRN,"Fusaro, Nicole",11,95.36,2.46,99,92,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2014,W,EPSE,431,,075,Programming for Children with Specific Learning Disabilities,Nicole Fusaro;Nicole Marie Fusaro,16,90.375,7.320063752,98.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,,,1,11
UBCV,2017,W,EPSE,431,,074,Programming for Children with Specific Learning Disabilities,Nicole Fusaro;Nicole Marie Fusaro,17,95.411764706,3.373774287,99.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,16
UBCV,2018,W,EPSE,431,,074,Programming for Children with Specific Learning Disabilities,Nicole Fusaro,11,95.363636364,2.460598597,99.0,92.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11
UBCV,2019,W,EPSE,431,,074,Programming for Children with Specific Learning Disabilities,Jill Blewman;Jill Denise Blewman;Nicole Fusaro,11,90.818181818,12.155806693,100.0,62.0,,,,,,,,,,,0,0,0,1,0,0,0,1,1,0,8
UBCV,2019,W,EPSE,565,T,075,Special Course in Subject Matter Field,Mary Heikkila;Nicole Fusaro,7,92.714285714,3.093772547,97.0,89.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,6
UBCV,2020,W,EPSE,565,T,075,Special Course in Subject Matter Field,Nicole Fusaro,7,85.285714286,17.114460608,95.0,47.0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,2,4
