Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,WMST,301,,001,Rol Ab Wom Can,"Blaney, Fay",30,75.3,14.8,87,24,28,2,0,0,0,0,0,2,0,0,2,0,0,0,3,1,1,7,12,4,0
UBC,2005,W,NURS,551,,002,QUAN RES MTHDS,"Warnock, Fay",5,86.2,3.63,91,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,2006,W,NURS,505,,001,STAT LIT NURSING,"Warnock, Fay",9,83.14,8.4,89,68,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0
UBC,2007,W,NURS,450,,002,INTRO RSRCH UTIL,"Balneaves, Lynda;Warnock, Fay",55,87.24,5.34,96,64,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,20,20
UBC,2007,W,NURS,586,C,002,SP D NURS PRAC,"Hall, Wendy Anne;Warnock, Fay",8,80.63,4.96,87,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0
UBC,2007,W,NURS,601,,001,DOCTORAL SEMINAR,"Saewyc, Elizabeth;Warnock, Fay",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,LLED,310,,640,INTR EL RD & LA,"Wheeler, Fay",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,NURS,450,,99A,INTRO RSRCH UTIL,"Warnock, Fay",20,89.7,4.23,96,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9
UBC,2009,W,NURS,450,,99F,INTRO RSRCH UTIL,"Warnock, Fay",20,90.65,4.23,98,81,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15
UBC,2010,S,NURS,334,,943,INFNT CHLD YOUTH,"Einboden, Rochelle;McPherson, Gladys;Warnock, Fay",15,79.53,5.03,86,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,3,0
UBC,2010,S,NURS,334,,944,INFNT CHLD YOUTH,"Einboden, Rochelle;McPherson, Gladys;Warnock, Fay",15,74.53,9.23,86,53,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,1,4,2,0
UBC,2010,S,NURS,504,,941,RSRCH EVIDENCE,"Warnock, Fay",20,84.95,5.5,95,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,4
UBC,2010,W,LLED,310,,640,INTR EL RD & LA,"Wheeler, Fay",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,NURS,334,,943,INFNT CHLD YOUTH,"McPherson, Gladys;Tan, Elsie;Warnock, Fay",19,83.21,7.42,92,62,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,5,4
UBC,2011,S,NURS,334,,944,INFNT CHLD YOUTH,"McPherson, Gladys;Tan, Elsie;Warnock, Fay",19,81.32,7.49,93,65,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,4,3
UBC,2011,W,LLED,310,,640,INTR EL RD & LA,"Wheeler, Fay",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,NURS,424,,002,MNTL HLTH CONCRN,"Warnock, Fay",8,82.25,5.9,91,73,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1
UBC,2011,W,NURS,504,,99A,RSRCH EVIDENCE,"Warnock, Fay",24,83.04,4.61,92,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,9,1
UBC,2012,W,LLED,351,,640,LTR PRC&AST ELEM,"Wheeler, Fay",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,W,NURS,424,,002,MNTL HLTH CONCRN,"Warnock, Fay",12,86.75,4.86,93,77,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5
UBC,2012,W,NURS,504,,99A,RSRCH EVIDENCE,"Warnock, Fay",14,84.38,5.42,93,76,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3
UBC,2013,W,LLED,350,,640,CLSRM DISCRS ELM,"Wheeler, Fay",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,LLED,360,,640,CLS DSC TEL SECD,"Helmer, Sylvia;Wheeler, Fay",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,NURS,424,,002,MNTL HLTH CONCRN,"Warnock, Fay",11,86.45,2.46,90,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2
UBC,2014,W,LLED,350,,640,CLSRM DISCRS ELM,"Wheeler, Fay",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,LLED,351,,640,LTR PRC&AST ELEM,"Wheeler, Fay",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,NURS,305,,001,CRIT INQ &RESRCH,"Warnock, Fay",121,84.72,5.74,97,66,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,12,31,47,22
UBC,2014,W,NURS,424,,002,MNTL HLTH CONCRN,"Warnock, Fay",12,82.58,10.35,89,51,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,0
UBC,2014,W,NURS,511,,002,FNDTNS NURS PRAC,"Warnock, Fay",21,85.4,2.64,92,81,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2
